"","Original_taxa"
"2","Abutilon-type"
"3","Acacia groupe I"
"4","Acacia groupe III"
"5","Acalypha"
"6","Adansonia"
"7","Aerva lanata-type"
"8","Afraegle"
"9","Alchornea"
"10","Allophylus"
"11","Alstonia"
"12","Amaranthaceae/Chenopodiaceae"
"13","Anthocerotaceae"
"14","Anthostema"
"15","Artemisia"
"16","Ascolepis"
"17","Balanites"
"18","Basilicum-type"
"19","Blepharis-type"
"20","Blighia"
"21","Boerhavia-type"
"22","Borassus/Hyphaene"
"23","Bridelia"
"24","Caesalpinia-type"
"25","Calpocalyx"
"26","Calpocalyx aubrevillei"
"27","Campylospermum"
"28","Canarium"
"29","Canthium subcordatum"
"30","Canthium-type"
"31","Cassia-type"
"32","Celastraceae"
"33","Celosia trigyna-type"
"34","Celtis"
"35","Chenopodium-type"
"36","Chlorophora"
"37","Chrozophora"
"38","Chrysobalanus/Parinari"
"39","Cissus-type"
"40","Coccinia-type"
"41","Combretaceae"
"42","Commelina forskalaei-type"
"43","Commiphora"
"44","Croton-type"
"45","Cyperaceae"
"46","Detarium"
"47","Diospyros"
"48","Dodonaea"
"49","Ekebergia-type"
"50","Elaeis guineensis"
"51","Ephedra"
"52","Euphorbia hirta-type"
"53","Euphorbiaceae"
"54","Ficus"
"55","Galium-type"
"56","Gramineae"
"57","Grewia-type"
"58","Hygrophila"
"59","Hymenocardia"
"60","Hymenostegia"
"61","Hypoestes-type"
"62","Indeterminables"
"63","Indetermines"
"64","Indigofera-type"
"65","Ipomaea-type"
"66","Justicia anselliana-type"
"67","Justicia striata-type"
"69","Lannea-type"
"70","Lepidagathis"
"71","Liguliflorae"
"72","Limnophyton"
"73","Lophira"
"75","Lygodium"
"76","Macaranga"
"77","Maerua-type"
"78","Mallotus"
"79","Maytenus"
"80","Micrococca"
"81","Mitracarpus"
"82","Mitragyna inermis-type"
"83","Monocotyledoneae"
"84","Monoletes"
"85","Morus"
"86","Myrianthus"
"87","Nymphaea lotus-type"
"88","Oldenlandia-type"
"89","Olea"
"90","Onagraceae"
"91","Pandanus"
"92","Papilionoideae"
"93","Parkinsonia-type"
"94","Pausinystalia"
"95","Phoenix"
"96","Phyllanthus reticularus-type"
"97","Pinus"
"98","Plagiostyles"
"99","Podocarpus"
"100","Polygala"
"101","Polygonum senegalense"
"102","Polypodiaceae"
"103","Polyscias"
"104","Prosopis/Entada"
"105","Pteris-type"
"106","Pycnanthus"
"107","Rhamnaceae"
"108","Rhizophora"
"109","Rhus"
"110","Rubiaceae"
"111","Rumex"
"112","Rutaceae"
"113","Sapotaceae"
"114","Sauvagesia"
"115","Spermacoce radiata-type"
"116","Spermacoce-type"
"117","Suaeda"
"118","Symphonia globulifera"
"119","Syzygium"
"120","Tamarix"
"121","Teclea-type"
"122","Tephrosia"
"123","Tessmannia"
"124","Tetracera"
"125","Tetrorchidium"
"126","Tribulus"
"127","Triletes"
"128","Triletes lisses"
"129","Tubuliflorae"
"130","Typha"
"131","Uapaca"
"132","Umbelliferae"
"133","Urticaceae"
"134","Vernonieae"
"135","Vigna-type"
"136","Zanthoxylum"
"137","Zanthoxylum zanthoxyloides"
"140","Fabaceae undiff."
"141","Gardenia imperialis"
"142","Clematis-type"
"143","Dialium guineense"
"144","Sapotaceae undiff."
"145","Garcinia"
"146","Annona"
"147","Tabernaemontana"
"148","Apiaceae undiff."
"149","Prosopis/entada"
"150","Isoberlinia"
"151","Ceratopteris cornuta"
"152","Gaertnera paniculata-type"
"153","Urticaceae undiff."
"154","Borassus/hyphaene"
"155","Blighia sapida"
"156","Meliaceae undiff."
"157","Phyllanthus niruri"
"158","Parkia biglobosa-type"
"159","Ziziphus"
"160","Sterculia-type"
