Pollen_type_SM_morphological,Family,Genus,taxa,url_source,project_pi,project_pi_contact,whole_plant_height_m,seed_mass_mg,leaf_area_mm2,longest_whole_plant_longevity_years,plant_flowering_begin_month,plant_flowering_begin_date,leaf_dry_mass_g,leaf_life_span_months,leaf_nitrogen_content_per_leaf_dry_mass_mg_g_1,whole_plant_dispersal_syndrome,whole_plant_vegetative_phenology,whole_plant_growth_form_diversity,whole_plant_sexual_system,flower_pollination_syndrome,Leaf_dry_mass_per_area_g_mm_2,Try_dataset,Leaf_type,Try_reference
Abies,Pinaceae,Abies,Abies,http://datadryad.org/resource/doi:10.5061/dryad.f0d93; http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://www.ufz.de/biolflor/index.jsp; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.12b0h; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Sánchez-Robles JM; Marx HE; Angela Moles; Ingolf Kuhn; Michael Kleyer; Ameztegui A; Zanne AE; Engemann, K",jsanchez15@us.es; h.marx.h@gmail.com; a.moles@unsw.edu.au; ingolf.kuehn@ufz.de; michael.kleyer@uni-oldenburg.de; ameztegui@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,13.83077445,49.06386433,59.258,305.2894118,5,,0.005724,107.0333333,18.8289031,,evergreen,Tree,,,9.66E-05,BIOME-BGC Parameterization Database,needle-leaved,"White, M. A., P. E. Thornton, S. W. Running, and R. R. Nemani. 2000. Parameterization and sensitivity analysis of the BIOME-BGC terrestrial ecosystem model: Net primary production controls. Earth Interactions 4:1-85."
Abutilon t.,Malvaceae-Malvoideae,Abutilon,Abutilon,http://www.kew.org/data/sid ; http://www.ufz.de/biolflor/index.jsp; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Angela Moles; Ingolf Kuhn; J. Fang; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; a.moles@unsw.edu.au; ingolf.kuehn@ufz.de; jyfang@urban.pku.edu.cn; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,1.2,4.14762,,10,8,,,,35.855,biotic,evergreen,Shrub,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Acacia t.,Fabaceae-Mimosoideae,Acacia,Acacia,http://www.americanforests.org/resources/bigtrees/register.php; http://datadryad.org/resource/doi:10.5061/dryad.f1kc3; https://datadryad.org/resource/doi:10.5061/dryad.2dj32; http://datadryad.org/resource/doi:10.5061/dryad.2q242; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Correia M; Leishman MR; Angela Moles; K.S. Murali; Forsyth DM; Price CA; Bezeng BS; Zanne AE; Engemann, K",correio.marta@gmail.com; michelle.leishman@mq.edu.au; a.moles@unsw.edu.au; dave.forsyth@delwp.vic.gov.au; charles.price@uwa.edu.au; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,5.635439571,18.05217103,1360.715538,55.95238095,6.315789474,,540.4811934,20.3,20.12515697,biotic,deciduous,Shrub,Hermaphrodite,biotic,0.397203661,,,
Acalypha,Euphorbiaceae,Acalypha,Acalypha,http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Price CA; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Cyrille Violle/Brian Enquist ; Zanne AE; Engemann, K",charles.price@uwa.edu.au; sid@kew.org ; bezengsimmy@gmail.com; cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu; aezanne@gmail.com; engemann@bios.au.dk,4.4,1.178333333,10258.96,,10,,,,29.4587,biotic,evergreen,Herb,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Acanthaceae undif.,Acanthaceae,Acanthaceae,Acanthaceae,http://datadryad.org/resource/doi:10.5061/dryad.7s7r1; http://datadryad.org/resource/doi:10.5061/dryad.b1v2c; doi:10.1890/09-1672.1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.ck585; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Osuri AM; Bufford JL; Nathan Kraft; Angela Moles; Bezeng BS; Balzotti CS; Zanne AE; Engemann, K",moanand@gmail.com; jbufford@hawaii.edu; nkraft@biodiversity.ubc.ca; a.moles@unsw.edu.au; bezengsimmy@gmail.com; cbalzotti@carnegiescience.edu; aezanne@gmail.com; engemann@bios.au.dk,7.026986008,22.90803911,9919,60,8,,,,26.49311111,abiotic,evergreen,Shrub_Herb,Hermaphrodite,abiotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Acanthus,Acanthaceae,Acanthus,Acanthus,http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Engemann, K",sid@kew.org ; engemann@bios.au.dk,,192.6,,,,,,,,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Acer,Aceraceae,Acer,Acer,http://datadryad.org/resource/doi:10.5061/dryad.12b0h; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Ameztegui A; K. Thompson; Angela Moles; Steven Travers; Dana Royer; Maire V; Bezeng BS; Zanne AE; Engemann, K",ameztegui@gmail.com; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; steven.travers@ndsu.edu; droyer@wesleyan.edu; vmaire@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,15.5841421,67.78470898,6915.61087,211.5714286,4.338709677,,0.236710397,5.343,18.69150318,biotic,deciduous,Tree,Hermaphrodite,biotic,3.42E-05,BIOME-BGC Parameterization Database,broad-leaved,"White, M. A., P. E. Thornton, S. W. Running, and R. R. Nemani. 2000. Parameterization and sensitivity analysis of the BIOME-BGC terrestrial ecosystem model: Net primary production controls. Earth Interactions 4:1-85."
Acorus,Acoraceae,Acorus,Acorus,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.ufz.de/biolflor/index.jsp; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Ingolf Kuhn; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; ken.thompson@sheffield.ac.uk; ingolf.kuehn@ufz.de; engemann@bios.au.dk,0.9,3.72,10067.375,,6,,0.753471429,,,,,Herb,,,7.48E-05,,,
Acritarcha,Acritarcha,Acritarcha,Acritarcha,,,,,,,,,,,,,,,,,,,,,
Adansonia digitata,Bombacaceae,Adansonia,Adansonia digitata,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,,494.8333333,,,10,,,,,biotic,deciduous,Tree,Hermaphrodite,biotic,,FRED - Fine Root Ecology Database,broad-leaved,"Iversen, C. M., McCormack, M. L., Powell, A. S., Blackwood, C. B., Freschet, G. T., Kattge, J. , Roumet, C. , Stover, D. B., Soudzilovskaia, N. A., Valverde?Barrantes, O. J., Bodegom, P. M. and Violle, C. (2017), A global Fine?Root Ecology Database to address below?ground challenges in plant ecology. New Phytol, 215: 15-26. doi:10.1111/nph.14486"
