PFT,Data_type,Source,Categories,Description,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6
Plant height,Continuous,BIEN DATABASE,continuous (m),"Plant height is the distance in metres between the upper limit of photosynthetic tissue and the ground level (McElwain et al. 2024). Tall plants are favourable for seed dispersal and light absorption but have construction and maintenance costs (Fyllas et al. 2020, Brussel and Brewer 2021). This trait is related to plant survival, as it determines the competitive ability of the plant (E-Vojtkó et al. 2020).","Blonder, B., Enquist, B. J., Graae, B. J., Kattge, J., Maitner, B. S., Morueta?Holme, N., ... & Violle, C. (2018). Late Quaternary climate legacies in contemporary plant functional composition. Global Change Biology, 24(10), 4827-4840.","Brussel, T., & Brewer, S. C. (2021). Functional paleoecology and the pollen-plant functional trait linkage. Frontiers in Ecology and Evolution, 8, 564609.","McElwain, J. C., Matthaeus, W. J., Barbosa, C., Chondrogiannis, C., O'Dea, K., Jackson, B., ... & Nogué, S. (2024). Functional traits of fossil plants. New Phytologist, 242(2), 392-423.","Díaz, S., Kattge, J., Cornelissen, J. et al. The global spectrum of plant form and function. Nature 529, 167–171 (2016). https://doi.org/10.1038/nature16489","E-Vojtkó A, de Bello F, Durka W, Kühn I, Götzenberger L. The neglected importance of floral traits in trait-based plant community assembly. J Veg Sci. 2020; 31: 529–539. https://doi-org.liverpool.idm.oclc.org/10.1111/jvs.12877",
Seed mass,Continuous,BIEN DATABASE,continuous (mg),"Seed mass is related to dispersal, colonisation and establishment ability (Fyllas et al. 2020, E-Vojtkó et al. 2020). Lighter seeds are produced in greater numbers and can disperse further. However, larger and heavier seeds are more beneficial for surviving the early stages of recruitment (Brussel and Brewer 2021).","Blonder, B., Enquist, B. J., Graae, B. J., Kattge, J., Maitner, B. S., Morueta?Holme, N., ... & Violle, C. (2018). Late Quaternary climate legacies in contemporary plant functional composition. Global Change Biology, 24(10), 4827-4840.","Brussel, T., & Brewer, S. C. (2021). Functional paleoecology and the pollen-plant functional trait linkage. Frontiers in Ecology and Evolution, 8, 564609.",Fyllas et al. 2020. Functional Trait Variation Among and Within Species and Plant Functional Types in Mountainous Mediterranean Forests .Frontiers in Plant Science,,"E-Vojtkó A, de Bello F, Durka W, Kühn I, Götzenberger L. The neglected importance of floral traits in trait-based plant community assembly. J Veg Sci. 2020; 31: 529–539. https://doi-org.liverpool.idm.oclc.org/10.1111/jvs.12877",
Leaf area,Continuous,BIEN DATABASE,continuous (mm2),"Leaf area is related to photosynthetic processes, water balances and resource investment (Díaz et al. 2016, E-Vojtkó et al. 2020, Fyllas et al. 2020). Larger leaves capture more light, so they increase the photosynthetic capacity and reduce transpiration rates but have higher construction costs (Brussel and Brewer 2021). ","Blonder, B., Enquist, B. J., Graae, B. J., Kattge, J., Maitner, B. S., Morueta?Holme, N., ... & Violle, C. (2018). Late Quaternary climate legacies in contemporary plant functional composition. Global Change Biology, 24(10), 4827-4840.","Brussel, T., & Brewer, S. C. (2021). Functional paleoecology and the pollen-plant functional trait linkage. Frontiers in Ecology and Evolution, 8, 564609.",Fyllas et al. 2020. Functional Trait Variation Among and Within Species and Plant Functional Types in Mountainous Mediterranean Forests .Frontiers in Plant Science,"Gillison et al. 2019. Plant functional indicators of vegetation response to climate change, past present and future: I. Trends, emerging hypotheses and plant functional modality. Flora","Díaz, S., Kattge, J., Cornelissen, J. et al. The global spectrum of plant form and function. Nature 529, 167–171 (2016). https://doi.org/10.1038/nature16489","E-Vojtkó A, de Bello F, Durka W, Kühn I, Götzenberger L. The neglected importance of floral traits in trait-based plant community assembly. J Veg Sci. 2020; 31: 529–539. https://doi-org.liverpool.idm.oclc.org/10.1111/jvs.12877"
Dispersal syndrome ,Categorical,BIEN DATABASE,biotic/abiotic,"Dispersal of seeds, fruits or spores by floating in water, animal consumption or wind, among other means (McElwain et al. 2024). In the Bien database, it is biotic (zoochory) or abiotic (water or wind).","Lézine, A. M., Watrin, J., Vincens, A., & Hély, C. (2009). Are modern pollen data representative of west African vegetation?. Review of Palaeobotany and Palynology, 156(3-4), 265-276.","McElwain, J. C., Matthaeus, W. J., Barbosa, C., Chondrogiannis, C., O'Dea, K., Jackson, B., ... & Nogué, S. (2024). Functional traits of fossil plants. New Phytologist, 242(2), 392-423.",,,,
Leaf type (leaf form),Categorical,TRY DATABASE,broad-leaved/needle-leaved/scale leaved,"Leaf type refers to the overall shape and structure of leaves. Broad-leaved species typically adopt more active water-use strategies, while needle-leaved species often exhibit more conservative strategies, such as lower stomatal conductance and higher hydraulic safety margins. These adaptations result in reduced photosynthesis rates but greater resilience to extreme conditions, allowing needle-leaved species to thrive in harsher environments (Ma et al. 2023).","Lézine, A. M., Watrin, J., Vincens, A., & Hély, C. (2009). Are modern pollen data representative of west African vegetation?. Review of Palaeobotany and Palynology, 156(3-4), 265-276.","Ma, H., Crowther, T.W., Mo, L. et al. The global biogeography of tree leaf form and habit. Nat. Plants 9, 1795–1809 (2023). https://doi.org/10.1038/s41477-023-01543-5",,,,
Vegetative phenology,Categorical,BIEN DATABASE,evergreen/deciduous,"Vegetative phenology refers to the type of leaf phenology, i.e. long-lived evergreen and short-lived deciduous leaves. While evergreen leaves have a longer leaf life, year-round photosynthetic activity and lower nutrient requirements, deciduous leaves minimise transpiration and respiration during dry periods and have lower maintenance costs and higher carbon gain during favourable conditions (Givnish 2002; van Ommen Kloeke et al. 2012).","Lézine, A. M., Watrin, J., Vincens, A., & Hély, C. (2009). Are modern pollen data representative of west African vegetation?. Review of Palaeobotany and Palynology, 156(3-4), 265-276.","Givnish, T. J. (2002). Adaptive significance of evergreen vs. deciduous leaves: solving the triple paradox. Silva fennica, 36(3), 703-743.","van Ommen Kloeke, A. E. E., Douma, J. C., Ordoñez, J. C., Reich, P. B., & Van Bodegom, P. M. (2012). Global quantification of contrasting leaf life span strategies for deciduous and evergreen species in response to environmental conditions. Global Ecology and Biogeography, 21(2), 224-235.",,,
Habit (growth form),Categorical,Literature and reference regional floras,trees/shrubs/herbs/climbers/lianas/aquatic/parasitic/geophytes,"Plant habit categories are a classification of plants according to their morphology, mechanical architecture and development (Rowe and Speck, 2005)",See taxonomy harmonisation list file,"Rowe, N. & Speck, T. Plant growth forms: an ecological and evolutionary perspective. New Phytologist 166, 61–72 (2005).",,,,
Whole plant growth form diversity,Categorical,BIEN DATABASE,trees/shrubs/herbs/climbers/lianas/aquatic/parasitic/geophytes,"Plant habit categories are a classification of plants according to their morphology, mechanical architecture and development (Rowe and Speck, 2005)","Rowe, N. & Speck, T. Plant growth forms: an ecological and evolutionary perspective. New Phytologist 166, 61–72 (2005).",,,,,
Leaf dry mass per area (LMA),Leaf dry mass/LEAF AREA,BIEN DATABASE,continuous (g/mm2),"Leaf dry mass per area (LMA) is calculated by dividing the dry mass of the leaf by its area (Díaz et al. 2022; McElwain et al. 2024). This trait is related to resource allocation strategies and to leaf economy. Leaves with low LMA have a faster growth rate and stomatal conductance, while leaves with high LMA have longer leaf lifespan and lower leaf nitrogen concentration. LMA is an important predictor of ecosystem productivity and the nutrient cycle (McElwain et al. 2024). ","McElwain, J. C., Matthaeus, W. J., Barbosa, C., Chondrogiannis, C., O'Dea, K., Jackson, B., ... & Nogué, S. (2024). Functional traits of fossil plants. New Phytologist, 242(2), 392-423.","Díaz, S., Kattge, J., Cornelissen, J. H., Wright, I. J., Lavorel, S., Dray, S., ... & Zotz, G. (2022). The global spectrum of plant form and function: enhanced species-level trait dataset. Scientific Data, 9(1), 755.",,,,
Leaf life span,Continuous,BIEN DATABASE,discrete (months),"Leaf lifespan is the length of time the leaf is physiologically active. This trait is related to nutrient use strategies, leaf decomposition and palatability. Leaf lifespan is important for the hydrological cycle and the ecosystem productivity. Short-lived leaves allocate nutrients towards high rates of photosynthesis, while longer-lived leaves tend to invest nutrients in leaf protection (McElwain et al. 2024).","McElwain, J. C., Matthaeus, W. J., Barbosa, C., Chondrogiannis, C., O'Dea, K., Jackson, B., ... & Nogué, S. (2024). Functional traits of fossil plants. New Phytologist, 242(2), 392-423.",,,,,
