References pollen records,References pollen taxonomy,Reference phytogeographical affinity,References habit,References plant functional types
"Abel-Schaad, D., & López-Sáez, J. A. (2013). Vegetation changes in relation to fire history and human activities at the Peña Negra mire (Bejar Range, Iberian Central Mountain System, Spain) during the past 4,000 years. Vegetation History and Archaeobotany, 22(3), 199-214.",African Pollen Database Image Bank,"Abidkulova, K. T., Almabek, D. M., Ivashchenko, A. A., Mukhitdinov, N. M., Kurbatova, N. V., Turalin, B. A., & Karasholakova, L. N. (2024). Herbarium as tools in study of plant distribution and ecology (on the examples Kazakh species of Leontice and Gymnospermium). Eurasian Journal of Ecology, 78(1).","Alturki, T., & Thomas, J. (2010). An account on the floral dimorphism and ecology of the genus Moltkiopsis I. M. Johnst. (Boraginaceae) in Saudi Arabia. Turkish Journal of Botany, 34(5), 367-377.",
"Abel-Schaad, D., Alba-Sánchez, F., Pérez-Díaz, S., & López-Sáez, J. A. (2017). Contributions to the European Pollen Database. 36. Praillos de Boissier mire, Tejeda Natural Park (Baetic Range, southern Spain). Grana, 56(6), 475-477.","Al-Eisawi, D., & Al-Khatib, M. (2015). Palynological properties of the genus Haplophyllum (Rutaceae) in Jordan. International Journal of Current Microbiology and Applied Sciences, 4(9), 281-287.","Abo, K. A., & Olugbuyiro, J. A. O. (2004). Phytochemical and antibacterial studies of extracts of Flabellaria. African Journal of Biomedical Research, 7(1).","Applequist, W. L. (2013). A nomenclator for Homalium (Salicaceae). Skvortsovia, 1(1), 12-74.",
"Abel-Schaad, D., Hernández-Carretero, A. M., López-Merino, L., Pulido-Díaz, F. J., & López-Sáez, J. A. (2009). Cabras y quemorros: tres siglos de cambios en el paisaje de la vertiente extremeña de la Sierra de Gredos. Revista de Estudios Extremeños, LXV(1), 449-478.","Amirabadizadeh, H., & Ghanavati, F. (2012). Pollen grain morphology in Iranian Hedysareae (Fabaceae). Crop Breeding Journal, 2(1), 25-33.","Alonso, M. Á., Crespo, M. B., Martínez-Azorín, M., & Mucina, L. (2021). Taxonomic identity and evolutionary relationships of South African taxa related to the Spergularia media group (Caryophyllaceae). Plant Systematics and Evolution, 307(2), 24.","Aradhya, M. K., Potter, D. A. N. I. E. L., & Simon, C. J. (2004, November). Origin, evolution, and biogeography of Juglans: a phylogenetic perspective. In V International Walnut Symposium 705 (pp. 85-94).",
"Abel-Schaad, D., Hernández-Carretero, A. M., López-Sáez, J. A., Pulido-Díaz, F. J., López-Merino, L., & Martínez-Cortizas, A. (2009). Evolución de la vegetación en la Sierra de Gata (Cáceres-Salamanca, España) durante el Holoceno reciente. Implicaciones biogeográficas. Revista Española de Micropaleontologia, 41(1-2), 91-105.","Anisaa, A. H. S., Maideena, H., & Latiffa, A. (2013). Palynological study of the genera Ruellia, Ecbolium, Asystasia, Blepharis and Dicliptera (Acanthaceae) of Yemen. In AIP Conference Proceedings (Vol. 1571, p. 389).","Alzahrani, D. A., Albokhari, E. J., & Khoj, A. (2021). Taxonomic studies on some members of the genus Abutilon Mill.(Malvaceae). American Journal of Plant Sciences, 12(02), 199.","Arrington, J. M., & Kubitzki, K. (2003). Cistaceae. In Flowering Plants· Dicotyledons: Malvales, Capparales and Non-betalain Caryophyllales (pp. 62-70). Berlin, Heidelberg: Springer Berlin Heidelberg.",
"Agwu, C. O. C. (1979). Vegetations- und klimageschichtliche Untersuchung an marinen Sedimenten vor der westafrikanischen Küste. PhD Thesis, University of Göttingen.","Assis, A. C. R. D., Gasparino, E. C., & Saba, M. D. (2021). Pollen morphology of selected species of Anacardiaceae and its taxonomic significance. Rodriguésia, 72, e01422020.","An-Ming, L., & Zhi-Yun, Z. (1990). The differentiation, evolution and systematic relationship of Juglandales. Journal of Systematics and Evolution, 28(2), 96.","Balakumbahan, R., Rajamani, K., & Kumanan, K. (2010). Acorus calamus: An overview. Journal of Medicinal Plants Research, 4(25), 2740-2745.",
"Agwu, C. O. C., & Beug, H. J. (1982). Palynological studies of marine sediments off the West African coast. Meteor Forschungs Ergebnisse.","Association des Palynologues de Langue Française. (1974). Pollen et spores d’Afrique tropicale. CNRS, Talence. Travaux et Documents de Géographie Tropicale (No. 16).","Aradhya, M. K., Potter, D. A. N. I. E. L., & Simon, C. J. (2004, November). Origin, evolution, and biogeography of Juglans: a phylogenetic perspective. In V International Walnut Symposium 705 (pp. 85-94).","Bamps, P., Robson, N., & Verdcourt, B. (1978). Flora of tropical East Africa. Guttiferae (pp. 35-pp).",
"Agwu, C.O.C.; Beug, H.J. 1982 Palynological studies of marine sediments off the West African coast. Meteor Forschungs Ergebnisse C,36, 1-30.Meteor Forschungs Ergebnisse","Bagheri, A., Akhavan Roofigar, A., Abbasi, S., Maassoumi, A. A., Rutten, T., & Blattner, F. R. (2019). Pollen morphology of Astragalus section Hymenostegis (Fabaceae) and evaluation of its systematic implications. Grana, 58(5), 328-336.","Atlabachew, M., Mehari, B., Combrinck, S., & McCrindle, R. (2017). Single?step isolation of embelin using high?performance countercurrent chromatography and determination of the fatty acid composition of seeds of Embelia schimperi. Biomedical Chromatography, 31(12), e4018.","Barbosa-Silva, R. G., Coutinho, T. S., Vasconcelos, S., da Silva, D. F., Oliveira, G., & Zappi, D. C. (2021). Preliminary placement and new records of an overlooked Amazonian tree, Christiana mennegae (Malvaceae). PeerJ, 9, e12244.",
"Alimen, H., Beucher, F., & Lhote, H. (1968). Les gisements néolithiques de Tan-Tartaït et d'I-n-Itinen, Tassili n-Ajjer (Sahara central). Bulletin de la Société préhistorique française, 65, 421-458. https://doi.org/10.3406/bspf.1968.4160","Banks, H., & Gasson, P. (2000). Pollen morphology and wood anatomy of the Crudia group (Leguminosae, Caesalpinioideae, Detarieae). Botanical Journal of the Linnean Society, 134(1-2), 19-59.","Bahramsoltani, R., Kalkhorani, M., Zaidi, S. M. A., Farzaei, M. H., & Rahimi, R. (2020). The genus Tamarix: Traditional uses, phytochemistry, and pharmacology. Journal of ethnopharmacology, 246, 112245.","Barres, L., Sanmartín, I., Anderson, C. L., Susanna, A., Buerki, S., Galbany?Casals, M., & Vilatersana, R. (2013). Reconstructing the evolution and biogeographic history of tribe Cardueae (Compositae). American Journal of Botany, 100(5), 867-882.",
"Allen, J. R. M., & Huntley, B. (2018). Effects of tephra falls on vegetation: A Late-Quaternary record from southern Italy. Journal of Ecology.","Banks, H., & Klitgaard, B. B. (2000). Palynological contribution to the systematics of detarioid legumes (Leguminosae: Caesalpinioideae). Advances in legume systematics, 9, 79-106.","Barres, L., Sanmartín, I., Anderson, C. L., Susanna, A., Buerki, S., Galbany?Casals, M., & Vilatersana, R. (2013). Reconstructing the evolution and biogeographic history of tribe Cardueae (Compositae). American Journal of Botany, 100(5), 867-882.","Beentje, H. (2006). Ericaceae. In Flora of Tropical East Africa (published under the authority of the Secretary of State for the Colonies). Royal Botanic Gardens, Kew. ISBN: 9781842461440, 1842461443.",
"Allen, J. R. M., Watts, W. A., & Huntley, B. (2001). The contribution of the palaeovegetation record from Lago Grande di Monticchio to the ELDP. In A. Brauer, J. F. W. Negendank, & A. Berger (Eds.), High-resolution lake sediment records in climate and environment variability studies: 6th Workshop of the European Lake Drilling Programme, EDLP: 11-16 May 2001, Potsdam, Germany (pp. 61-64). Terra Nostra, 2001(3).","Banks, H., & Lewis, G. (2009). Pollen morphology of the Dimorphandra group (Leguminosae, Caesalpinioideae). Grana, 48(1), 19-26.","Bartolucci, F., Domina, G., Bagella, S., Barberis, G., Briozzo, I., Calbi, M., Caria, M. C., Cavallaro, V., Chianese, G., Cibei, C., Conti, F., Dagnino, D., Esposito, A., Galasso, G., Giacanelli, V., Forte, L., Gottschlich, G., Lattanzi, E., Longo, D., Mei, G., Merli, M., Orsenigo, S., Pau, G. B., Pazienza, G., Peccenini, S., Pisanu, S., Rivieccio, G., Roma-Marzio, F., Scafidi, F., Selvi, F., Stinca, A., Turcato, C., & Nepi, C. (2020). Notulae to the Italian native vascular flora: 10. Italian Botanist, 10, 47-55. https://doi.org/10.3897/italianbotanist.10.60743","Beentje, H. J., Jeffrey, C., & Hind, D. J. N. (2005). Flora of Tropical East Africa. Compositae (Part 3).",
