labID,C14 age,C14 error,depth, cal median BP,cal mean BP,cal min BP,cal max BP,burials,notes
P-589,4090,40,P-589,4600.6,4621.2,4513,4657,G1B8,(mean median G1-B8)
P-594,4590,40,P-594,5306.9,5725.2,5266,5333,G1B8,(mean median G1-B8)
P-543,4710,40,P-543,5414.9,5431.9,5321,5421,G3B36,
P-545,4860,40,P-545,5588.7,5582.4,5547,5660,G3B41,
P-540,4990,40,P-540,5708.1,5725.2,5600,5760,G3B5,
P-582,8220,40,P-582,9181.9,9182.1,9024,9300,G3B8,(mean median G3-B8)
P-584,8420,40,P-584,9453.2,9444.6,9404,9531,G3B8,(mean median G3-B8)
P-583,8470,40,P-583,9490.9,9489.8,9435,9536,G3B8,(mean median G3-B8)
P-542,8570,40,P-542,9532.8,9535.5,9477,9560,G3B9,
P-590,8620,40,P-590,9580.9,9591,9532,9681,G3B17,
