labID,C14 age,C14 error,depth, cal median BP,cal mean BP,cal min BP,cal max BP
UGa- 30575,400,20,Wadi Sana 6A,479.5,463.1,445,506
UGa- 30576,670,25,Wadi Sana 7A,636.8,618.5,631,670
UGa- 30577,1930,20,Wadi Sana 8,1852.5,1849.8,1817,1896
UGa- 30579,3740,25,Wadi Sana 14A,4094.9,4087.3,4065,4154
UGa- 30580,4210,25,Wadi Sana 14B,4739.9,4750.8,4695,4758
A-11052,4230,50,Wadi Sana 24A,4742.5,4750.8,4613,4770
UGa- 30585,4340,25,Wadi Sana 23A2,4900.8,4904.4,4848,4965
UGa- 30583,4450,25,Wadi Sana 20A,4997.6,5054.2,5163,5282
A-11131,4490,75,Wadi Sana 13,4999.8,5056.3,4954,5317
AA -39071,4490,44,Wadi Sana 17A,5108.4,5108.8,5028,5306
A-11777,4555,60,Wadi Sana 4A,5163.4,5178.4,5035,5329
G X -24614,4590,90,Wadi Sana 1,5214.4,5210.1,5022,5482
AA -38421,4602,45,Wadi Sana 23A,5322.6,5321.8,5272,5468
UGa-30584,4630,25,WS20C,5411.8,6062,5376,5460
UGa-30574,5170,25,WS2,5925.5,6062,5899,5949
UGa- 30578,5270,25,Wadi Sana 11,6071.7,6062,6037,6118
UGa-41448,5290,20,WS15C,6081.1,6062,5994,6121
