Depth (cm),Abies,Acer,Arbutus,Betula,Cedrus,Cistus,Cupressaceae,Erica-type,Hedera,Ilex,Juglans,Lonicera,Myrtus,Nerium,Olea,Phillyrea,Pinus,Pinus-fgt,Pistacia,Quercus ilex/coccifera,Quercus canariensis-type,Quercus suber,Tamarix,Thymeleaceae,Alchemilla,Amaranthaceae,Anchusa-type,Artemisia,Asphodelus,Asteroideae,Brassicaceae,Campanulaceae,Cannabis/Humulus,Carduus-type,Caryophyllaceae,Centaurea,Cerealia-type,Cichorioideae,Dipsacaceae,Euphorbia,Fabaceae,Geraniaceae,Helianthemum,Hypericum,Linum,Narcissus-type,Plantago lanceolata-type,Plantago major-media,Polygonum aviculare-type,Rubiaceae,Rosaceae,Sanguisorba minor,Secale,Simethis,Solanum,Spergularia-type,Teucrium-type,Trifolium,Urticaceae,Alnus,Calluna,Fraxinus,Genista-type,Prunus-type,Rhamnus-type,Salix,Vitis,Poaceae,Alisma-type,Anagallis tenella-type,Apiaceae,Callitriche,Centaurium-type,Cicendia/Exaculum,Cyperaceae,Gratiola-type,Illecebrum/Paronychia,Juncaceae,Lotus-type,Lythrum borysthenicum-type,Lythrum salicaria,Mentha-type,Myriophyllum alterniflorum,Potamogeton,Potentilla,Radiola,Ranunculus-type,Rumex,Sparganium/Typha,Typha angustifolia,Isoetes,Osmunda,Polypodium,Monolete spores,Sphagnum,Unidentified,Pollen sum,Taxonomic richness,Sample volume (ml),Culot volume (ml),Drop volume (ml),Counted lines,Total number of lines,Concentration (grains/cm3)
0,,,,,,8,,8,,,,,,,6,,5,,5,1,120,11,,,,1,1,1,,18,6,,,4,2,1,5,24,,,1,,,3,,,5,,,1,,1,,,1,,,1,2,,1,,8,2,4,10,,47,29,4,10,1,,2,66,,,7,1,10,,3,1,,2,,8,4,1,,2,3,,1,1,26,489,51,0.7,1.0,0.025,16,45,"78,589"
4,,,,,2,4,,14,,,,,1,1,2,8,17,5,1,9,118,34,1,1,,2,,1,1,4,2,,,,,,1,2,1,,,,2,,,1,8,1,,,,,,,,,,,,3,,1,3,1,1,4,,85,11,6,7,,,,112,,1,7,1,2,1,2,,,1,,7,1,1,,3,,,3,14,11,513,50,0.5,0.5,0.025,9,45,"102,600"
8,,,3,,2,13,,25,1,1,,,,,3,3,23,5,5,3,151,23,,1,,3,,5,,18,8,,1,1,1,,3,4,,,,,,2,,,12,1,,1,,,,,,,,,,4,2,1,8,1,1,1,,66,17,6,6,,1,1,110,,,2,5,3,1,2,,4,8,,2,4,,,3,1,,,21,14,592,53,1.0,1.0,0.025,7,45,"152,229"
12,,,6,,,3,,34,1,,,1,,,,1,14,8,2,6,112,42,,,,1,,1,,8,7,,2,,,,2,5,,,2,,,,,,13,2,,1,,,,,,,,,,,1,4,3,,,2,,74,18,14,3,1,,,110,,,1,1,2,1,1,,,4,,6,3,,,7,1,,1,20,11,534,44,0.9,1.0,0.025,6,45,"178,000"
16,,1,1,,5,4,,6,,,,,,,2,1,24,3,1,8,160,43,,,,1,,3,1,6,4,,1,,,1,1,8,,,,,2,,,,5,,,1,,,,,,,,1,,2,1,,3,6,1,1,1,92,18,3,15,,1,,100,,,1,2,,1,,,1,,,2,1,,,,,,1,9,12,558,46,1.0,1.0,0.025,4,45,"251,100"
20,,1,2,,3,9,,14,,,,,,1,,1,15,5,,6,162,44,,,,1,,3,1,5,3,,2,1,,,2,6,,,,,4,,,,10,,,1,1,,,1,,,,,,1,1,,2,2,1,8,,77,4,2,9,1,,1,80,,,1,,3,,2,1,,1,,5,3,,,5,,,,14,10,519,47,0.5,1.0,0.025,5,45,"373,680"
24,1,2,13,,5,9,,16,1,,1,,,,4,,21,4,2,14,138,50,,,,,,3,,9,5,,2,,,,4,11,,,,,2,,,,4,1,,,,,,,,,,,,2,,,1,3,1,2,,98,10,1,18,1,2,,108,,,,2,1,,2,,,9,,3,1,,,4,,,1,8,11,598,44,1.0,2.0,0.025,5,45,"430,560"
28,,4,2,,,3,,24,,,1,,1,,1,2,11,1,2,7,165,45,,,,1,,3,,9,2,,,1,1,,6,6,,,,,1,,,,8,,,,,,,,,,,,,2,3,1,2,1,,3,,101,5,7,10,,,,94,,1,,,2,1,3,,,4,,6,4,2,,7,1,,1,10,10,569,46,0.7,1.0,0.025,9,45,"162,571"
32,,,8,,3,9,,19,,1,,,,,5,5,3,,4,5,243,37,,,,3,,3,,15,3,,1,2,,,5,1,,,,1,1,,,,9,1,,2,,,1,,,,,1,,1,1,3,3,5,1,5,,89,5,1,7,1,1,,51,,1,1,1,1,1,2,,1,6,,,2,,,1,,,1,5,12,593,53,1.0,1.0,0.025,3,45,"355,800"
36,,4,4,,10,5,,15,1,,,,,,,2,1,,2,10,309,74,1,1,,3,,1,,9,2,,,,1,,,1,,,1,,,,,,2,,,2,,,,,,1,,,,1,7,,4,2,3,10,1,103,,,19,,,,32,1,,,1,,,1,,,14,1,5,1,,,1,,,,19,14,682,43,1.0,2.5,0.025,3,45,"1,023,000"
