Depth,Pinaceae,Ephedra,Betula,Rhizophora,Salix,Sum AP (%),Chenopodiaceae,Caryophyllaceae,Artemisia,Asteraceae,Centaurea,Cyperaceae,Poaceae,Apiaceae,Plantago rhizo,Calligonum,Typha,Indeterminated,Undeterminable,Pollen sum
8.5,2,0,0,0,0,0.0066,50,0,78,0,0,18,78,0,26,20,2,0,28,301
9.5,0,2,0,0,2,0.0172,69,0,51,0,8,2,53,6,8,8,0,6,20,236
10.5,0,13,0,0,0,0.048,95,0,66,0,0,9,40,0,0,9,2,11,31,276
11.5,0,0,0,0,0,0,111,0,69,4,0,10,23,0,6,13,0,48,25,307
12.5,0,3,0,0,0,0.011,118,0,73,12,0,0,15,0,10,15,0,28,28,302
17.5,0,3,0,2,0,0.0172,95,0,71,0,0,21,45,5,0,7,0,29,22,301
24.5,0,5,0,5,0,0.0336,85,0,78,0,0,17,41,12,0,17,0,31,17,308
33.5,0,5,0,2,0,0.0203,87,0,70,0,0,23,44,8,0,9,0,30,23,300
42.5,5,0,0,0,0,0.0175,66,0,48,0,16,18,98,11,0,0,0,0,40,301
45.5,0,0,0,0,0,0,94,0,84,0,10,8,16,0,0,20,0,4,39,276
46.5,8,0,4,8,4,0.08,82,6,80,0,2,12,68,0,0,4,0,0,22,300
47.5,0,0,0,0,0,0,75,0,44,0,13,21,60,0,0,18,0,0,55,286
48.5,0,10,0,0,3,0.0455,134,0,86,0,10,13,0,0,0,0,0,0,23,278
49.5,0,9,4,0,2,0.0574,87,0,126,0,0,0,22,0,0,0,0,0,15,264
50.5,0,0,0,7,2,0.0331,112,0,91,2,0,17,17,0,0,5,0,0,36,289
51.5,0,0,0,0,0,0,111,0,84,0,0,10,15,15,0,17,7,0,42,302
52.5,0,0,0,0,0,0,102,0,72,6,0,12,52,0,10,0,8,0,38,300
53.5,15,0,0,0,6,0.0688,114,0,64,13,13,0,40,0,0,0,10,0,33,308
55.5,0,18,0,0,0,0.0612,118,0,68,0,0,0,36,8,0,0,10,0,36,294
56.5,0,0,7,16,0,0.0739,95,0,62,0,0,14,66,0,0,12,7,0,26,305
57.5,0,0,2,4,2,0.0286,100,0,84,0,0,0,61,0,0,8,6,0,18,286
58.5,2,15,5,0,0,0.0763,86,0,51,0,0,0,64,0,0,22,10,0,34,289
60.5,2,14,6,0,0,0.0873,70,0,47,0,0,0,59,0,0,27,6,0,27,258
62.5,0,5,0,0,0,0.0165,116,0,70,13,0,0,20,0,10,15,0,23,30,302
64.5,0,7,0,5,0,0.0378,74,0,97,0,0,16,48,12,0,17,0,30,13,320
68.5,0,7,0,9,0,0.0522,55,0,102,0,0,17,55,12,0,17,0,23,7,305
74.5,0,6,0,7,0,0.043,49,0,104,0,0,16,48,13,0,22,0,26,8,300
75.5,0,14,0,10,0,0.0792,65,0,90,0,0,20,41,9,0,26,0,15,10,301
80.5,1,13,0,9,0,0.0745,80,0,75,0,0,16,49,10,0,31,0,15,7,306
86.5,0,6,0,7,0,0.0445,87,0,76,0,0,11,64,11,0,20,0,12,5,300
