taxon.name,Proposed_harmonised_names,FAMILIES,APD_presynon_update
Abies,Abies,PINACEAE,
Abutilon,Abutilon,MALVACEAE,
Acacia,Acacia,FABACEAE,
Acacia group I,Acacia,FABACEAE,
Acacia group III,Acacia,FABACEAE,
Acacia ehrenbergiana,Acacia,FABACEAE,
Acacia kamerunensis,Acacia,FABACEAE,
Acalypha,Acalypha,EUPHORBIACEAE,
Acanthaceae,Acanthaceae undiff.,ACANTHACEAE,
Acanthaceae (diporate),Acanthaceae undiff.,ACANTHACEAE,
Acanthaceae (prolate),Acanthaceae undiff.,ACANTHACEAE,
Acanthaceae (triangular),Acanthaceae undiff.,ACANTHACEAE,
Acanthophoenix rubra,[ignore],ARECACEAE,
Acanthus,Acanthus-type,ACANTHACEAE,
Achyranthes,Achyranthes-type,AMARANTHACEAE,
Achyranthes (A. aspera),Achyranthes-type aspera,AMARANTHACEAE,
Achyranthes aspera,Achyranthes-type aspera,AMARANTHACEAE,
Acridocarpus,Acridocarpus,MALPIGHIACEAE,
Adansonia,Adansonia,MALVACEAE,
Adenia,Adenia,PASSIFLORACEAE,
Adenorandia (A. kalbreyeri),Adenorandia-type kalbreyeri,RUBIACEAE,
Aerva,Aerva-type,AMARANTHACEAE,
Aerva (A. javanica),Aerva-type javanica,AMARANTHACEAE,
Aerva (A. lanata),Aerva-type lanata,AMARANTHACEAE,
Aerva javanica,Aerva-type javanica,AMARANTHACEAE,
Aerva lanata,Aerva-type lanata,AMARANTHACEAE,
Aeschynomene,Aeschynomene,FABACEAE,
Aeschynomene (A. baumii),Aeschynomene baumii-type,FABACEAE,
Aeschynomene baumii,Aeschynomene baumii-type,FABACEAE,
Afzelia,Afzelia,CAESALPINIACEAE,
Aidia micrantha,Aidia-type micrantha,RUBIACEAE,
Aizoaceae,Aizoaceae undiff.,AIZOACEAE,
Ajuga,Ajuga,LAMIACEAE,
Albizia,Albizia-type,FABACEAE,
Alchemilla,Alchemilla,ROSACEAE,
Alchornea,Alchornea,EUPHORBIACEAE,
Allophylus,Allophylus,SAPINDACEAE,
Alnus,Alnus,BETULACEAE,
Alnus glutinosa,Alnus glutinosa-type,BETULACEAE,
Aloe,Aloe-type,ASPHODELACEAE,
Alternanthera,Alternanthera,AMARANTHACEAE,
Amaranthaceae,Amaranthaceae undiff.,AMARANTHACEAE,
Amaryllidaceae,Amaryllidaceae undiff.,AMARYLLIDACEAE,
Ambrosia,Ambrosia-type maritima,ASTERACEAE,
Ambrosia/Xanthium,Ambrosia-type maritima,ASTERACEAE,
Ammannia,Ammannia-type,LYTHRACEAE,
Ammannia (A. prieuriana),Ammannia-type prieureana,LYTHRACEAE,
Anacardiaceae,Anacardiaceae undiff.,ANACARDIACEAE,
Anagallis,Anagallis,PRIMULACEAE,
Anisotes,Anisotes,ACANTHACEAE,
Annonaceae,Annonaceae undiff.,ANNONACEAE,
Anthocleista,Anthocleista,GENTIANACEAE,
Anthonotha,Anthonotha-type,FABACEAE,
Anthospermum,Anthospermum,RUBIACEAE,
Anthospermum asperuloides,Anthospermum,RUBIACEAE,
Anthostema,Anthostema-type,EUPHORBIACEAE,
Antiaris,Antiaris-type toxicaria,MORACEAE,
Antiaris (A. toxicaria),Antiaris-type toxicaria,MORACEAE,
Antidesma,Antidesma-type,EUPHORBIACEAE,
Aphloia theiformis,Aphloia theiformis,APHLOIACEAE,
Apiaceae,Apiaceae undiff.,APIACEAE,
Apocynaceae,Apocynaceae undiff.,APOCYNACEAE,
Apodytes,Apodytes dimidiata,ICACINACEAE,
Apodytes dimidiata,Apodytes dimidiata,ICACINACEAE,
Aporrhiza,Aporrhiza,SAPINDACEAE,
Araceae,Araceae undiff.,ARACEAE,
Araliaceae,Araliaceae undiff.,ARALIACEAE,
Arbutus,Arbutus,ERICACEAE,
Arbutus unedo,[ignore],ERICACEAE,
"Arecaceae (Mauritius type 127, de Boer)",Arecaceae undiff.,ARECACEAE,
"Arecaceae (Mauritius type 137, de Boer)",Arecaceae undiff.,ARECACEAE,
