"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Celtis","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Drosera","Echinops","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagonia","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geraniaceae undif.","Hedera","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Linum t.","Lonicera","Lythrum","Malva","Musci","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Olea t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Taxus","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Vitis"
NA,NA,NA,"610","  0","  0","224","  0","  0","315","  0","  0","  1"," 53"," 23","  7","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 11","  0","  0","  0","  0","  0"," 75","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","165","  0","  0","  0"," 89","  0","  0","  0","  0"," 10","  5","  0","  0","  0","  0","  0","  0","  0","  0"," 31","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"580","  1","  0"," 19","  0","  0","332","  0","  0","  1","180","  6","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 11","  0","  1","  0","  0","  0","102","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","393","  0","  1","  0"," 25","  1"," 69","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  2","  0","  0","  0"," 32","  0","  0","  0"
NA,NA,NA,"200"," 32","  0","  0","  0","  7"," 36","  0","  0","  0","  3","  7","  2","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","173","  0","  2","  0"," 15","  0","  1","  0","  0","  0"," 46","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  3","  6","  8","  0","  0","  0"
NA,NA,NA,"570","  1","  0","  9","  0","  1","415","  0","  2","  0","178","  7"," 10","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  9","  0","  0","  0","  1","  2","118","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","255","  0","  0","  0"," 58","  0"," 73","  0","  0","  7","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0"
NA,NA,NA,"620","  0","  0","  2","  0","  2","240","  0"," 19","  3","198"," 28","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0"," 20","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","233","  0","  0","  0"," 60","  0"," 10","  0","  0","  0","  8","  0","  0","  0","  0","  1","  0","  0","  0"," 46","  0","  0","  0","  0","  0","  0"," 30","  0","  0","  0"
NA,NA,NA,"609","  2","  0","  6","  0","  2","386","  0","  9","  1","202"," 27","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  8","  0","  0","  0","  1","  0"," 87","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","252","  0","  1","  0"," 62","  0"," 14","  0","  0","  4","  4","  0","  0","  0","  1","  0","  0","  0","  0"," 81","  0","  0","  0","  0","  0","  0"," 32","  0","  0","  0"
NA,NA,NA,"630","  1","  0","  0","  0","  2"," 71","  0","  7","  0","115"," 22","  5","  0","  0","  0","  0","  0","  0","  0","  4","  0","  6","  0"," 21","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  1","  0","  0","  1","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","144","  0","  7","  0"," 67","  4","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1"," 64","  0","  0","  0"
NA,NA,NA,"470","  1","  0"," 18","  0","  0"," 26","  0","  0","  1"," 37","  9","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  3","  0","  0","  0","  1","  1","  4","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","152","  0","  0","  1","104","  1","  4","  0","  0","  0"," 17","  0","  2","  0","  0","  0","  0","  0","  0"," 31","  0","  0","  0","  0","  0","  1","  8","  0","  0","  0"
NA,NA,NA," 85","  6","  0","  0","  0","  0","  3","  0","  0","  3","  0","  6","  0","  5","  0","  0","  0","  0","  0","  3","  3","  0"," 14","  0","170","  0","  0","  0","  1","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  8","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  2","  0","  2","  0","  0","  0","  0","  0","  1","124","  0","  0","  0"," 19","  5","  4","  0","  0","  0"," 35","  0","  2","  0","  0","  0","  0","  0","  0"," 68","  0","  0","  0","  1","  0","  0"," 18","  0","  0","  0"
NA,NA,NA,"640","  1","  0","  0","  0","  3"," 85","  0","  2","  0","117"," 14","  7","  0","  1","  0","  0","  0","  0","  0","  4","  0","  2","  0","  9","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","263","  0","  2","  0"," 90","  0","  0","  0","  0","  0","  7","  0","  1","  1","  1","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0"," 30","  0","  0","  0"
NA,NA,NA,"540","  1","  0","  0","  0","  3","268","  0","  7","  2","308","  5","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  7","  0","  0","  0","  0","  3"," 12","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","338","  0","  1","  0"," 70","  5"," 40","  0","  0","  5","  3","  0","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0"," 24","  0","  0","  0"
NA,NA,NA,"490","  1","  1","  0","  0","  1","104","  0","  1","  0"," 49","  5","  5","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  7","  0","  0","  0","  0","  6","  3","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","279","  0","  3","  0"," 81","  1","  5","  0","  0","  0","  5","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  4","  0","  0","  0"
NA,NA,NA,"440","  1","  0","  7","  0","  0"," 35","  0","  1","  1"," 36","  7","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  4","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","235","  0","  5","  0"," 89","  3","  1","  0","  0","  2","  8","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  1","  6","  0","  0","  0"
NA,NA,NA,"510","  1","  0"," 15","  0","  1"," 99","  0","  6","  1","200"," 10","  6","  0","  0","  0","  0","  0","  0","  0","  3","  0","  9","  0"," 16","  0","  0","  0","  0","  0","  1","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","294","  0","  5","  0"," 78","  1","  0","  0","  0","  4","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 26","  0","  0","  0"
NA,NA,NA,"480","  2","  0","  8","  0","  1"," 88","  0","  2","  1","154","  6","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  3","  0","  0","  0","  0","  0","  7","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  4","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","232","  0","  4","  1"," 95","  1"," 33","  0","  0","  1","  6","  0","  0","  0","  1","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0"
NA,NA,NA,"590","  2","  0","  2","  0","  3","293","  0"," 10","  0","172"," 12","  6","  0","  0","  0","  0","  0","  0","  1","  1","  0","  7","  0"," 14","  0","  0","  0","  0","  1"," 36","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","464","  0","  1","  0"," 56","  0"," 27","  0","  0","  0"," 18","  0","  0","  1","  0","  1","  0","  0","  0"," 18","  0","  0","  0","  1","  0","  2"," 40","  0","  0","  0"
NA,NA,NA,"550","  0","  1","  4","  0","  1","210","  0","  3","  2","230"," 10","  3","  0","  0","  0","  0","  0","  0","  0","  3","  0","  2","  0","  3","  0","  0","  0","  0","  2","  9","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","198","  0","  4","  1"," 55","  1"," 29","  0","  0"," 26","  5","  0","  0","  0","  0","  1","  0","  0","  0","  5","  0","  0","  2","  0","  0","  0"," 30","  0","  0","  0"
NA,NA,NA,"430","  0","  0"," 24","  0","  0"," 18","  0","  0","  0"," 34","  5","  5","  0","  0","  0","  0","  0","  0","  2","  1","  0","  2","  0","  2","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","123","  0","  2","  0","142","  0","  1","  0","  0","  0","  5","  1","  2","  0","  0","  0","  0","  1","  0","  4","  0","  0","  1","  0","  0","  0"," 12","  0","  0","  0"
NA,NA,NA,"350"," 12","  1"," 94","  0"," 11"," 36","  0","  0","  1"," 11","  1","  5","  3","  1","  0","  0","  0","  0"," 14","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  8","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","357","  0","  2","  0","113","  0","  0","  0","  0","  0","198","  0","  0","  0","  1","  0","  0","  1","  0"," 11","  0","  0","  0","  2","  1"," 11"," 18","  0","  0","  0"
NA,NA,NA,"100"," 16","  0","  0","  0","  7","  1","  0","  1","  1","  2","  0","  1","  6","  2","  0","  0","  0","  0","  3","  3","  0","  4","  0"," 50","  0","  0","  0","  1","  0"," 40","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","220","  0","  2","  0"," 44","  5","  9","  0","  0","  0","125","  1","  2","  0","  0","  0","  0","  0","  0","241","  0","  0","  0","  1","  0","  0"," 56","  0","  0","  0"
NA,NA,NA,"75"," 3"," 0"," 0"," 0"," 3"," 2"," 0"," 1"," 4"," 0","13"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0","13"," 0","22"," 0"," 0"," 0"," 0"," 1","25"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 7"," 0","15"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0","73"," 0"," 0"," 0","17"," 2"," 8"," 0"," 0"," 0","37"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0","97"," 0"," 0"," 0"," 0"," 0"," 2","16"," 0"," 0"," 0"
NA,NA,NA,"460","  2","  0"," 11","  0","  1","138","  0","  7","  0","138","  4","  5","  0","  0","  0","  0","  0","  0","  2","  2","  0","  2","  0","  3","  0","  0","  0","  0","  0","  3","  0","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","282","  0","  6","  0","187","  4","  6","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  3","  0","  0","  1"," 10","  0","  0","  0"
NA,NA,NA,"520","  1","  0"," 11","  0","  2","158","  0","  7","  2","277","  3","  1","  0","  2","  0","  0","  0","  0","  1","  1","  0","  6","  0","  7","  0","  0","  0","  0","  3","  1","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 12","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","187","  0","  7","  0","117","  3","  1","  0","  0"," 15","  2","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0"
NA,NA,NA,"560","  2","  0"," 67","  0","  4","392","  0","  1","  1","209"," 22","  7","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  6","  0","  0","  0","  0"," 11"," 17","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  6"," 35","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","290","  0","  2","  0","121","  2"," 32","  0","  0","  0"," 21","  1","  1","  0","  0","  0","  0","  0","  0","  9","  0","  0","  2","  0","  0","  1"," 26","  0","  0","  0"
NA,NA,NA,"650","  1","  0","  0","  0","  2","138","  0","  7","  2","113"," 11","  5","  0","  0","  0","  0","  0","  0","  1","  4","  0"," 11","  0"," 27","  0","  0","  0","  2","  0","  0","  1","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  7","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","343","  0","  5","  0","135","  2","  1","  0","  0","  0","  8","  0","  1","  0","  0","  0","  0","  0","  0"," 27","  0","  0","  2","  0","  0","  1"," 34","  0","  0","  0"
