"age_NA","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Cuscuta","Cyperaceae","Ephedra","Erica t.","Eucalyptus","Fabaceae Undif.","Fern","Fraxinus","Galium t.","Hedera","Helianthus","Ilex","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lythrum","Monoletes","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rumex t.","Salix","Sparganium","Thymelaeaceae undif.","Triletes","Valerianaceae undif.","Viburnum"
NA,NA,NA,"90"," 0"," 0","32"," 0"," 3"," 0"," 1"," 0","10"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0","11"," 0","35"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2","10"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 2"," 0","15"," 0"," 0"," 0","38"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA,"75"," 0"," 0","34"," 0"," 1"," 0"," 3"," 0","10"," 0"," 0"," 0"," 0"," 0"," 3"," 3"," 0"," 8"," 0","81"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1","23"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 1"," 0","28"," 2"," 0"," 0","73"," 0"," 3"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA,"85"," 0"," 0","40"," 0"," 2"," 0"," 0"," 0","18"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 6"," 0","75"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","11"," 0"," 0"," 0"," 0"," 6"," 0"," 2"," 0"," 3"," 3","25"," 0"," 0"," 0","40"," 1"," 1"," 0"," 0","10"," 0"," 0"," 0"," 3"," 0"," 0"
NA,NA,NA,"80"," 0"," 0","35"," 0"," 3"," 0"," 1"," 1","14"," 0"," 0"," 0"," 0"," 1"," 2"," 1"," 0"," 5"," 0","52"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","24"," 0"," 0"," 0"," 1"," 4"," 0"," 0"," 0"," 1"," 2","24"," 3"," 0"," 0","45"," 0"," 6"," 1"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA," 55","  0","  1"," 30","  0","  0","  1","  2","  0"," 16","  0","  0","  2","  0","  0","  0","  0","  0","  5","  0","113","  0","  1","  0","  0","  0","  0","  2","  0","  0"," 30","  0","  0","  0","  0"," 14","  0","  1","  0","  3","  0"," 20","  3","  1","  0"," 48","  0","  7","  1","  0","  1","  0","  0","  0","  3","  0","  0"
NA,NA,NA," 50","  0","  0"," 37","  0","  3","  0","  2","  1"," 17","  0","  0","  5","  0","  0","  6","  0","  0"," 21","  0","100","  0","  0","  2","  0","  0","  0","  1","  0","  1"," 25","  0","  0","  0","  0","  9","  0","  0","  0","  3"," 13"," 28","  1","  0","  0"," 18","  1","  6","  1","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 70","  0","  0"," 15","  0","  3","  0","  1","  1","  8","  0","  0","  1","  0","  1","  1","  1","  0","  1","  0","110","  0","  0","  1","  0","  1","  0","  0","  0","  2"," 33","  0","  1","  0","  0","  5","  0","  0","  0","  1","  4"," 11","  1","  0","  0"," 38","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 10","  0","  1"," 15","  0","  3","  0","  1","  1"," 20","  0","  0","  0","  0","  0","  1","  2","  0"," 10","  0","110","  0","  1","  2","  0","  0","  0","  1","  0","  1"," 58","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 55"," 17","  2","  0","  0","  8","  0"," 13","  1","  0","  2","  0","  0","  0","  1","  0","  0"
NA,NA,NA,"95"," 1"," 1","42"," 1"," 0"," 1"," 1"," 1","12"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0","42"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4","28"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 3"," 1","20"," 1"," 0"," 0","40"," 0"," 1"," 2"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"
NA,NA,NA,"105","  0","  1"," 80","  0","  0","  0","  1","  0"," 16","  0","  0","  1","  1","  0","  4","  0","  0"," 10","  0"," 10","  0","  1","  2","  1","  0","  0","  0","  0","  3"," 56","  0","  1","  0","  1","  2","  0","  5","  0","  1","  1"," 41","  0","  0","  0"," 51","  0","  2","  1","  0","  3","  0","  0","  0","  0","  0","  0"
