"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alchemilla t.","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arceuthobium","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Buxus","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","Heliotropium","Hydrocharitaceae","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lythrum","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Olea t.","Ononis t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rhododendron","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Verbena t.","Viburnum","Vitex","Vitis","Ziziphus/Paliurus"
NA,NA,NA,"520","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"460","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"504","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"440","  0","  0","  0","  0","  0","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 25","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 42","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"400","  2","  0","  0","  0","  4","  0","  0","  0","  3","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  6","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","200","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 65","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"120","  1","  0","  0","  0","114","  4","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  2","  0","  0","  0","  1","  0"," 61","  0","  0","  0","  0","  0","  0","  0","  5","  4","  9","  1","  0","  0","  0","  0","  0","  0","  0"," 21"," 34","  0","  0","  0"," 38","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0"," 50","  0","  4","  3"," 19","  0","  0","  4","  0","  0","  0","  0","129","  1","  0","  0","  0","  0","  1","  1","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  1","  0"
NA,NA,NA,"420","  0","  0","  0","  0","  2","  0","  0","  4","  2"," 30","  1","  0","  0","  1","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  6"," 11","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","114","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","219","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  5","  0"," 16","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  2","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 50","  1","  0","  0","  0"," 59","  2","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","149","  0","  0","  1","  0","  0","  0","  1","  2","  4","122","  0","  0","  0","  0","  3","  0","  0","  0"," 44","417","  0","  0","  0"," 26","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 51","  0","  1","  6","  8","  0","  0","  0","  0","  0","  0","  0","160","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 29","  0","  0","  0","  0","  0","  0","  0"," 27","  2","  0","  0","  0","  0","  1","  0"
NA,NA,NA," 410","   2","   0","   0","   0","   2","   0","   0","   0","   2","  20","   4","   0","   0","   2","   4","   0","   0","   0","   1","   0","   0","   4","   4","   4","   0","   1"," 227","   0","   0","   0","   1","   1"," 157","   0","   0","   0","   0","   0","   0","   0","   0","   0","1142","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 375","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  60","   0","   6","   0","  12","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0"
NA,NA,NA,"100","  2","  0","  0","  0"," 86","  4","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  1","  0","  0","  0","  0","105","  0","  0","  0","  0","  0","  0","  0","  8","  6","  4","  0","  0","  0","  0","  4","  0","  0","  0"," 29"," 19","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  4","  0","  0","  0","  0","  2","  1","  0","  1","  0","  0"," 60","  0","  0","  2"," 14","  1","  0","  2","  0","  0","  1","  1","231","  1","  0","  0","  0","  0","  0","  7","  0","  0","  0"," 11","  0","  0","  0","  0","  2","  0","  0"," 24","  6","  0","  0","  0","  0","  2","  0"
