"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Azolla/Salvinia","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","Geraniaceae undif.","Haplophyllum","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Juncaginaceae","Lamiaceae undif.","Leontice","Ligustrum","Lonicera","Loranthus","Lotus t.","Lythrum","Matthiola","Mercurialis","Monactinus simplex (type clathratum)","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Pseudopediastrum kawraiskyi","Psoralea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Selaginella selaginoides","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Vitis","Ziziphus/Paliurus"
"1000",NA,NA,"  46","   0","   0","   0","   4","   2","  38","   0","   8","   8","  28","   2","   7","   0","   1","   6","   0","   8","   0","   0","   0","   1","   0","   0","   0","   0","  14","  33","   0","   0","   0","   0","   0","   1","  68","   0","   1","   0","   2","   0","   0","   0","   2","   0","   0","   8","   4","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","  45","   0","   0","   2","   9","   0","   1","  25","   0","   0"," 187","   2","   3","   0","   0"," 518","  15","   1","   3","   0","   0","   0","   0","   0"," 143","  48","  68","   0","   0","   0","   0","   2","   1","   0","   3","   0","   0","   0","   0","   0","  37","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"1731",NA,NA,"  53","   0","   0","   0","   0","   3","  36","   0","   1","   1","  14","   0","   1","   0","   2","   4","   0","   6","   0","   0","   0","   0","   2","   0","   0","   0","   4","  14","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   1","   0","   0","   1","   0","   0","  14","   2","   0","   0","   0","  41","   9","   0","   0","   0","   0","   0","   0","   0","  86","  19","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   9","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"2357",NA,NA,"  59","   0","   0","   0","   0","   1","  18","   0","   1","   6","  20","   0","   5","   0","   0","   2","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   3","   8","   0","   0","   0","   0","   0","   0","  18","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   8","   0","   0","   0","   0","   0","  31","   1","   2","   0","   0","  49","   7","   0","   0","   0","   0","   0","   0","   0","  41","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2983",NA,NA,"  65","   0","   0","   0","   5","   7","  94","   0","   0","  11","  60","   1","   8","   0","   0","  10","   0","  36","   0","   0","   0","   0","   0","   3","   0","   0","   7","  30","   0","   0","   0","   0","   0","   2","  40","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   3","   0","   1","   5","   6","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   4","   0","   1","   4","   0","   0","  42","  11","   7","   0","   0"," 140","   8","   6","   0","   0","   0","   0","   0","   0"," 289","  39","   8","   0","   1","   0","   0","   3","   2","   0","   4","   0","   1","   0","   0","   0","  19","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0"
"3505",NA,NA,"  70","   0","   0","   1","   2","  12"," 126","   0","   2","  27","  86","   2","  19","   0","   1","  28","   0","  44","   1","   0","   0","   2","   0","   9","   2","   7","  20","  39","   0","   0","   0","   0","   2","   6","  55","   1","   0","   1","   2","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   5","   6","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","   2","   0","   0","   1","  42","   0","   0","   2","   1","   2","  90","  17","   7","   4","   0"," 182","  17","   0","   0","   0","   0","   0","   0","   1"," 212","  55","  10","   0","   0","   0","   0","   3","   5","   0","   4","   0","   1","   0","   0","   0","  44","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0"
"4549",NA,NA,"  80","   0","   0","   0","   2","   6","  84","   0","   3","  13","  53","   0","  13","   0","   1","  22","   0","  34","   2","   0","   0","   0","   0","   1","   1","   2","   7","  23","   0","   0","   0","   0","   0","   4","  53","   1","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   7","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","  21","   1","   1","   1","   0","   0","  56","  14","  10","   4","   0"," 157","  15","   0","   0","   0","   0","   0","   0","   0"," 210","  26","   4","   0","   0","   0","   0","   2","   9","   0","   0","   0","   1","   0","   0","   0","  18","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0"
"5592",NA,NA,"  90","   1","   0","   0","   4","   4"," 167","   0","   7","  38"," 107","   1","  27","   0","   0","  19","   0","  86","   0","   0","   0","   1","   0","   0","   0","   6","   4","  46","   0","   0","   0","   0","   0","  10","  73","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","  14","   0","   0","   0","   0","   0","   0","   9","   0","   0","   2","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","  63","   1","   0","   0","   2","   0","  56","  17","   6","   2","   0"," 250","  18","   6","   0","   1","   0","   0","   0","   0"," 234","  23","   8","   0","   0","   0","   1","   3","   4","   0","   1","   0","   3","   0","   0","   0","  27","   0","   0","   3","   0","   0","   0","   1","   0","   1","   0","   0","   0","   2","   0"
"6636",NA,NA," 100","   0","   0","   0","   2","   0","  83","   0","   7","  11","  33","   0","   9","   0","   0","  10","   0","  18","   0","   0","   0","   1","   0","   0","   0","   6","   9","  33","   1","   0","   0","   2","   0","   7","  35","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","  52","   2","   5","   0","   0"," 126","  11","   2","   0","   0","   0","   0","   0","   0"," 195","  29","  10","   0","   0","   0","   0","   5","   0","   0","   1","   0","   1","   0","   0","   0","   4","   0","   0","   1","   0","   0","   0","   2","   0","   1","   0","   0","   0","   2","   0"
"7680",NA,NA," 110","   0","   0","   0","   3","   1","  91","   0","   8","  19","  25","   0","  12","   0","   0","  16","   0","  25","   0","   0","   0","   1","   0","   3","   1","   3","   5","  28","   1","   0","   0","   0","   0","   6","  44","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","  21","  30","   3","   1","   0"," 159","  14","   0","   0","   0","   0","   0","   0","   0"," 284","  19","   6","   0","   0","   0","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0"
"8723",NA,NA," 120","   0","   0","   0","   0","   0"," 155","   0","  17","  26","  63","   1","  18","   0","   1","  18","   0","  86","   0","   0","   0","   1","   0","   3","   0","   8","   7","  58","   0","   0","   0","   0","   0","  15"," 108","   0","   0","   0","   5","   0","   0","   0","   2","   0","   0","   0","   3","   0","   0","   6","  21","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   1","   0","   0","   0","  34","  31","  14","   6","   0"," 216","  10","   2","   0","   0","   0","   0","   0","   0"," 604","  38","   7","   0","   0","   0","   0","   4","   3","   0","   0","   0","   1","   0","   0","   0","  11","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0"
"9767",NA,NA," 130","   0","   0","   0","   1","   1","  83","   0","   4","   8","  22","   0","   6","   0","   0","   8","   0","  35","   0","   0","   0","   1","   0","   1","   0","   3","   5","   8","   0","   0","   0","   0","   0","   3","  36","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   2","   0","   0","   3","   5","   0","   0","   0","   0","   0","   0","   2","   1","   0","   3","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","  13","   0","   0","   0","   1","   0","  31","  33","   7","   5","   0"," 120","   7","   2","   0","   0","   0","   1","   0","   0"," 317","  18","   0","   0","   0","   0","   0","   3","   3","   0","   1","   0","   0","   0","   0","   1","  11","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0"
"10218",NA,NA,"  135","    0","    0","    0","    5","    0","  123","    0","    8","   17","   23","    0","   14","    0","    1","    9","    0","   19","    0","    0","    0","    1","    0","    4","    0","   11","   14","   25","    0","    0","    0","    0","    0","   11","   42","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    8","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","   12","    0","    0","    0","    1","    0","   23","   27","    7","    1","    0","  128","   17","    0","    0","    0","    0","    0","    0","    0","  423","   11","    0","    0","    0","    0","    0","    6","    5","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0"
"10906",NA,NA,"  145","    0","    0","    0","    3","    3","  117","    0","    9","   31","   31","    1","   16","    0","    4","   10","    0","   21","    0","    0","    0","    0","    0","    5","    0","   26","    4","   28","    0","    0","    0","    0","    0","    5","   27","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    8","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    1","    0","   32","   12","    7","    1","    0","   97","    7","    2","    0","    0","    0","    0","    0","    0","  348","   11","    3","    0","    0","    0","    0","    2","    4","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    6","    0"
