"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Araceae","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Geranium","Gossypium","Haplophyllum","HippophaÃ«","Hydrocotyle","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lysimachia","Malva","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nuphar","Olea t.","Onagraceae","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prosopis t.","Pseudopediastrum kawraiskyi","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Roemeria","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitex","Vitis","cf. Equisetum","cf. Lycopodium clavatum"
"   9"," 499","-496","   1","   2","   0","   0","   0","   0","   0"," 157","   2","   0","   8","   0","  58","   0"," 204","   1","   0","   0","  79","  73","   1","   0","   0","   0","   1","   1","   3","   1"," 195"," 216"," 272","   0","   0","   0","   1","   2","  73","   0","   0","   0","   1","   0","   0","   0","   6","   0","   1","   5","   0","   5","   0","  16","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 431","  13","   0","  93","  18","   5","   0","   0","   0","   0","   0","   0","   2","   6","   0","   0","   0","   2","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"  85"," 570","-415","   5","   1","   0","   0","   0","   0","   1"," 125","   1","   0","   8","   0","  33","   0"," 162","   1","   0","   0","  35","  33","   0","   0","   0","   0","   0","   0","   2","   1"," 220"," 162"," 176","   0","   1","   0","   1","   2","  50","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   8","   0","   0","   0","  10","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0"," 387","   4","   0","  38","  19","   3","   0","   0","   0","   1","   0","   0","   1","   5","   0","   1","   0","   4","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   1","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0"
" 371"," 838","-110","  20","   0","   0","   0","   0","   0","   4"," 192","   1","   0","   6","   0","  59","   0"," 200","   0","   0","   0","   8","   1","   0","   0","   0","   0","   2","   0","   5","   2"," 261"," 251"," 223","   0","   2","   0","   1","   0","  71","   3","   0","   0","   1","   0","   0","   0","   3","   0","   0","   8","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0"," 400","   9","   0","  86","  31","   6","   0","   1","   0","   0","   0","   0","   0","   9","   0","   2","   0","   3","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0"
" 752","1195"," 297","  40","   0","   0","   0","   0","   0","   3"," 440","   0","   0","   1","   0","  35","   0","  90","   1","   0","   0","   2","   1","   0","   0","   0","   0","   2","   2","   3","   0"," 298"," 283"," 319","   0","   0","   0","   3","   0","  39","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   8","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 326","   3","   0","  39","  20","   7","   0","   0","   1","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"1134","1554"," 705","  60","   1","   0","   0","   0","   0","   2"," 156","   0","   0","   0","   0","   7","   0","  60","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 265"," 167"," 202","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 196","   0","   0","  17","   9","   5","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0"
"1515","1912","1112","  80","   8","   0","   0","   0","   0","   2"," 140","   0","   0","   0","   0","  14","   0"," 124","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 391"," 202"," 182","   0","   1","   0","   0","   0","  22","   3","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 203","   0","   0","  40","  82","   5","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1897","2270","1519"," 100","   5","   0","   0","   0","   0","   1","  10","   0","   0","   0","   0","   2","   0","   8","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 112","  42","  16","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 357","   0","   0","   2","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2278","2630","1927"," 120","   4","   0","   0","   0","   0","   0","  45","   0","   0","   1","   0","   2","   0","  42","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0"," 248"," 304"," 381","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 410","   0","   0","   3","   0","   3","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2659","2988","2333"," 140","  10","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","   0","  20","   1","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 318","  23","  94","   0","   0","   0","   1","   0","   2","   3","   0","   0","   0","   0","   5","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 275","   0","   0","   5","   0","   1","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3041","3347","2740"," 160","  17","   0","   0","   0","   0","   2","   6","   0","   0","   0","   0","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0"," 467","   4","   8","   0","   0","   0","   0","   1","   2","   2","   0","   0","   1","   1","   0","   1","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 159","   1","   0","   5","   2","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   6","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
