"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Hedera","Hypericum undif.","Ilex","IsoÃ«tes","Lamiaceae undif.","Lemnaceae","Ligustrum","Linum t.","Lythrum","Myriophyllum undif.","Myrtus","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sparganium","Thalictrum","Thymelaeaceae undif.","Ulmus t.","Unknown","Viburnum","Vitis"
NA,NA,NA,"135","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"100","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  6","  0","  0","  1","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0"
NA,NA,NA,"110","  0","  0","  0","  0","  2","  0","  4"," 11","  0","  0","  0","  0","  0","  5","  0","  1","  0","  0","  1","  6","  0","  0","  6","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  2","  0"," 10","  0","  4","  5","  0","  5","  4","  0","  0","  2","  2","  0","  0","  0","  0","  0","  0","  4","  0","  0"
NA,NA,NA,"125","  0","  0","  0","  0","  5","  2","  2"," 11","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  2","  6","  0","  0","  1","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  5","  0","  0","  5","  0","  7","  6","  1","  1","  3","  0","  2","  0","  0","  0","  0","  0"," 13","  0","  0"
NA,NA,NA,"75"," 0"," 0"," 0"," 2","24"," 0"," 1","53"," 0"," 0"," 2"," 0"," 2"," 0"," 0","27"," 2"," 0"," 3"," 6"," 2"," 0"," 7"," 0","13"," 0"," 0"," 7"," 0"," 6"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 7"," 1"," 5"," 0","16","63"," 0","11"," 8"," 0"," 5"," 5"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"
NA,NA,NA,"150","  0","  0","  0","  0"," 18","  1","  2","  4","  0","  0","  2","  0","  1","  4","  0","  0","  0","  0","  2","  3","  0","  5","  1","  6","  3","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  3","  5","  0","  4","  0","  7","  0","  2"," 26","  0"," 13","  6","  0","  3"," 11","  0","  0","  0","  3","  0","  0","  0","  9","  0","  0"
NA,NA,NA," 0"," 0"," 1"," 0"," 4"," 5"," 4"," 0"," 5"," 0"," 0"," 3"," 1"," 5"," 1"," 0"," 3"," 0"," 0"," 1","13"," 0"," 0","18"," 1"," 0"," 1"," 0"," 7"," 0"," 5"," 0"," 0"," 2"," 0"," 2"," 1"," 0"," 1"," 0"," 0"," 8"," 2","13","36"," 0","55","17"," 4"," 0"," 7"," 3"," 2"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"
NA,NA,NA," 55","  0","  0","  0","  2"," 30"," 13","  7"," 24","  0","  0","  3","  0","  2","  2","  0"," 12","  0","  0","  9"," 24","  1","  1"," 15","  1"," 15","  0","  0"," 11","  0","  6","  0","  0","  0","  0"," 14","  0","  1","  3","  4","  0","  1","  0"," 16","109","  0"," 29"," 17","  1","  2","  7","  8","  3","  0","  0","  0","  0","  0","  6","  0","  0"
NA,NA,NA,"80"," 0"," 1"," 1"," 3","27","10"," 2","33"," 0"," 0"," 9"," 0"," 3"," 1"," 0","16"," 1"," 0"," 1","22"," 0"," 1","24"," 0","47"," 0"," 0"," 3"," 0"," 5"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 4"," 8"," 0"," 3"," 0","36","71"," 0","19","14"," 0"," 4"," 9"," 3"," 1"," 0"," 0"," 0"," 0"," 0","16"," 0"," 0"
NA,NA,NA," 5"," 0"," 0"," 0"," 2","21"," 7"," 0","10"," 0"," 0"," 4"," 0"," 5"," 5"," 0"," 6"," 0"," 0"," 6","18"," 0"," 0","31"," 2"," 1"," 1"," 0","19"," 0"," 7"," 0"," 0"," 1"," 0","15"," 0"," 1"," 2"," 0"," 1","11"," 1","14","63"," 0","65","35"," 3"," 4"," 8"," 2"," 3"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 0"
