"depth","Acacia t.","Alchornea","Alnus","Amaranthaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Blepharis","Boscia","Brassicaceae","Bridelia","Calligonum","Canthium","Capparis","Caryophyllaceae undif.","Cassia","Ceiba","Celastraceae undif.","Celtis","Centaurea","Cichorieae","Cistaceae","Cleome","Combretaceae","Commiphora","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fern","Gaertnera","Gymnocarpus","Heliotropium","Indeterminable","Indigofera","Isoberlinia","Lannea","Macaranga","Maerua","Meliaceae undif.","Mitracarpus","Morella","Musci","Nyctaginaceae","Olea t.","Paronychieae","Phillyrea","Phyllanthus undif.","Picea","Pinus undif.","Plantago","Poaceae","Polygonum t.","Quercus evergreen","Rhizophora","Rubiaceae undif.","Rumex t.","Salvadora","Searsia","Sideroxylon t.","Spergularia t.","Sterculia undif.","Tamarix","Thymelaeaceae undif.","Tilia","Tribulus","Typha","Utricularia","Vitis","Xyridaceae","Ziziphus/Paliurus","Zygophyllum t."
" 21","  0","  0","  0","402"," 18"," 70","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  7","  0","  0","  5","  0","  0","  0"," 37","  5","  1","  0","  3","  0","  0","  0","  0","  8","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  2"," 74","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0"
" 31","  1","  0","  0","349"," 14"," 61","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  6","  0","  0","  6","  0","  0","  0"," 81","  3","  0","  0","  4","  0","  0","  0","  2","  6","  0","  0","  0","  0","  2","  1","  0","  1","  0","  0","  0","  0","  2","  0","  0","  4","  0"," 80","  0","  0","  4","  1","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0"
" 41","  0","  1","  0","306"," 12"," 30","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","119","  5","  0","  0","  0","  0","  0","  1","  0","  5","  0","  0","  1","  0","  4","  1","  1","  0","  0","  0","  3","  0","  0","  2","  0","  6","  0"," 91","  0","  1","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
" 51","  2","  1","  0","239"," 14"," 34","  0","  0","  0","  1","  2","  0","  2","  0","  0","  0","  2","  0","  0","  3","  0","  4","  0","  0","  6","  1","  0","  0"," 91","  7","  1","  0","  3","  0","  0","  0","  0","  4","  0","  0","  0","  1","  5","  0","  1","  1","  0","  0","  0","  0","  1","  1","  0","  5","  2","166","  0","  3"," 11","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0"
" 61","  0","  1","  0","216","  9"," 17","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  3","  0","  0","  1"," 63","  7","  0","  0","  1","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  4","  0","  0","  2","  0"," 52","  0","  0","  1","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"
" 71","  0","  0","  0","249"," 21"," 39","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  5","  0","  0","  0"," 92"," 15","  1","  0","  5","  0","  0","  0","  1","  8","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  2","  0","  0","  5","  2","187","  0","  0","  7","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0"
" 81","  1","  2","  0","273"," 20"," 29","  1","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  9","  2","  0","  1","  0","  0","  0"," 63"," 11","  0","  0","  3","  0","  0","  0","  1","  2","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  9","  1","147","  0","  0","  8","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0"
" 91","  3","  1","  0","234"," 12"," 28","  2","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  1","  0"," 37","  9","  0","  0","  4","  0","  0","  1","  0","  3","  0","  0","  0","  0","  3","  0","  1","  0","  0","  0","  1","  0","  1","  1","  0"," 11","  0","104","  0","  0","  3","  0","  0","  0","  1","  1","  0","  1","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0"
"101","  3","  2","  0","339"," 37"," 31","  2","  0","  0","  0","  0","  0","  2","  0","  1","  0","  3","  0","  1","  2","  1","  4","  0","  0","  1","  0","  0","  0"," 31"," 11","  1","  0","  2","  0","  0","  1","  0","  3","  1","  0","  0","  0","  0","  0","  2","  0","  0","  1","  2","  2","  1","  0","  0","  9","  2","157","  0","  1","  9","  0","  0","  0","  2","  1","  0","  0","  0","  1","  0","  0","  6","  0","  0","  1","  0","  0"
"111","  0","  0","  0","348"," 32"," 18","  0","  0","  0","  0","  3","  0","  1","  0","  2","  0","  2","  0","  0","  0","  0","  4","  0","  1","  2","  0","  0","  0","  7"," 12","  0","  0","  1","  1","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  5","  3","116","  0","  0","  5","  0","  0","  0","  2","  1","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"
"121","  0","  1","  0","333"," 27"," 14","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  2","  0"," 91"," 22","  0","  0","  2","  2","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  2","  0","  9","  0","102","  0","  1","  5","  0","  0","  0","  2","  0","  0","  1","  1","  0","  0","  0","  3","  0","  0","  0","  0","  1"
"121","  0","  1","  0","176"," 11","  4","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0"," 61"," 10","  0","  0","  2","  2","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0"," 57","  0","  0","  3","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0"
"131","  0","  0","  0","432"," 42"," 34","  0","  0","  0","  1","  1","  0","  1","  0","  1","  0","  1","  0","  0","  3","  1","  4","  0","  0","  3","  0","  0","  0"," 21"," 15","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0"," 16","  2","122","  0","  0","  4","  0","  0","  0","  2","  3","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"
