"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Citrus","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Hedera","Hymenophyllum","IsoÃ«tes","Juglans","Juncaginaceae","Lamiaceae undif.","Lonicera","Lotus t.","Lythrum","Malva","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rheum","Rosaceae undif.","Rumex t.","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Viburnum","Vitis"
"1154","1478"," 830","  65","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   8","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   3","   0","   0","  55","   6","   1","   0","  12","   0","   0","   0","   0","   0","   0","  15","   7","   0","   0","   0","   0","   1","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0"
"1292","1597"," 982","  80","   0","   0","   2","   1","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  13","   4","   0","   1"," 156","   4","   1","   1","  31","   1","   1","   1","   0","   0","   0","  29","  14","   0","   0","   0","   1","   6","   0","   0","   0","  18","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   3"
"1476","1757","1184"," 100","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  65","   1","   0","   0","  60","   0","   0","   0","  20","   1","   0","   0","   0","   0","   0","  10","   8","   0","   0","   0","   0","   3","   0","   0","   0","  71","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0"
"1660","1918","1385"," 120","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","  54","   0","   1","   0","  89","   2","   0","   0","  20","   2","   0","   0","   0","   0","   0","   5","   6","   0","   0","   0","   1","   1","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   4","   0","   1","   0","   0"
"2120","2340","1875"," 170","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 111","   1","   2","   0","   7","   0","   1","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   4","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0"
"2212","2430","1970"," 180","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  29","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  24","   0","   0","   0","  51","   1","   4","   0"," 100","   2","   0","   7","   0","   0","   0","   3","   3","   0","   0","   0","   0","   1","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0"
"2579","2804","2343"," 220","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","  35","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   4","  10","   6","   0","   0","  15","   0","   2","   0","  25","   0","   0","   0","   0","   0","   0","  11","   7","   0","   0","   0","   0","   2","   2","   0","   0","  23","   0","   0","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0"
"2763","2996","2522"," 240","   0","   1","   1","   0","   0","   4","   0","   0","   0","   2","   0","   3","   0","   0","   2","   0","   0","   1","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","  74","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   5","   0","   1","   2","   1","   0","   0","   1","   0","   0","   0","   3","  18","   7","   0","   0","  37","   0","   1","   1","  36","   0","   1","   0","   0","   0","   0","  18","  28","   1","   0","   0","   0","   1","   0","   0","   0","  38","   0","   0","   0","   0","   0","   0","   0","  62","   0","   0","   0","   1"
"3177","3439","2915"," 285","   0","   1","   4","   0","   1","   2","   0","   0","   0","  12","   0","  14","   0","   0","   8","   1","  14","   4","   0","   0","  21","   0","   2","   8","   1","   3","   0","   0","   0","   0","   1","   0"," 112","   0","   0","   1","   0","   0","   1","   1","  12","   0","   0","   0","  10","   1","   0","   1","   1","   0","   2","   0","   3","   0","   1","   2","   0","   0","   0","   0","   0"," 184","   0","   0","  33","   2","   5","   1","  55","   4","   0","   0","   0","   0","   3","  61","  60","   2","   0","   1","   0","  48","   1","   0","   0","  15","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"3315","3588","3046"," 300","   0","   2","   7","   0","   0","   0","   0","   0","   0","   3","   0","   2","   0","   0","   2","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  60","   0","   0","   0","   1","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  15","   0","   0","  38","   0","   1","   1","   5","   1","   0","   0","   0","   0","   0","   9","   9","   0","   0","   0","   0","   7","   1","   0","   0","  28","   0","   0","   1","   0","   0","   0","   1","   6","   0","   0","   0","   1"
"3499","3789","3220"," 320","   0","   0","   3","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0"," 244","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   5","   0","   5","  16","   0","   1","   0","   4","   0","   0","   0","   0","   1","   0","   2","   6","   0","   0","   0","   0","   8","   0","   0","   0","  35","   0","   0","   0","   1","   1","   0","   0","  24","   0","   0","   0","   0"
"3784","4096","3479"," 351","   0","   1","   1","   0","   1","   2","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   1","   1","   1","   0","   1","   0","   0","   0","   0","   0","  66","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","  42","   2","   0","  34","  30","   1","   4","   1","  10","   0","   0","   1","   0","   0","   0","   9","   5","   0","   0","   0","   0","   3","   1","   0","   0","  18","   0","   0","   0","   1","   0","   1","   1","  22","   0","   2","   1","   1"
"3793","4106","3487"," 352","   0","   1","   2","   0","   1","   2","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   2","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","  58","   0","   0","   1","   1","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","  26","  18","   0","   0","  13","   0","   3","   1","  17","   1","   0","   0","   0","   0","   0","  13","  12","   0","   0","   0","   0","   5","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   2","  18","   0","   1","   0","   0"
"4050","4387","3713"," 380","   0","   0","   5","   0","   0","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   2","   1","   0","   0","   0","   0","   1","   1","   0","   0","  42","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   5","  10","   0","   1","  64","   4","   0","   0","  13","   2","   1","   0","   0","   0","   0","   3","   6","   0","   1","   0","   0","   3","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0"
"4326","4691","3953"," 410","   0","   0","  30","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  56","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","   1","   0","   0","   0","   2","   3","   0","   3","  28","   2","  13","   0","  13","   1","   0","   0","   0","   0","   0","   9","   7","   0","   0","   0","   0","   5","   0","   0","   0","  18","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0"
"4694","5100","4271"," 450","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   1","   0","  20","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   8","   0","   0","  28","   1","   0","   0","  15","   0","   0","   0","   0","   0","   0","   7","  17","   0","   0","   0","   0","   7","   0","   0","   0","  52","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0"
"4832","5255","4391"," 465","   0","   5","   8","   0","   0","   2","   0","   0","   0","  13","   0","   0","   2","   1","   2","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","  80","   0","   0","   0","   1","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 248","   9","   0","   0","  54","   4","   2","   0","  45","   3","   0","   0","   0","   0","   0","  29","  24","   0","   0","   0","   0","  11","   0","   0","   0","  41","   0","   0","   1","   0","   1","   0","   0","   8","   1","   0","   0","   0"
"4923","5357","4468"," 475","   0","   0","   6","   0","   1","   1","   1","   0","   0","   6","   0","   2","   0","   0","   1","   0","   0","   0","   1","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","  33","   0","   0","   0","   2","   0","   0","   0","   8","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","  47","   3","   0","   0","  30","   3","   6","   1","  19","   2","   0","   1","   0","   0","   0","  20","  10","   0","   0","   0","   0","   6","   0","   0","   0","  51","   0","   0","   0","   1","   0","   0","   1","  15","   0","   0","   0","   0"
"5153","5615","4663"," 500","   0","   0","   2","   0","   1","   1","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   1","   0","   0","   0","  13","   1","   3","   0","  16","   0","   0","   0","   0","   0","   0","  13","  10","   0","   0","   1","   1","   3","   0","   0","   0","  55","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"5337","5822","4819"," 520","   0","   1","   5","   0","   3","   1","   0","   0","   0","   3","   0","   6","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0"," 132","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   9","   0","   1","   0","   1","   0","   3","   0","   0","  32","   0","   1","   0","  55","   2","   0","   0","   0","   0","   0","  24","  20","   1","   0","   0","   0","   0","   1","   0","   0","  50","   0","   0","   0","   0","   0","   0","   4","   4","   0","   0","   0","   0"
"5521","6031","4974"," 540","   0","   0","   1","   1","   2","   0","   0","   0","   1","   6","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   3","   8","   0","   0","   0","   1","   0","   0","   1","   0","  17","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  13","   0","   0","   0","   0","   0","   2","   0","   6","   0","   0","   0","   0","  48","   0","   2","   1","  26","   0","   0","   0","   0","   0","   0","   9","  12","   2","   0","   0","   0","   6","   0","   0","   1"," 142","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0"
"5613","6135","5051"," 550","   0","   1","   2","   2","   1","   2","   0","   0","   0","   3","   0","   2","   0","   0","   0","   1","   0","   1","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   2","   0","   0","  50","   0","   1","   0","  98","   0","   0","   0","   0","   0","   0","  14","  19","   0","   0","   0","   0","   3","   0","   0","   0"," 173","   0","   0","   0","   1","   0","   0","   1","   4","   0","   0","   0","   0"
"5705","6239","5129"," 560","   0","   0","   5","   0","   0","   2","   0","   0","   0","   4","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","  66","   3","   1","   1","  78","   2","   0","   0","   0","   0","   0","  29","  20","   0","   0","   1","   0","   2","   1","   0","   0","  33","   1","   0","   1","   0","   0","   0","   0","   2","   0","   2","   0","   0"
"5889","6446","5282"," 580","   0","   0","  10","   0","   1","   0","   0","   0","   0","   8","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  27","   2","   5","   0","  39","   0","   1","   0","   0","   0","   0","  27","  63","   2","   0","   0","   1","   6","   0","   0","   0","  13","   0","   0","   1","   0","   0","   0","   1","   7","   0","   0","   0","   0"
"6073","6654","5436"," 600","   0","   2","  13","   0","   2","   1","   0","   0","   0","   9","   0","   3","   0","   2","   1","   0","   0","   0","   2","   0","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   7","   0","   0","  29","   4","   2","   0","  40","   0","   0","   0","   0","   0","   0","  50","  85","   0","   0","   0","   1","  11","   0","   0","   0","  22","   0","   0","   1","   0","   0","   0","   2","   6","   0","   0","   0","   0"
