"Depth (cm) [cm]","Amaranthaceae undif.","Ammannia t.","Asteraceae","Berlinia","Bombax","Celtis","Christiana t.","Combretaceae","Cyperaceae","Elaeis","Euphorbiaceae undif.","Fabaceae Undif.","Fern","Heliotropium","Indeterminable","Lamiaceae undif.","Lannea","Mitracarpus","Myrtaceae undif.","Petaloid monocot","Poaceae","Podostemaceae","Randia","Rhizophora","Syzygium t.","Trema","Typha","Ziziphus/Paliurus"
" 0"," 5"," 0"," 0"," 2"," 0"," 0"," 0"," 5","12"," 0"," 2"," 6"," 2"," 4"," 5"," 0"," 0"," 6"," 0"," 0","44"," 0"," 0"," 2"," 0"," 0"," 0"," 0"
"50"," 5"," 1"," 0"," 2"," 0"," 0"," 0"," 5","12"," 0"," 2"," 6"," 2"," 4"," 4"," 0"," 1"," 7"," 0"," 0","44"," 0"," 1"," 1"," 0"," 0"," 0"," 1"
"100"," 10","  0","  1","  0","  0","  0","  0","  8","  4","  1","  0"," 16","  5","  1","  0","  0","  0","  2","  1","  2"," 54","  0","  0","  0","  1","  1","  1","  1"
"150","  7","  0","  1","  0","  0","  0","  1"," 13","  3","  1","  0"," 17","  0","  0","  4","  0","  1","  2","  1","  0"," 44","  0","  1","  1","  0","  1","  1","  0"
"200"," 16","  1","  0","  0","  0","  1","  1"," 14","  2","  0","  1"," 10","  1","  1","  5","  0","  0","  2","  1","  0"," 43","  1","  0","  0","  1","  0","  1","  0"
"250","  2","  0","  0","  1","  0","  0","  1","  4","  2","  0","  0","  7","  3","  0","  3","  1","  0","  0","  1","  0"," 72","  0","  0","  1","  1","  0","  1","  0"
"300","  0","  0","  0","  0","  0","  1","  1","  0","  7","  0","  0"," 21","  0","  0","  6","  0","  1","  0","  0","  0"," 60","  0","  0","  0","  1","  0","  0","  0"
"350","  1","  0","  0","  2","  0","  0","  0","  1","  6","  0","  0"," 26","  1","  0","  4","  1","  0","  0","  0","  0"," 55","  0","  0","  6","  1","  0","  0","  0"
"400","  1","  0","  0","  2","  0","  0","  0","  1"," 11","  0","  0"," 22","  1","  0","  4","  0","  0","  0","  0","  0"," 55","  0","  0","  3","  1","  0","  0","  0"
"450","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"500","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"550","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"600","  1","  3","  0","  0","  0","  0","  0","  0","  4","  0","  0","  9","  9","  0","  3","  0","  0","  0","  0","  0"," 54","  0","  0"," 23","  0","  0","  0","  0"
"650","  1","  4","  0","  0","  0","  0","  0","  0","  6","  0","  0"," 14"," 19","  0","  3","  0","  0","  0","  0","  0"," 18","  0","  0"," 34","  0","  0","  0","  0"
"700","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"750","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"800","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"850","  1","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0"," 29","  1","  0","  0","  0","  0","  0","  0","  0"," 45","  0","  0","  0","  0","  0","  0","  0"
"900","  1","  0","  0","  0","  1","  0","  0","  0","  8","  0","  0"," 28","  0","  0","  0","  0","  0","  0","  0","  0"," 58","  0","  0","  0","  0","  0","  0","  0"
"950","  0","  0","  0","  0","  1","  0","  0","  1","  6","  0","  0"," 28","  1","  0","  0","  0","  0","  0","  0","  0"," 63","  0","  0","  0","  0","  0","  0","  0"
"1000","   1","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","  34","   0","   0","   4","   0","   0","   0","   0","   0","  54","   0","   0","   0","   0","   0","   0","   0"
"1050","   1","   0","   0","   0","   1","   0","   0","   0","   8","   0","   0","  18","   0","   0","   0","   0","   0","   0","   0","   0","  68","   0","   0","   0","   0","   0","   0","   0"
"1100","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","  73","   0","   0","   0","   0","   0","   0","   0"
"1150","   1","   0","   0","   0","   0","   0","   0","   1","   7","   0","   0","  20","   0","   0","   1","   0","   0","   0","   0","   0","  68","   0","   0","   0","   0","   0","   0","   0"
"1200","   0","   0","   0","   0","   0","   0","   0","   1","   5","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","  76","   0","   0","   0","   0","   0","   0","   0"
"1250","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","  73","   0","   0","   0","   0","   0","   0","   0"
"1275","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","  74","   0","   0","   0","   0","   0","   0","   0"
