"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Atraphaxis","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryonia","Butomus","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyclamen","Cyperaceae","Datisca cannabina","Dioscorea","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","Hibiscus","Hypecoum","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Leontice","Linum t.","Lotus t.","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Morella","Myricaria","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Periploca","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potentilla t.","Prosopis t.","Prunus t.","Psoralea","Punica granatum","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Styrax","Tamarix","Taxus","Thalictrum","Theligonum","Thelypteris palustris-type","Thesium","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valerianella","Verbena t.","Viburnum","Vitis","Ziziphus/Paliurus"
"5063",NA,NA,"  40","   0","   0","   0","   0","   2","  19","   0","   0","  15","   5","   0","  49","   0","   5","   0","   1","   0","   0","  35","   0","   0","   0","   0","   0","   0","   0","  22","   0","   1","  13","   0","  23","   1","   0","   0","   4","   0","   1","   0","  17","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   5","   1","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","  12","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","  13","   2","  10","   0","   0","  83","   3","  23","   0","   0","   0","   0","   0","   0","  28","   5","   3","   0","   0","   1","   2","   0","  17","   0","   0","   0","   0","   0","   0","   0"," 149","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"5438",NA,NA,"  50","   0","   0","   0","   0","   3","  30","   0","   0","  27","  19","   0","  53","   1","   7","   0","   0","   2","   1","  63","   0","   0","   0","   0","   0","   5","   0","  17","   0","   1","  20","   0","  51","   1","   0","   0","   1","   0","   1","   0","  42","   1","   0","   0","   0","   1","   1","   0","   6","   0","   0","   0","  18","   0","   6","   3","   0","   0","   0","   0","   0","   0","   0","   1","   6","   8","   2","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","  29","   0","   0","   0","  10","   0","   0","   0","   0","   0","   5","   0","   0","  37","   0","  10","   0","   0"," 171","   1","  20","   0","   0","   0","   0","   0","   0","  21","  12","   9","   0","   0","   4","   3","   1","  40","   0","   2","   0","   0","   0","   0","   0"," 159","   1","   0","   0","   0","   1","   3","   0","   0","   1","   0","   0","   3","   0","   1","   0","   0","   0","   0","   2","   0"
"5813",NA,NA,"  60","   0","   0","   0","   0","   0","  20","   0","   0","  22","   9","   0","  38","   1","   3","   0","   0","   1","   0","  53","   0","   1","   0","   0","   1","   1","   0","  18","   0","   1","  19","   0","  49","   1","   0","   0","   2","   0","   2","   0","  43","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  15","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","  12","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","  30","   1","   5","   0","   0"," 118","   0","  12","   0","   0","   0","   0","   0","   0","  17","  16","   2","   0","   0","   2","   4","   0","  20","   0","   0","   0","   0","   0","   0","   0"," 101","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   1","   1","   0","   0","   0","   0","   4","   0"
"6188",NA,NA,"  70","   0","   0","   0","   2","   8","  31","   0","   0","  20","  11","   1","  47","   0","  13","   0","   0","   4","   0","  54","   1","   1","   0","   0","   0","   3","   0","  24","   0","   0","  22","   0","  55","   0","   0","   0","   2","   0","   3","   0","  36","   1","   0","   0","   1","   5","   0","   0","   1","   0","   0","   0","  19","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   6","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   5","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","  18","   1","   8","   0","   0"," 150","   3","  20","   0","   0","   0","   0","   0","   0","  42","  12","   5","   0","   0","   1","   2","   0","  28","   0","   0","   0","   0","   0","   0","   0"," 120","   0","   0","   0","   0","   4","   2","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   1","   0"
"6563",NA,NA,"  80","   0","   0","   0","   0","   2","  44","   1","   0","  37","  14","   2","  65","   0","   6","   0","   1","   4","   0","  32","   0","   0","   0","   0","   0","   2","   0","  13","   0","   1","  38","   0","  30","   1","   0","   0","   1","   0","   3","   0","  55","   0","   0","   1","   1","   1","   1","   0","   1","   0","   0","   0","  37","   0","  10","   3","   0","   0","   0","   0","   0","   0","   0","   3","  12","   6","   2","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","  19","   0","   0","   0","   0","   0","   1","   0","   0","  13","   0","   9","   0","   0","  77","   2","  42","   0","   0","   0","   0","   0","   0","  18","  25","   1","   0","   0","   1","   1","   1","  22","   0","   0","   0","   0","   0","   0","   0","  79","   0","   0","   0","   0","   2","   2","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0"
"6938",NA,NA,"  90","   0","   0","   0","   0","   6","  58","   4","   1","  31","  13","   0"," 148","   0","   5","   0","   1","   3","   0","  14","   0","   0","   0","   1","   0","   6","   0","  22","   2","   4","  24","   1","  22","   0","   1","   0","   0","   0","   0","   0"," 105","   0","   0","   3","   5","   0","   3","   0","   1","   2","   0","   0","  46","   0","  20","   1","   0","   1","   1","   0","   0","   0","   0","   0","  15","  11","   2","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","  40","   0","   0","   0","   0","   1","   0","   0","   0","  14","   0","   7","   0","   0"," 105","   3","  54","   0","   0","   0","   1","   0","   0","  20","  23","   0","   1","   0","   2","   4","   0","  42","   0","   0","   0","   0","   0","   0","   0","  92","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   6","   5","   1","   0","   0","   0","   0","   2","   0"
"7313",NA,NA," 100","   0","   0","   0","   2","   1","  32","   0","   0","  24","  14","   1","  66","   1","   8","   0","   1","   1","   0","   7","   0","   0","   0","   0","   0","   4","   0","  15","   0","   2","  14","   0","  24","   0","   0","   0","   0","   0","   3","   0","  64","   0","   0","   3","   0","   0","   2","   0","   3","   0","   0","   0","  13","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   9","  14","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   1","   1","   0","   0","  20","   2","   4","   0","   0","  96","   5","  25","   0","   0","   0","   0","   0","   0","  20","  19","   6","   1","   0","   1","   4","   0","  14","   0","   0","   0","   0","   0","   0","   1","  49","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   1","   2","   0"
"7688",NA,NA," 110","   0","   0","   0","   0","   8","  10","   0","   0","  19","  14","   0","  40","   0","   2","   0","   4","   0","   0","  18","   0","   0","   0","   0","   0","   4","   1","  16","   1","   1","  29","   0","   9","   0","   0","   0","   2","   0","   2","   0","  33","   0","   0","   1","   2","   2","   3","   0","   1","   0","   0","   0","   8","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   5","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","  18","   1","   5","   0","   0","  30","   4","  15","   0","   0","   0","   0","   0","   0","  12","   7","   6","   0","   0","   3","   4","   0","  12","   0","   0","   0","   0","   0","   0","   0","  32","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   1","   5","   0","   0","   0","   0","   0","   6","   0"
"8063",NA,NA," 120","   0","   0","   0","   0","   2","  32","   1","   0","  28","  15","   3","  56","   0","   7","   0","   0","   5","   0","   2","   0","   0","   1","   0","   1","   2","   0","  21","   0","   1","  21","   0","  37","   0","   0","   0","   1","   0","   1","   0"," 101","   0","   0","   0","   3","   2","   0","   0","   0","   1","   0","   1","   7","   0","   6","   1","   0","   0","   0","   1","   0","   0","   0","   0","   9","  11","   1","   0","   1","   0","   4","   0","   0","   0","   2","   0","   0","   1","   3","   1","   1","   0","  27","   0","   0","   0","   1","   0","   0","   0","   0","   9","   3","  12","   1","   0"," 119","   4","  20","   0","   0","   0","   1","   0","   0","  19","  30","   0","   1","   0","   5","   2","   0","  22","   0","   0","   0","   2","   0","   0","   0","  65","   0","   0","   1","   0","   7","   2","   0","   0","   1","   0","   0","   2","   3","   0","   0","   0","   0","   0","   3","   0"
"8438",NA,NA," 130","   0","   0","   0","   2","   1","  50","   1","   0","  19","  18","   1","  92","   0","  13","   0","   1","   2","   0","  15","   0","   0","   0","   0","   0","   4","   0","  24","   0","   0","  28","   0","  48","   1","   0","   0","   0","   0","   8","   0","  73","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   6","   0","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","  10","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","  26","   0","   0","   0","   0","   1","   0","   0","   0","  14","   0","   3","   1","   0","  85","   5","  26","   0","   1","   0","   0","   1","   0","  31","  25","   2","   0","   0","   3","   9","   0","  18","   0","   0","   0","   0","   0","   0","   0","  55","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   1","   0"
