"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Fern","Filipendula t.","Fraxinus","Gentianaceae undif.","HippophaÃ«","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lythrum","Mercurialis","Myriophyllum undif.","Olea t.","Onagraceae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Taxus","Thalictrum","Thymelaeaceae undif.","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"4840",NA,NA,"   0","   0","   0","   0","  10","   0","   0","   0","   4","   0","   7","   0","   1","   0","   2","   0","   0","   0","   0","   0","   8","   4","   0","   0","   1","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","  17","   2","   0","   0","   0","   0","  13","   0","   0","   0","  25","   0","   5","   2","   0","  20","   3","   0","   2","   0","   1","   2","  14","   0","   1","   0","   2","   1","   2","   1","   0","   0","   0","   1","   0","   2","   2","   1","   0","   0","   0"
"4911",NA,NA,"   5","   0","   0","   0","  17","   3","   0","   0","   3","   0","   4","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","  16","   0","   0","   0","   0","  13","   0","   0","   0","   0","   1","   0","   0","   0","   4","   2","   0","   1","   0","   0","  11","   0","   0","   0","  12","   0","   4","   0","   0","  30","   5","   0","  40","   5","   1","   0","   6","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  10","   1","   0","   8","   0","   1"
"4982",NA,NA,"  10","   0","   0","   0","   0","   1","   0","   0","   6","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","  33","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  29","  11","   3","   0","   0","  51","   3","   0","   0","   0","   0","  24","  51","   9","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0"
"5124",NA,NA,"  20","   0","   0","   0","   2","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   1","   1","   3","   1","   0","  48","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","  37","   9","   2","   0","   0","  40","   0","   0","   0","   0","   0","  32","  35","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0"
"5267",NA,NA,"  30","   0","   0","   1","   6","   1","   0","   0","   5","   0","   1","   0","   1","   0","   0","   1","   0","   2","   3","   0","   1","  30","   0","   0","   1","   0","   0","   0","   0","   2","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","  21","   7","   2","   0","   0","  50","   3","   0","   0","   0","   0","   7","  83","  11","   0","   0","   1","   0","   1","   1","   0","   3","   0","   1","   0","   8","   0","   2","   0","   1","   0"
"5555",NA,NA,"  50","   0","   0","   1","   0","   2","   0","   0","   3","   0","   1","   0","   1","   0","   0","   1","   0","   0","   1","   0","   2","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   8","   6","   0","   0","   0","  18","   2","   0","   0","   0","   0","   5","  38","  11","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0"
"5703",NA,NA,"  60","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","  22","   2","   2","   0","   0","  12","   0","   0","   0","   0","   0","   5","  26","   3","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   1","  20","   1","   0","   0","   0","   0"
"5854",NA,NA,"  70","   0","   0","   2","   7","   2","   0","   0","  11","   0","   0","   1","   3","   0","   0","   0","   0","   1","   0","   1","   4","  32","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   6","   0","   0","   4","  31","  17","   5","   0","   0","  47","   2","   0","   0","   0","   0","  22","  57","   6","   0","   0","   0","   0","   3","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0"
"6009",NA,NA,"  80","   0","   0","   0","   1","   2","   0","   0","  14","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","  30","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  32","   7","   1","   0","   0","  22","   0","   0","   0","   0","   0","  16","  45","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"6169",NA,NA,"  90","   0","   0","   1","   4","   2","   0","   0","   9","   0","   0","   1","   1","   0","   0","   1","   0","   0","   1","   0","   1","  18","   1","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","  22","   8","   3","   0","   0","  27","   1","   0","   0","   0","   0","  12","  60","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0"
"6334",NA,NA," 100","   0","   0","   0","   4","   1","   0","   0","   2","   0","   1","   3","   1","   0","   0","   0","   0","   1","   0","   0","   1","  39","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   5","   7","   8","   1","   0","   0","  12","   0","   0","   0","   0","   0","   9","  38","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"6684",NA,NA," 120","   0","   0","   1","   4","   0","   1","   0","   2","   0","   1","   1","   1","   0","   0","   1","   0","   2","   1","   0","   3","  43","   0","   1","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","  17","   8","   2","   0","   0","  32","   3","   0","   0","   0","   0","  29","  63","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0"
"6869",NA,NA," 130","   0","   0","   0","   2","   8","   0","   0","   4","   0","   1","   1","   1","   0","   1","   0","   0","   1","   2","   1","   2","  61","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   1","  10","  13","   1","   0","   0","  30","   0","   0","   0","   0","   0","  13","  96","  13","   0","   0","   0","   0","   2","   1","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0"
"7065",NA,NA," 140","   0","   0","   1","   5","  20","   0","   0","   5","   0","   1","   2","   2","   0","   0","   0","   0","   0","   0","   0","   1","  95","   0","   0","   1","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   6","   0","   0","   0","   0","   3","   0","   0","   0","  42","  14","   2","   0","   0","  55","   1","   0","   0","   0","   0","  66","  55","  10","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   4","   1","   1","   0","   0","   0"
"7278",NA,NA," 150","   0","   0","   8","   3","   4","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0"," 195","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","  21","   9","   2","   0","   0","  46","   3","   0","   0","   0","   0","  13","  42","  20","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0"
"7518",NA,NA," 160","   0","   0","   1","   5","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   0","   1","   3","   0","   0"," 140","   1","   1","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  41","   6","   2","   0","   0","  63","   0","   0","   0","   0","   0","  57","  23","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0"
"7778",NA,NA," 170","   0","   0","   3","   3","   1","   0","   0","   1","   0","   2","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0","  17","   3","   1","   0","   0","  65","   1","   0","   0","   0","   0","  37","  30","  12","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","  10","   0","   0","   0","   1","   0"
"8043",NA,NA," 180","   0","   0","   1","   8","   3","   0","   0","   7","   0","   0","   0","   2","   0","   0","   1","   0","   2","   3","   0","   2"," 100","   0","   1","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  30","   7","   5","   0","   0","  60","   0","   0","   0","   0","   0","  55","  45","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","  12","   0","   0","   0","   0","   0"
"8296",NA,NA," 190","   0","   0","   1","   5","   1","   0","   0","   1","   0","   3","   0","   1","   0","   0","   0","   1","   1","   1","   0","   0","  45","   1","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   8","   0","   0","   3","  24","  13","   3","   0","   0"," 108","   3","   0","   0","   0","   0","  41","  58","  19","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   7","   0","   1","   0","   0","   0"
"8521",NA,NA," 200","   0","   0","   1","   2","   1","   1","   0","   3","   0","   2","   1","   2","   0","   0","   1","   0","   4","   2","   0","   2","  30","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   4","   0","   0","   0","   3","   0","   0","   0","  27","   6","   1","   0","   0","  80","   0","   0","   0","   0","   0","  22","  40","  12","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0"
"8715",NA,NA," 210","   1","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   2","   2","  46","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  12","   3","   2","   0","   0","  85","   0","   0","   0","   0","   0","  21","  47","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0"
"8887",NA,NA," 220","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   4","   1","   0","   0","  21","   0","   0","   0","   0","   0","  10","  18","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","   1","   0","   0","   0"
"9048",NA,NA," 230","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   1","   2","   0","   2","  52","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","  11","   4","   0","   0","   0","  70","   2","   0","   0","   0","   0","  18","  65","  15","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","  28","   0","   0","   0","   0","   0"
