"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cotinus coggygria","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Fumaria","Galium t.","Geranium","HippophaÃ«","Hippuris","Hypericum undif.","IsoÃ«tes","Juglans","Juncaginaceae","Lamiaceae undif.","Littorella","Lotus t.","Lysimachia","Matthiola","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nitraria","Olea t.","Ononis t.","Paronychieae","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pteropyrum","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Tamarix","Thalictrum","Trapa natans","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Viburnum","Vitis"
NA,NA,NA," 70","  0","  0","  0","  1"," 12","  0","  0","  2","  8","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  2","  0","  6","  0","  0","  0","  0","  0","  0","  0","  3","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","363","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 11","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0"
NA,NA,NA," 20","  2","  0","  0","  0","  5","  0","  0","  0","  4","  1","  0","  0","  0","  1","  0","  0","  2","  1","  0","  0","  1","  2","  0","  0","  0","  0","  0","  1","  0","  0"," 49","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","888","  0","  0","  0","  0","  5","  0","  1","  0","  1","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"120","  2","  0","  0","  3","462","  0","  0","  0"," 15","  1","  0","  0","  0","  6","  0","  0","  1","  0","  0","  0","  1","  2","  0","  1","  0","  0","  0","  0","  1","  0"," 59","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","285","  0","  1","  0","  2","152","  0","  0","  0","  0","  0","  0","  9","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0"
NA,NA,NA,"  50","   0","   0","   2","   1","  13","   0","   1","   0","   6","   2","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   7","   2","   4","   0","   0","   0","   0","   0","   5","   0","  99","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","1016","   1","   0","   0","   2","  15","   1","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0"
NA,NA,NA," 250","   1","   0","   0","   0","   5","   0","   0","   0","  14","   5","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","1768","   0","   0","   1","   0","   0","   0","   2","  12","   0","   0","   0","   0","   1","   0","   0","   0","  43","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  62","   0","   3","   0","   0"," 220","   1","   0","   0","   0","   0","   0","  10","   0","   0","   0","   2","   2","   0","   4","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
NA,NA,NA,"230","  1","  0","  0","  2","  2","  0","  1","  0","  9","  5","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  1","  0","  0","  1","  0","  0","  0","  1","  0","104","  0","  0","  0","  0","  0","  0","  0","  2","  1","  4","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","435","  0","  2","  0","  0"," 47","  1","  0","  0","  0","  0","  0"," 33","  0","  1","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  1","  0","  6","  0","  0","  0","  1"
NA,NA,NA,"180","  0","  0","  0","  0","  2","  1","  5","  5"," 18"," 16","  0","  1","  0","  0","  0","  0","  1","  0","  7","  1","  0","  3"," 14","  0","  0","  0","  1","  0","  1","  0"," 15","  0","  0","  0","  0","  0","  0","  1","  1","  1","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","117","  0"," 15","  0","  0"," 26","  5"," 11","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  6","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1"," 46","  0","  0","  0","  0"
NA,NA,NA," 40","  0","  0","  0","  0"," 31","  0","  7","  0"," 17","  6","  0","  2","  0","  6","  0","  0","  3","  1","  0","  0","  1","  7"," 98","  0","  0","  0","  0","  0"," 25","  0"," 26","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","372","  0","  7","  0","  6"," 40","  1","  2","  0","  3","  0","  0"," 12","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  1"
NA,NA,NA,"  1","  1","  0","  0","  1"," 61","  0","  0","  1","  7","  8","  0","  0","  0"," 44","  0","  0","  0","  0","  1","  0","  0","  4"," 93","  0","  0","  0","  0","  0","  3","  0"," 41","  0","  0","  0","  0","  0","  0","  1","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","926","  0","  5","  1","  2"," 15","  1","  0","  0"," 93","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 84","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0"
NA,NA,NA," 10","  0","  0","  0","  0"," 67","  0","  1","  1"," 14","  7","  0","  0","  1","  7","  0","  0","  0","  0","  4","  1","  3","  5"," 70","  2","  0","  0","  0","  0","  5","  0"," 29","  0","  0","  0","  1","  0","  0","  1","  1","  7","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","801","  0","  2","  0","  2"," 37","  2","  0","  0"," 59","  0","  0","  4","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0"," 66","  0","  0","  0","  0","  0","  0"," 26","  0","  0","  0","  0"
