"Sample Age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Alismataceae","Allophylus t.","Alnus","Amaranthaceae undif.","Araliaceae undif.","Asphodelus t.","Brassicaceae","Capparaceae undif.","Caryophyllaceae undif.","Cassia","Cedrus","Cichorieae","Cissus t.","Cistaceae","Combretaceae","Commiphora","Compositae Artemisia","Compositae Aster type","Convolvulaceae","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Delonix","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Geraniaceae undif.","Indeterminable","Indigofera","Jatropha/Croton","Juncaceae","Justicia t.","Lamiaceae undif.","Lotus t.","Malva undif.","Maytenus","Morella","Nyctaginaceae","Nymphaea","Ocimum","Olea t.","Petaloid monocot","Phoenix t.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Prosopis t.","Quercus undif.","Resedaceae undiff.","Rhamnaceae undif.","Solanaceae undif.","Tilia","Tribulus","Triletes","Typha","Urtica t.","Verbenaceae undif.","Zygophyllaceae undif."
NA,"  5.000","  0.000","  0.000","  0.000","  1.000","  0.000"," 25.000","  0.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  2.000","  0.000","  0.000","  0.000"," 10.000","  1.000","  0.000","  0.000","  4.000","  0.000","  1.000","  1.000","  0.000","  0.000","  0.000","  0.000","  3.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  1.000","  0.000","  1.000","296.000"," 13.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  3.000","  1.101","  0.000","  0.000","  0.000","  0.000"
NA," 26","  1","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  0"," 11","  0","  0","  1","  0","  0","  7","  0","  0","  0","  2","  5","  0","  1","  1","  1","  0","  0","  4","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","204","  8","  0","  2","  0","  1","  0","  1","  0","  0","  0","  2","  0","  2","  0","  0","  3"
NA," 42","  4","  1","  0","  1","  0","  9","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  5","  2","  0","  4","  1","  0","  0","  0","  1","  0","  3","  0","  0","  2","  0","  0","  2","  0","  0","  0"," 10","103","  8","  0","  0","  0","  0","  0","  7","  0","  0","  0","  4","  0","  0","  0","  2","  0"
NA,"49"," 8"," 3"," 0"," 0"," 0"," 3"," 0"," 1"," 2"," 0"," 0","10"," 0"," 3"," 0"," 0"," 0","13"," 0"," 3"," 0"," 0"," 0"," 3"," 1"," 0"," 0","12"," 9"," 0"," 8"," 2"," 0"," 0"," 0"," 3"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 2","97"," 9"," 0"," 0"," 0"," 2"," 0"," 5"," 0"," 0"," 0"," 3"," 0"," 1"," 0"," 1"," 0"
NA," 57","  0","  1","  0","  1","  0","  1","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0"," 11","  0","  1","  1","  0","  0","  8","  0","  0","  0","  5","  5","  0","  7","  4","  0","  0","  0","  5","  0","  2","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","101"," 12","  0","  0","  0","  0","  0","  3","  1","  0","  0","  1","  0","  0","  0","  0","  0"
NA," 97","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  4","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  6","  5","  0","  5","  1","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  1","  4","  0","  0","  3","161"," 11","  0","  0","  1","  0","  0","  0","  1","  0","  0","  3","  0"," 16","  0","  0","  0"
"1922"," 110","   1","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   7","   0","   2","   0","   0","   0","   8","   0","   0","   2","   0","   0","   6","   0","   0","   0","   6","   5","   0","   4","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0"," 242","  28","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   5","   0","   0","   0"
NA,"120","  4","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  8","  0","  2","  0","  0","  0"," 28","  0","  1","  2","  0","  0","  5","  4","  0","  0","  4","  8","  0","  4","  0","  1","  0","  0","  6","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","236","  9","  0","  1","  1","  1","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,"130","  3","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0"," 12","  0","  0","  0","  0","  0"," 11"," 12","  0","  0","  6","  4","  0"," 12","  0","  0","  0","  0","  3","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","149"," 14","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
NA,"140","  0","  1","  0","  0","  2"," 32","  0","  0","  2","  0","  0","  0","  1","  3","  0","  0","  0","  5","  0","  1","  0","  0","  2","  3","  0","  0","  0","  2","  7","  0","  6","  1","  0","  0","  0","  4","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","101","  3","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0"
