"depth","Cal age BP","Acanthus","Acer","Aizoaceae t.","Alnus","Amaranthaceae undif.","Antidesma t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Ballotus","Betula","Boraginaceae undif.","Brassicaceae","Cadaba","Calligonum","Caryophyllaceae undif.","Caylusea","Cedrus","Celosia type","Celtis","Centaurea","Chionanthus","Cichorieae","Cistaceae","Clematis-type","Cleome","Corylus","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Echinops","Echiochilon","Echium t.","Encephalartos","Ephedra","Erica t.","Erodium","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Galium t.","Gymnocarpus","Haloragaceae","Heliotropium","Hyphaene t.","Indeterminable","Juglans","Lamiaceae undif.","Lannea","Limoniastrum","Linum t.","Lythraceae undif.","Maerua","Mercurialis","Mollugo","Moltkia","Myrtus","Olea t.","Onagraceae","Ostrya","Petaloid monocot","Phaseolus","Phillyrea","Phyllanthus undif.","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygala","Polygonum t.","Proteaceae","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Spergularia t.","Tamarix","Tilia","Tribulus","Trichodesma","Typha","Ulmus t.","Vitis","Warionia","Ziziphus/Paliurus"
" 2",NA," 0"," 1"," 0"," 3","10"," 0"," 0"," 0"," 6"," 0"," 4"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 1"," 0"," 0"," 2"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 4"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0","12"," 0"," 1"," 0"," 4"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"  12","9100","   0","   0","   0","   0","  56","   0","   0","   0","  20","   0","  12","   0","   0","   0","   1","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  19","   1","   0","   0","   5","   0","   0","   0","   0","   6","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"   20","18300","    0","    0","    0","    0","   30","    0","    0","    0","   27","    0","    3","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","    2","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    8","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
"34",NA," 0"," 0"," 0"," 0","20"," 0"," 0"," 0","19"," 0"," 2"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","29"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" 42",NA,"  0","  0","  0","  0"," 70","  0","  0","  0"," 77","  0"," 15","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  2","  0","  3","  2","  0","  0","  0","  0"," 28","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0"," 17","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","118","  0","  1","  1","  5","  0","  1","  0","  4","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"
" 48",NA,"  0","  0","  0","  1","103","  0","  0","  0"," 52","  0"," 38","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  1","  0","  2","  1","  1","  1","  0","  0","  0","  1","  0"," 26","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  3","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","114","  0","  1","  0"," 11","  0","  0","  0","  2"," 10","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"
"   52","29500","    0","    0","    0","    0","   83","    0","    1","    0","   89","    1","    8","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    1","    5","    0","    0","    3","    0","    0","    0","    3","    0","    0","    0","    0","   11","    1","    0","    1","    1","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   28","    0","    0","    0","    2","    0","    0","    0","    1","    3","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0"
" 62",NA,"  0","  0","  0","  0","150","  0","  1","  0","104","  1"," 47","  0","  0","  0","  0"," 19","  0","  0","  1","  0","  0","  0","  0","  0","  1"," 22","  0","  0","  0","  1","  0","  7","  7","  0","  0","  0","  0"," 44","  1","  0","  0","  0","  0","  0","  7","  0","  0","  0","  4","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","139","  0","  3","  0"," 15","  0","  0","  0","  1"," 16","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"
"70",NA," 0"," 0"," 0"," 0","75"," 0"," 0"," 0","81"," 0","24"," 0"," 0"," 1"," 0"," 6"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0","11"," 1"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 1"," 0"," 0"," 1"," 3"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","46"," 0"," 0"," 1"," 7"," 0"," 0"," 0"," 3"," 9"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"74",NA," 0"," 0"," 0"," 0","38"," 0"," 0"," 0","33"," 0"," 3"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"
"82",NA," 0"," 1"," 0"," 0","67"," 0"," 2"," 0","56"," 0","24"," 0"," 0"," 1"," 0"," 7"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0","18"," 1"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 1"," 0"," 0","24"," 3"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 1"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","98"," 2"," 2"," 0","10"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"
"92",NA," 0"," 0"," 0"," 0","79"," 0"," 0"," 0","35"," 0","15"," 0"," 0"," 0"," 0","10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 1"," 0"," 0","20"," 0"," 1"," 2"," 0"," 0"," 0"," 0","20"," 5"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0","26"," 0"," 0"," 1","10"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"102",NA,"  0","  0","  0","  0"," 62","  0","  0","  0"," 24","  0"," 16","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  1","  0","  1","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 33","  0","  0","  1","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0"
"110",NA,"  0","  0","  0","  0"," 71","  0","  0","  0"," 34","  0"," 40","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  7","  3","  0","  0","  0","  0","  3","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 35","  0","  1","  0","  0","  0","  0","  0","  2","  5","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"114",NA,"  0","  0","  0","  0"," 47","  0","  1","  0"," 24","  1","  8","  0","  0","  0","  0","  5","  0","  2","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  3","  0","  0","  0","  1","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"
"  122","55450","    0","    0","    0","    0","   69","    0","    1","    0","   38","    0","   24","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   51","    0","    1","    0","    1","    0","    1","    0","    3","    1","    0","    0","    0","    0","    2","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0"
"128",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"133",NA,"  0","  0","  0","  0"," 45","  0","  1","  0"," 25","  1"," 17","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  5","  3","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 29","  0","  0","  0","  1","  0","  0","  0","  1","  6","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"
"140",NA,"  0","  0","  0","  0"," 17","  0","  0","  0"," 21","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 78","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"
