"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acacia t.","Acanthaceae undif.","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Aristolochiaceae","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cercis","Cichorieae","Cistaceae","Combretaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dacrydium","Dipsacaceae","Echinops","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Faidherbia albida","Fraxinus","Gentianaceae undif.","Geraniaceae undif.","Icacinaceae","Lamiaceae undif.","Loranthus","Malva undif.","Morella","Myrtus","Olea t.","Onagraceae","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Podocarpus","Polygonum t.","Populus","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Salix","Salvadora","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Sium/Apium-type","Solanaceae undif.","Tamarix","Thymelaeaceae undif.","Tilia","Tsuga","Ulmus t.","Valerianaceae undif.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"140",NA,NA,"  2","  3","  1","  0","  0","  1"," 83","  3","  0"," 27","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  2","  0","  0","  0","  1","  0"," 55","  0","  1","  0","  1","  0","  0","  2","  0","  1","  0","  1","  0","  4","  0","  1","  1","  1","  0","  0","  0","  0","  1","  1","  0"," 39","  1","  0","  3","  0","  3","  0","  0","  0","  0","  8","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"630",NA,NA," 11","  3","  0","  0","  0","  2"," 55","  1","  0"," 15","  0","  2","  1","  0","  0","  0","  0","  0","  2","  1","  2","  1","  0","  0","  0","  3","  0","  0","  0","  2"," 51","  0","  0","  0","  3","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  2","  2","  0"," 95","  0","  0","  4","  0","  1","  0","  0","  0","  1"," 10","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"1380",NA,NA,"  26","   6","   0","   0","   0","   2","  33","   1","   0","   2","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","   1","   0","   3","   0"," 111","   0","   0","   0","   1","   3","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   1","   0","   1","   2","   3","  68","   0","   1","   4","   1","   1","   1","   1","   2","   3","  48","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2060",NA,NA,"  36","   5","   0","   0","   0","   1","  36","   1","   0","  11","   0","   3","   0","   0","   2","   0","   0","   0","   1","   0","   8","   0","   0","   0","   3","   0","   1","   0","   1","   1","  41","   0","   0","   0","   4","   0","   0","   2","   0","   3","   0","   0","   0","   2","   0","   0","   4","   1","   2","   2","   0","   0","   0","   3","   1","  86","   0","   1","   0","   0","   1","   1","   0","   0","   2","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0"
"2630",NA,NA,"  46","  13","   0","   0","   0","   0","  43","   2","   0","  29","   0","   3","   0","   1","   2","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  57","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   2","   0","   0","   0","   0","   4","   0","  51","   0","   0","   1","   0","   0","   0","   0","   0","   6","  34","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3260",NA,NA,"  56","   4","   0","   0","   0","   2","  50","   2","   0","  12","   0","   2","   0","   0","   3","   0","   0","   0","   1","   0","   8","   0","   0","   0","   0","   0","   2","   0","   3","   0","  24","   0","   0","   0","   3","   0","   0","   2","   0","   1","   0","   0","   0","   2","   0","   0","   2","   0","   4","   0","   0","   0","   2","   2","   0","  51","   0","   0","   2","   0","   0","   0","   0","   1","   7","  26","   2","   0","   1","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"3790",NA,NA,"  66","   9","   0","   0","   0","   1","  58","   3","   0","   8","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","  62","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   2","   0","   1","   0","   0","   0","   2","   8","   0","  78","   0","   0","   1","   1","   1","   0","   0","   0","   3","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4430",NA,NA,"  76","   2","   0","   0","   0","   0","  49","   4","   0","  11","   0","   4","   0","   0","   3","   0","   0","   0","   2","   0","   1","   1","   0","   0","   0","   0","   0","   0","   2","   0","  33","   0","   0","   0","   1","   1","   0","   5","   0","   2","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   1","   6","   0","  61","   0","   0","   2","   1","   0","   1","   0","   0","   9","  28","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"5090",NA,NA,"  86","   4","   0","   0","   0","   0","  53","   4","   0","   8","   0","   3","   0","   0","   3","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   4","   0"," 157","   0","   0","   0","   5","   3","   0","   4","   0","   0","   0","   0","   1","   1","   0","   0","   2","   0","   0","   1","   0","   0","   1","   3","   0","  81","   0","   1","   4","   1","   0","   1","   0","   0","   4","  22","   0","   0","   2","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"5740",NA,NA,"  96","   5","   1","   0","   0","   2","  44","   2","   0","  13","   0","   4","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   2","   1","   0","   1","   0","  77","   0","   1","   1","   5","   0","   0","   2","   0","   1","   0","   0","   0","   1","   0","   0","   1","   1","   8","   0","   0","   0","   1","   8","   0","  58","   0","   3","   3","   1","   0","   1","   1","   2","   4","  22","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
