"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Calluna","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Centaurea","Centranthus t.","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Frangula","Frankenia","Fraxinus","Galium t.","Gentiana t.","Geranium","Haplophyllum","Hedera","HippophaÃ«","Hypericum undif.","Juglans","Juncaceae","Lamiaceae undif.","Ligustrum","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Olea t.","Onagraceae","Ononis t.","Orchidaceae","Papaver t.","Parnassia","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polystichum","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rhododendron","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Thesium","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Verbena t.","Viburnum","Viola","Vitis"
" 861","1340"," 362","  60","  75","   0","   0","   3","   1","   0","   0","   3","   0","   0","   4","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   3","   0","   0","   0","   0","   0","   3","   1","   0","   0","   3","   0","  32","   0","   0","  86","   0","   0","   0","   1","   0","   2","   0","  15","   0","   6","  50","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   3","   0","   2","   0","   0"," 331","   0","   3","   1","  13","   0","   0","   0","   1","   0","  14","   0","   0","   0","   2","  17","   0","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   1","   0","   1"
"1005","1479"," 512","  70","  60","   0","   0","   2","   1","   0","   0","   7","   0","   0","   1","   0","   0","   2","   1","   0","   7","   0","   0","   1","   0","   1","   0","   0","   9","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","  22","   0","   0"," 163","   0","   0","   0","   0","   0","   0","   0","  12","   0","   6","   6","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 306","   1","   8","   2","  33","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"1293","1759"," 815","  90","  21","   1","   0","  14","   1","   0","   1","  12","   0","   0","  11","   0","   0","   4","   0","   0","  10","   0","   0","   0","   0","   0","   2","   1","  28","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   5","   0","  58","   1","   0"," 149","   0","   0","   0","   0","   0","   2","   0","  73","   0","   8","   0","   0","  10","   0","   0","   0","   3","   8","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  59","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0"," 214","   0","  12","   3","  15","   2","   0","   0","   0","   0","  89","   0","   0","   0","   1","  51","   1","   0","   0","   0","   3","   7","   2","   5","   1","   0","   1","   0","   0","   2","   0","   0","   0","   0","   2","   0","   0","   3","  14","   0","   0","   0","   0","   0","   1","   0","   0"
"1581","2037","1114"," 110","  69","   0","   0","   6","   3","   0","   2","  23","   0","   1","   3","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","  17","   0","   1","   2","   0","   0","   1","   0","   0","   8","   0","   0","   2","   9","   0","  41","   0","   0"," 589","   0","   0","   0","   0","   0","   1","   0","   8","   0","  13","  13","   0","   2","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0"," 479","   0","   5","   2","  23","   0","   1","   0","   0","   0","   2","   1","   0","   0","   0","  11","   2","   0","   0","   0","   1","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"1869","2317","1416"," 130","  61","   0","   0","  15","   1","   0","   1","  30","   0","   0","   6","   0","   0","   2","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","  17","   0","   2","   3","   0","   0","   0","   0","   0","   2","   0","   0","   0","   7","   0","  32","   0","   0"," 359","   0","   1","   0","   1","   0","   0","   0","  28","   1","  10","   9","   0","   2","   1","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 307","   1","   2","   5","  20","   0","   0","   0","   0","   0","   3","   0","   0","   0","   3","  32","   3","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0"
"2157","2595","1715"," 150","  23","   0","   0","   6","   3","   0","   0","  13","   0","   0","   3","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   5","   0","   2","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","  24","   0","   0"," 139","   0","   0","   1","   0","   0","   0","   0","  12","   0","   4","   2","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 259","   0","   2","   2","  12","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","  16","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   2"
"2445","2874","2015"," 170","  21","   0","   0","   1","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   9","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","   9","   0","   0"," 107","   0","   0","   0","   0","   0","   0","   0","   5","   0","   5","  17","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 438","   0","   2","   1","   7","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   1","   0"
"2733","3153","2313"," 190","  10","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  16","   0","   0","  70","   0","   0","   0","   0","   0","   0","   0","   9","   0","   1","  28","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 429","   0","   0","   2","  29","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","  19","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   3","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0"
"2877","3293","2462"," 200","   3","   0","   0","   8","   0","   0","   0","   1","   0","   0","   1","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","  23","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","  33","   0","   0"," 142","   0","   0","   0","   0","   0","   0","   0","  27","   0","   4","  26","   0","   0","   0","   0","   0","   3","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","  13","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0"," 258","   0","   1","   5","  22","   2","   0","   0","   0","   0","  26","   0","   0","   0","   1","  78","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   1"
"3094","3503","2686"," 215","   7","   0","   0","  13","   3","   0","   9","   2","   0","   0","  12","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   2","   8","   0","   2","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   1","   1","  18","   0","   0","  20","   0","   0","   0","   1","   1","   0","   0","   6","   0","  47","   3","   0","   1","   0","   0","   3","   0","   4","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0"," 161","   1","  21","   0"," 179","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","  25","   1","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   1","   0","   0","   0","   1","   0","   0"
