"Depth (cm) [cm]","Acacia t.","Aerva type","Aeschynomene","Aizoaceae t.","Alchornea","Amaranthaceae undif.","Anacardium","Apiaceae undif.","Artemisia","Asteroideae undif.","Avicennia","Balanites","Boraginaceae undif.","Boscia","Brassicaceae","Calligonum","Capparis","Caryophyllaceae undif.","Cassia","Celastraceae undif.","Celosia type","Celtis","Centaurea","Cichorieae","Cleome","Coccinia","Cocculus","Combretaceae","Commelina","Commiphora","Cupressaceae","Cynomorium","Cyperaceae","Diospyros/Euclea t.","Echium t.","Ephedra","Euphorbia t.","Faboideae Undif.","Fagonia","Geraniaceae undif.","Grewioideae","Heliotropium","Hibiscus","Ixora","Lamiaceae undif.","Maerua","Maytenus","Mitracarpus","Moltkiopsis","Nyctaginaceae","Olea t.","Oxalis","Pavetta","Phyllanthus niruri","Pinus undif.","Plantago","Poaceae","Potamogeton","Quercus undif.","Resedaceae undiff.","Rhizophora","Rumex t.","Scrophulariaceae undif.","Sesbania","Spergularia t.","Spermacoce","Tamarix","Tinospora","Tribulus","Typha","Unknown","Zygophyllum t."
" 30","  1","  0","  0","  7","  0"," 10","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  3","  0","  0","135","  0","  0","  1"," 34","  0","  0","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1"," 91","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0"
" 40","  0","  1","  0","  3","  0","  6","  0","  0","  2","  8","  0","  1","  0","  1","  3","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","113","  0","  0","  1","  8","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0"," 54","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0"
" 50","  0","  0","  0","  1","  0"," 10","  0","  0","  2","  8","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","103","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  2"," 70","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  5","  0"
"70"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1","76"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0","20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"80"," 0"," 0"," 0"," 1"," 0","12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0","69"," 0"," 0"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","32"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"
" 90","  5","  4","  0","  2","  0"," 71","  0","  0","  0"," 21","  0","  1","  0","  0","  1","  1","  0","  0","  5","  0","  1","  0","  1","  0","  3","  0","  0","  2","  0","  7","  0","  1","304","  0","  0","  3","  6","  1","  0","  0","  0","  0","  0","  0","  4","  5","  0","  1","  0","  0","  0","  3","  0","  0","  1","  0","175","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  2","  0"
"100","  3","  7","  0","  0","  0"," 71","  0","  1","  4"," 14","  0","  1","  0","  0","  3","  0","  0","  2","  0","  0","  0","  0","  1","  1","  1","  0","  0","  0","  0"," 11","  0","  0","326","  0","  0","  0","  9","  0","  0","  0","  0","  3","  0","  0","  3","  2","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","128","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  1","  0","  2","  0"
"110","  5"," 19","  0","  2","  0","112","  1","  0","  1","  9","  0","  0","  0","  0","  1","  0","  0","  0","  5","  0","  2","  0","  0","  0","  5","  1","  4","  0","  0","  6","  0","  0","175","  0","  1","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0"," 56","  0","  0","  0","  1","  0","  0","  0","  0","  0","  4","  1","  0","  0","  1","  0"
"120","  0","  6","  0","  0","  0"," 41","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1","  2","  0","  1","  0","  0"," 95","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 48","  0","  0","  1","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  2","  0"
"130"," 12"," 18","  0","  1","  0"," 51","  0","  0","  2","  6","  0","  0","  0","  1","  1","  0","  0","  2","  2","  0","  0","  0","  0","  0","  3","  0","  0","  5","  0","  4","  0","  0","180","  0","  0","  0","  1","  0","  1","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 83","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  1"
