"Depth (cm)","Abies","Acacia t.","Alchemilla t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asteroideae undif.","Betula","Bougenvillea","Brassicaceae","Campanulaceae","Capparis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cicuta virosa type","Cornus","Corylus","Cotinus coggygria","Crassulaceae","Cyperaceae","Elatine","Ephedra","Fabaceae Undif.","Fagus","Fallopia","Fern","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hippuris","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Littorella","Lotus t.","Lythrum","Menyanthes","Monoletes","Morus","Musci","Myricaria","Myriophyllum spicatum/verticillatum t.","Osyris","Papaver t.","Paronychieae","Pinus undif.","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Portulacaceae t.","Prunus t.","Pterocarya","Quercus undif.","Ranunculaceae undif.","Rhus coriaria","Rosaceae undif.","Rumex t.","Salix","Schoenoplectus type","Schoenus type","Scrophulariaceae undif.","Secale","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Tamarix","Thalictrum","Trifolium t.","Typha","Ulmus t.","Urtica t.","Viola"
" 1480","    0","    0","    0","15632","    1","    0","   13","    0","    0","    0","    1","    0","    2","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   12","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    2","    0","    0","    0","    0","    0","    0","    0","   11","    1","    0","    0","    0","    0"
" 1500","    0","    0","    0","11310","    3","    0","   23","    1","    0","    0","    0","    0","    1","    7","    0","    0","    1","    0","    0","    0","    1","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","   10","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","   26","    1","    2","    0","    2","    0","    0","    4","    0","    0","    0","    0","    0","    3","    3","    1","    1","    0","    0","    3","    0","    3","    3","    0","    0","    0","    0","    0"
" 1520","    0","    0","    0","11194","    2","    1","   22","    2","    0","    0","    1","    0","    6","    1","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    5","    0","    0","    0","    0","    2","    0","    0","    5","    1","    0","    0","    0","    0"
"1540","   0","   0","   0","7531","   0","   0","  28","   1","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   5","   0","   0","   1","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0"
"1560","   0","   0","   0","4326","   0","   0","  20","   1","   2","   1","   1","   0","   0","   5","   1","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  11","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   3","   0","  12","   0","   0","   1","   0","   0","   0","   2","   1","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   1","   0","   0","   1","   0","   0","   2","   0","   0"
" 1580","    0","    0","    0","15510","    2","    0","   25","    1","    1","    1","    0","    1","    1","    1","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    1","   27","    1","    0","    1","    0","    0","    0","    3","    1","    0","    0","    1","    0","    2","    8","    0","    3","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0"
"1600","   0","   1","   0","4081","   1","   0","  23","   3","   0","   0","   0","   0","   0","   4","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   1","   0","  41","   0","   0","   2","   0","   0","   1","   0","   1","   0","   0","   1","   0","   7","   1","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   1"
"1620","   0","   0","   0","2381","   0","   0","  20","   0","   0","   0","   1","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   6","   8","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0"
"1640","   0","   0","   0","9043","   0","   0","  25","   2","   1","   0","   0","   0","   1","   3","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","  13","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","  38","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   7","   0","   3","   1","   0","   1","   1","   0","   3","   0","   0","   0","   1","   0"
"1660","   0","   0","   0","4716","   0","   0","  10","   0","   0","   0","   0","   0","   2","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   9","   0","   0","   2","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0"
