"sample_name","depth","Hagenia","Acalypha","Aerva type","Alchemilla t.","Allophylus t.","Amaranthaceae undif.","Anthospermum","Apiaceae undif.","Apodytes dimidiata","Artemisia","Asteroideae undif.","Balanites","Barbeyaceae","Brassicaceae","Caryophyllaceae undif.","Celastraceae undif.","Celosia type","Celtis","Cichorieae","Clematis-type","Combretaceae","Commiphora","Crepis-type","Cupressaceae","Cussonia","Cyperaceae","Digera-type muricata","Diospyros/Euclea t.","Dodonaea","Erica t.","Euphorbia t.","Faboideae Undif.","Gentianaceae undif.","Hebenstreitia dentata","Ilex","Indeterminable","Lythrum","Macaranga","Monoletes","Morella","Myriophyllum alterniflorum t.","Myrsine africana","Nuxia t.","Ocimum","Olea t.","Pappea capensis","Pentanisia-type ouranogyne","Petaloid monocot","Plantago","Poaceae","Podocarpus","Polyscias","Prunus t.","Ranunculaceae undif.","Ricinus","Rosa t.","Rumex t.","Schefflera","Swertia lastii-type","Syzygium t.","Teclea","Thalictrum","Tribulus","Trifolium t.","Triletes","Typha","Uebelinia-type","Urtica t.","Vernonieae","Xyris","thickness"
NA,"  0"," 18","  0","  1","132","  0","  4","  0","  2","  0","  0","  3","  0","  1","  3","  5","  1","  0","  1","  0","  3","  1","  0","  0"," 11","  0","691","  0","  2","  2"," 27","  1","  9","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  5","  0","  0"," 34","  3"," 30"," 50","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  1"
NA," 10"," 15","  0","  0"," 82","  0","  4","  1","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  5","  0","597","  0","  4","  9"," 20","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 12","  0","  0","  7","  0"," 38"," 25","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 13","  5","  0","  0","116","  0","  2","  0"," 10","  0","  0"," 14","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0"," 19","  0","683","  0","  0","  9"," 41","  0","  1","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0"," 45"," 43","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1"
NA," 15"," 11","  0","  0"," 69","  0","  1","  0","  2","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","326","  0","  0","  3"," 17","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0"," 35"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 18"," 13","  0","  0","101","  0","  2","  0","  4","  0","  0","  7","  0","  0","  0","  3","  0","  0","  1","  0","  0","  2","  0","  0"," 18","  0","637","  0","  0","  4"," 34","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0"," 52"," 23","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 20"," 16","  0","  0","162","  0","  6","  2","  2","  0","  0"," 16","  2","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  0"," 23","  1","891","  0","  1","  1"," 70","  0","  1","  0","  0","  0","  1","  0","  2","  2","  1","  0","  0","  0","  0"," 14","  1","  0","  9","  0"," 80"," 58","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1"
NA," 22","  6","  0","  0"," 52","  0","  0","  0","  6","  0","  0","  3","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","324","  0","  0","  3"," 52","  0","  1","  0","  0","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","  9","  0","  0","  5","  0"," 43"," 11","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1"
NA," 24","  4","  0","  0"," 46","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  5","  0","329","  0","  0","  1"," 33","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  1","  0"," 35","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 25","  1","  0","  0"," 26","  0","  0","  0","  4","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  5","  0","224","  0","  0","  0"," 32","  0","  1","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0"," 21","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 27",NA,"  0","  0"," 35","  0","  1","  0"," 10","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","214","  0","  1","  0"," 31","  0","  0","  0","  0","  0","  0","  6","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0"," 34","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
