"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eriocaulon","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","HippophaÃ« rhamnoides","Ilex","Juncaceae","Lamiaceae undif.","Lysimachia","Lythrum","Malva undif.","Mercurialis","Monoletes","Morella","Myriophyllum undif.","Myrtus","Olea t.","Papaver t.","Paronychieae","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Sarcopoterium","Saxifragaceae","Scrophulariaceae undif.","Searsia","Sparganium","Tamarix","Thalictrum","Trifolium t.","Triletes","Typha","Unknown","Urtica t.","Valeriana t.","Valerianaceae undif.","Valerianella"
"561",NA,NA," 10","  0","  0","  0","  8","  0","  6","  0","  1","  0"," 19","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  1","  0"," 14","  0","  0","100","  0","  0","  0","  0","  0","  0","238","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","193","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0"," 11","  0","  6"," 94","  0","  3","  6","  0","  0"," 13","  9","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0"
"717",NA,NA," 18","  0","  0","  0"," 13","  0"," 10","  0","  1","  0","  6","  0","  0","  0"," 20","  0","  0","  0","  0","  0","  0","  0"," 15","  4","  0"," 85","  0","  0","  0","  0","  0","  0","205","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","131","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  5","122","  1","  1"," 14","  0","  0"," 12","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  3","  2","  0","  0","  0","  0"
"1029",NA,NA,"  23","   0","   0","   0","   4","   1","   9","   0","   0","   0","  19","   0","   0","   1","   7","   0","   0","   0","   0","   0","   1","   0","  14","   3","   0"," 138","   0","   0","   0","   0","   1","   0"," 192","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 169","  11","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   4","  95","   1","   2","   2","   0","   0","   1","   2","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0"
"1185",NA,NA,"  33","   0","   1","   0","   8","   0","  16","   0","   0","   0","  25","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0"," 157","   0","   0","   0","   0","   0","   0","  51","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 127","   5","   0","   0","   0","   0","  10","   0","   1","   0","   0","   0","   0","   1","   0","   2","   0","   1","  69","   0","   2","   1","   0","   0","   6","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   1","   0","   0","   0"
"1340",NA,NA,"  38","   0","   0","   1","  17","   0","  16","   0","   4","   0","  28","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","  29","   2","   0"," 153","   0","   0","   0","   0","   0","   0","  33","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0"," 102","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   3"," 128","   0","   4","  28","   0","   0","  32","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0","   6","   0","   0","   1","   0","   2"
"1496",NA,NA,"  43","   0","   0","   0","   6","   0","  15","   0","   4","   0","  21","   0","   0","   0","  12","   0","   0","   0","   0","   0","   1","   0","  18","   0","   0","  35","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  63","   9","   1","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  26"," 128","   0","   2","   0","   0","   0","  12","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"1652",NA,NA,"  48","   0","   0","   1","  11","   0","   1","   0","  10","   0","  24","   0","   0","   0","  22","   0","   0","   0","   0","   0","   5","   0","  19","   0","   0","  25","   1","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  41","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  20","   0","  11"," 115","   0","   0","   0","   0","   0","  26","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","   0","   0","   0","   0","   2","   7","   0","   0","   1"
"1808",NA,NA,"  53","   0","   1","   0","   6","   0","   6","   0","   8","   1","  23","   0","   1","   0","  21","   0","   0","   0","   0","   0","   1","   0","  19","   0","   0","  30","   0","   0","   0","   0","   3","   0","  34","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 137","   7","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   7"," 134","   0","   0","  16","   1","   0","  47","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0"
"1964",NA,NA,"  58","   0","   0","   1","  11","   0","   2","   0","   2","   0","  28","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   2","  27","   2","   0","  31","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 105","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0","  22"," 111","   0","   5","   2","   1","   0","  30","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"2276",NA,NA,"  63","   0","   0","   0","   6","   0","  13","   0","   0","   0","  38","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  56","   2","   0","  48","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 102","   0","   3","   0","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0"
