"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Fraxinus","Galium t.","Genisteae","Geranium","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lysimachia","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rhus/Cotinus","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Sparganium","Styrax","Tilia","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valerianella","Vitis"
NA,NA,NA,"230","  0","  0","  0","  2","  1","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 76"," 18","  5","  0","  3","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  1","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"220","  0","  1","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0"," 14","  0","  0","  0","129"," 57"," 19","  0","  2","  0","  0","  0","  5","  1","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 31","  0","  0","  0","  6","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"250","  0","  0","  0","  0","  2","  0","  9","  0","  0","  2","  0","  0","  1","  0","  1","  1","  0","  0"," 17","  0","  3","  0","222"," 86"," 23","  0","  6","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 44","  0","  0","  0","  5","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"
NA,NA,NA,"210","  0","  2","  0","  0","  1","  0"," 11","  2","  0","  1","  0","  1","  0","  0","  2","  7","  0","  0"," 27","  0","  1","  0","183","121"," 52","  0","  2","  0","  0","  0"," 21","  1","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0"," 82","  0","  0","  0","  1","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  1","  0","  0","  0","  0","  0"
NA,NA,NA,"265","  0","  0","  0","  0","  0","  0"," 14","  1","  0","  0","  0","  4","  1","  1","  0","  0","  1","  0"," 20","  0","  0","  0","116","113"," 26","  0","  2","  0","  0","  0","  3","  2","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 92","  0","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  2","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"100","  0","  1","  0","  0","  3","  0","  1","  1","  0"," 16","  0","  0","  0","  4","  1","  0","  0","  0","  1","  0","  1","  0","283","  7","  0","  0","  0","  0"," 14","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","188","  0","  1","  0","  0","  0","  0","  0","515","  1","  1","  0"," 15","  1","  4","  0","  1"," 97"," 22","  1","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0"
NA,NA,NA,"150","  0","  2","  0","  2","  3","  0"," 11","  0","  0","  9","  0","  1","  1","  0"," 21","  2","  0","  0","  9","  0","  2","  0"," 66","179"," 22","  0"," 21","  0","  0","  2"," 11","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","278","  1","  0","  0"," 13","  8","  9","  0","  0","  3","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 80","  0","  0","  0","  1","  2","  0","  7","  1","  0"," 14","  0","  1","  0","  3","  2","  0","  0","  0","  0","  0","  0","  0","289","  3","  3","  0","  0","  0"," 18","  0","  2","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","404","  0","  0","  0","  0","  0","  0","  0","326","  2"," 13","  0"," 23","  1","  2","  0","  0"," 61"," 43","  0","  0","  1","  1","  0","  0","  0","  3","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0"
NA,NA,NA,"170","  0","  4","  0","  0","  0","  0"," 10","  0","  0","  3","  0","  2","  0","  1","  5","  6","  0","  0"," 16","  0","  1","  0","119","189"," 23","  0","  2","  0","  0","  0"," 17","  1","  2","  0","  0","  0","  0","  0","  9","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  4","  0","  1","  1","  0","  0","  0","  0","305","  0","  1","  0","  6","  5","  6","  0","  0","  0","  1","  0","  0","  0","  0","  1","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"240","  0","  2","  0","  0","  3","  0"," 33","  1","  0","  1","  0","  4","  0","  1","  6","  0","  0","  0"," 22","  0","  0","  1","135","160"," 57","  0","  5","  0","  0","  0"," 19","  2","  0","  1","  0","  0","  0","  0","  4","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","247","  0","  1","  0","  9","  1","  5","  0","  0","  3","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  2","  0","  0","  0"
