"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Andrachne","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arceuthobium","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Berberidaceae","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Capparis","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Cercis","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hibiscus","Hippuris","Hottonia","Hydrocharitaceae","Hypericum undif.","Ilex","Impatiens","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Linum t.","Liquidambar","Lotus t.","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Moltkia","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rheum","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Styrax","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Verbena t.","Viola","Vitis","Ziziphus/Paliurus"
"1662",NA,NA," 110","   5","   0","   0","   0","   0","   0","  23","   0","   0","   0","  20","   0","   4","   1","   0","   0","  18","   0","   7","   0","   1","   0","   4","   5","   3","   0","   0","   0","   7","   1","   0","  14","   0","  21","   0","  16","   0","   0"," 161","   0","   0","   0","   0","   0","  28","   0"," 301","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0"," 173","   2","   1","   0","   0","   5","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1"," 268","   0","  13","   0","  47","   4","  18","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   1","   0","   2","   0","   2","   0","   0","  58","   0","   0","   3","   2","   0","   0","   0","   0","   4","   0","   1","   1","   0","   0","   1","   0","   0","   1","   0"
"1702",NA,NA," 112","   1","   0","   0","   0","   1","   6","  26","   0","   0","   0","  20","   1","   6","   1","   0","   0","  12","   0","  10","   0","   0","   1","   3","   7","   2","   0","   0","   0","   6","   0","   0","  16","   1","  18","   0","  30","   0","   0"," 157","   1","   0","   0","   1","   0","  38","   0"," 192","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0"," 144","  13","   0","   0","   0","   7","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0"," 147","   0","   9","   0","  45","   0","  11","   0","   0","   0","   0","   0","   1","   5","   2","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","  53","   0","   0","   0","   3","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1761",NA,NA," 115","   5","   1","   0","   0","   2","   0","  17","   1","   0","   0","  17","   0","   2","   0","   1","   0","  16","   0","  13","   0","   1","   1","   5","   4","   0","   0","   0","   0","   8","   1","   0","  14","   0","  20","   0","   8","   0","   0"," 122","   0","   0","   0","   1","   0","  41","   0"," 289","   0","   1","   0","   0","   1","   3","   0","   1","   4","   0","   0","   0","   0"," 122","  14","   0","   0","   0","  10","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   3","   1","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0"," 196","   0","  10","   0","  46","   7","  25","   0","   1","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   2","   1","   3","   0","   0","   0","   0","  61","   0","   0","   1","   1","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"1800",NA,NA," 117","   1","   0","   0","   0","   1","   4","  25","   0","   0","   0","  23","   0","   5","   0","   0","   0","  12","   0","  11","   0","   0","   0","   0","   3","   2","   0","   0","   0","   8","   0","   0","  20","   0","  31","   0","  22","   0","   0"," 193","   0","   0","   0","   0","   0","  36","   0"," 353","   0","   0","   0","   0","   1","   1","   1","   0","   0","   0","   0","   0","   1"," 124","  23","   0","   0","   0","  18","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   2","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0"," 205","   0","  11","   0","  48","   7","  17","   0","   0","   0","   0","   0","   0","  11","   3","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","  87","   0","   0","   2","   4","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"1858",NA,NA," 120","   5","   0","   0","   0","   6","   1","  14","   0","   0","   0","  30","   0","   3","   0","   0","   0","  30","   0","   9","   0","   0","   1","   5","   3","   2","   0","   0","   0","  10","   0","   1","  18","   0","  36","   0","  28","   0","   0"," 137","   0","   0","   0","   3","   0","  43","   0"," 291","   0","   0","   0","   0","   0","   3","   2","   0","   1","   0","   0","   0","   0"," 176","  24","   0","   0","   0","  12","   5","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0"," 255","   0","   9","   0","  43","   8","  18","   0","   1","   0","   0","   0","   1","   7","   6","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","  90","   0","   0","   3","   4","   0","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0"
"1899",NA,NA," 122","   4","   0","   0","   0","   4","   1","  22","   0","   0","   0","  24","   0","   3","   2","   1","   1","  18","   0","  17","   0","   0","   2","   5","   4","   4","   0","   3","   0","   6","   0","   0","  15","   0","  18","   0","  26","   0","   1"," 122","   0","   0","   0","   0","   0","  50","   0"," 370","   0","   0","   0","   0","   0","   3","   0","   0","   2","   0","   0","   0","   0","  97","  26","   0","   0","   0","   5","   7","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   2","   3","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   1","   0","   0","   0","   0","   4","   0"," 159","   0","  18","   0","  61","   7","  14","   0","   1","   0","   0","   0","   0","   8","   9","   0","   0","   0","   0","   0","   1","   6","   0","   0","   0","   0","  86","   0","   0","   0","   2","   0","   1","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"
"1961",NA,NA," 125","   2","   0","   0","   0","   3","   4","  16","   0","   0","   0","  26","   0","   1","   1","   1","   0","  21","   0","   9","   0","   0","   0","   3","   7","   5","   0","   1","   0","  10","   0","   0","  13","   0","  32","   0","  29","   0","   0"," 127","   0","   0","   0","   0","   0","  20","   0"," 294","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0"," 191","  29","   0","   0","   0","   5","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0"," 220","   0","  16","   0","  43","   5","  23","   0","   0","   0","   0","   0","   0","   8","   8","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","  79","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0"
"2001",NA,NA," 127","   3","   0","   0","   0","   4","   0","  17","   0","   0","   0","  27","   0","   1","   2","   1","   0","  22","   0","  12","   0","   0","   2","   7","   4","   2","   0","   0","   0","   4","   0","   0","  27","   0","  20","   0","  16","   0","   0"," 167","   0","   0","   0","   0","   0","  36","   0"," 463","   0","   0","   0","   0","   1","   2","   0","   0","   1","   0","   0","   0","   0"," 114","  44","   0","   0","   0","  16","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   2","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"," 186","   0","  11","   0","  68","   9","  14","   0","   1","   0","   0","   0","   0","   7","   5","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0"," 123","   1","   0","   0","   1","   0","   1","   0","   0","   5","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0"
"2063",NA,NA," 130","   2","   0","   0","   0","   2","   2","  13","   0","   0","   0","  24","   0","   1","   0","   0","   0","  16","   0","   9","   0","   1","   0","   2","   2","   2","   0","   0","   0","   8","   1","   0","  10","   0","  34","   0","  17","   0","   1"," 131","   0","   0","   0","   0","   0","  16","   0"," 407","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0"," 151","  39","   0","   0","   0","  14","  10","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   3","   6","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0"," 211","   0","  10","   0","  52","   4","  15","   0","   0","   0","   1","   0","   1","   9","   7","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 132","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0"
"2103",NA,NA," 132","   2","   2","   0","   0","   4","   2","   6","   0","   0","   0","  12","   0","   2","   0","   0","   0","  19","   0","   4","   0","   1","   0","   3","   0","   0","   0","   0","   0","   6","   0","   0","   8","   0","  40","   0","  18","   0","   1","  98","   0","   0","   0","   0","   0","   4","   0"," 276","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0"," 238","  52","   0","   0","   0","  17","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   3","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0"," 253","   0","   7","   0","  40","   4","  21","   0","   0","   0","   0","   0","   2","   7","   5","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"," 145","   0","   0","   1","   3","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"
