"sample_name","depth","Hagenia","Acacia t.","Acalypha","Acanthaceae undif.","Acanthus","Adenium","Aerva type","Aizoaceae t.","Alchemilla t.","Allophylus t.","Amaranthaceae undif.","Anthoceros t.","Anthospermum","Apiaceae undif.","Apodytes dimidiata","Araliaceae undif.","Artemisia","Asteroideae undif.","Balanites","Bersama","Brassicaceae","Buxus","Caesalpiniaceae undif.","Capparaceae undif.","Cardueae undif.","Carissa","Caryophyllaceae undif.","Caucanthus","Celastraceae/Hippocrateaceae undiff.","Celtis","Centaurea","Cichorieae","Cissus t.","Clematis-type","Combretaceae","Commelina","Commiphora","Crassocephalum-type montuosum","Cucurbitaceae undif.","Cupressaceae","Cussonia","Cyperaceae","Digera-type muricata","Diospyros/Euclea t.","Dipsacaceae","Dodonaea","Dombeya","Dyschoriste-type","Ekebergia","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern","Ficus","Galiniera","Grewioideae","Gunnera perpensa","Hydrocotyle","Hypericum undif.","Hyphaene t.","Hypoestes t.","Ilex","Indeterminable","Ipomoea","Isoglossa","Jatropha/Croton","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Maesa","Malva undif.","Menispermaceae undif.","Mimulopsis-type","Mitragyna/Hallea","Monoletes","Morella","Myriophyllum alterniflorum t.","Myrsine africana","Nuxia t.","Nymphaea","Olea t.","Petaloid monocot","Phoenix t.","Phyllanthus amarus","Phytolacca","Pilea-type bambuseti","Pinus undif.","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Polyscias","Portulacaceae t.","Potamogeton","Proteaceae","Prunus t.","Psydrax","Ranunculaceae undif.","Resedaceae undiff.","Rhamnaceae undif.","Ricinus","Rosa t.","Rubia-type","Rubiaceae undif.","Rumex t.","Salix","Sapindaceae undif.","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Securinega  t.","Solanaceae undif.","Solanum","Steganotaenia-type","Stoebe kilimandscharica-type","Swertia-type kilimandscharica","Syzygium t.","Tacazzea","Tamarix","Tarenna-type graveolens","Teclea","Thalictrum","Thymelaeaceae undif.","Trema","Tribulus","Trichocladus ellipticus-type","Trilepisium","Triletes","Typha","Urtica t.","Vahlia","Vepris-type daniellii","Vernonieae","Zanthoxylum"
NA,"  1",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","130","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 46","189","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","132","  0","  0","  0","  0","  0","  0"
NA," 25",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 57","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","284","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 85","  0","  0","  0","  0","  0","  0"
NA," 50",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 55","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 34","465","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 55","  0","  0","  0","  0","  0","  0"
NA," 75",NA,"  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 29","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 51","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1"," 42","280","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 93","  0","  0","  0","  0","  0","  0"
NA,"100",NA,"  1","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0"," 39","  0","  1","  0","  1","  0","  0","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 40","  2","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0"," 71","406","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","143","  2","  0","  0","  0","  0","  0"
NA,"175","  2","  0","  1","  0","  0","  0","  0","  0","  0","  3","  3","  0","  0","  2","  0","  0","  3","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  1","  0","  0","  0","  0"," 11","  0"," 20","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  0","  1","  2","  0","  0","  1","  0","  0","  0"," 25"," 11","  0","  0","  2","  0","  2","  0","  0","  0","  1","  0","  0","  5","245","103","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 18","  2","  0","  0","  0","  0","  0"
NA,"200","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 22","  0","  0","  0","  2","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 21","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0"," 38","  8","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  1","227"," 56","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3"," 20","  0","  2","  0","  0","  0","  0"
NA,"225","  3","  0","  0","  0","  0","  2","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  7","  0","  0","  0","  4","  0","  0","  0","  0","  5","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 21"," 12","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  5","132"," 78","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  3","  9","  1","  0","  0","  0"
NA,"250","  4","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  8","  1","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  1","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 33","  4","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","291"," 83","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  9","  0","  0","  0","  0","  0"
NA,"275","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  7","  0","  0","  0","  1","  8","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  0","  3","  0"," 34","  0","  0","  0","  2","  0","  0","  0","  0","  8","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 25","  6","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","294"," 81","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 20","  6","  1","  0","  0","  0","  0"
NA,"2150",NA,"   0","   0","   0","   1","   0","   1","   0","   0","   0","   2","   1","   1","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 173","   0","   3","   0","   0","   0","   0","   0","   0","   0","   5","   0","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  49","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 267","  45","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","  10","   0","   0","   0","   0","   0"
