"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Andrachne","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Berberidaceae","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fumaria","Galium t.","Genisteae","Gentiana t.","Geranium","Heliotropium","HippophaÃ«","Hydrocotyle","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Leontice","Ligustrum","Linum t.","Loranthus","Lotus t.","Malva","Mercurialis","Nitraria","Olea t.","Onagraceae","Ononis t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Primulaceae undif.","Prunus t.","Psoralea","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rhododendron","Ricinus","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sanguisorba t.","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Thesium","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Viola","Vitis","Zea"
NA,NA,NA,"10"," 5"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 1"," 1"," 1"," 0"," 3"," 0"," 2"," 0"," 0"," 1"," 0","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","18"," 0"," 0"," 0"," 0"," 4"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","26"," 0"," 0"," 0"," 0","12","72","13"," 2"," 0"," 7"," 1"," 0"," 0"," 0"," 0"," 0","25"," 9"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA,"45"," 2"," 1"," 0"," 0"," 7"," 0"," 0"," 0"," 4"," 0"," 1"," 0"," 2"," 1"," 0"," 0"," 0"," 6"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 8"," 3"," 0"," 0"," 0"," 2"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0","34"," 0"," 0"," 0"," 0"," 2","69","18"," 2"," 0"," 6"," 1"," 0"," 0"," 0"," 0"," 0","42","33"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14"," 0"," 0"," 0"," 0"," 1"," 0"
NA,NA,NA,"100","  6","  0","  0","  1","  5","  0","  0","  0","  2","  0","  1","  0","  1","  0","  0","  0","  0","  3","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  8","  1","  0","  1","  0","  1","  0","  5","  0","  0","  0","  0","  0"," 11","  1","  1","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0"," 39","  0","  0","  0","  0","  2","103"," 15","  1","  5","  5","  2","  0","  0","  0","  0","  0"," 56"," 53","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0"," 18","  0","  0","  0","  0","  1","  0"
NA,NA,NA," 20","  4","  0","  0","  0","  7","  0","  0","  0","  0","  0","  2","  0","  5","  1","  1","  0","  0","  6","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0"," 22","  1","  1","  0","  0","  7","  0","  5","  1","  0","  0","  0","  1","  2","  1","  0","  0","  1","  6","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  3","  0"," 16","  0","  0","  1","  0","  0","117"," 29","  6","  2","  8","  4","  0","  0","  0","  0","  0"," 51"," 29","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"110"," 11","  0","  1","  0","  5","  0","  0","  0","  0","  0","  4","  0","  2","  0","  7","  0","  0","  4","  0"," 11","  0","  0","  0","  0","  0","  0","  3","  0","  2","  0"," 21","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  2","  0","  1","  0","  1","  9","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  3","  0"," 29","  0","  0","  0","  0"," 11"," 93","  5","  1","  0"," 11","  1","  0","  0","  1","  0","  0"," 39"," 44","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  1"," 22","  0","  0","  0","  0","  2","  0"
NA,NA,NA,"120"," 12","  1","  0","  2","  9","  0","  0","  0","  2","  0","  0","  0","  2","  0","  4","  0","  1","  7","  0","  6","  0","  1","  0","  2","  0","  0","  1","  0","  0","  0"," 17","  6","  0","  2","  0","  0","  0","  5","  4","  0","  0","  0","  2","  6","  0","  0","  0","  2"," 13","  0","  0","  0","  2","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  2","  0"," 27","  0","  0","  0","  0","  5","196"," 13","  1","  1"," 17","  0","  0","  0","  0","  0","  0"," 59"," 71","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"210","  1","  0","  0","  2"," 20","  0","  0","  0"," 12","  0"," 28","  0","  1","  2"," 32","  0","  1","  0","  0","  4","  0","  1","  0","  0","  0","  0","  1","  0","  1","  0","173","  3","  1","  2","  0","  0","  1","  6","  0","  1","  0","  0","  0","  0","  3","  4","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  6","  0","  1","  0","  1","  0","  2","  0"," 10","  8","  6","  0"," 29"," 37","  0","  0","  0","  0","  0","  4"," 48","  3","  0","  0","  0","  0","  0","  1","  0","  1","  0","  9","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  2","  0","  3"," 76","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"200","  1","  0","  0","  0"," 23","  0","  0","  0"," 13","  0"," 50","  0","  4","  7"," 20","  1","  0","  1","  0","  4","  0","  4","  0","  3","  0","  0","  2","  0","  1","  1","205","  1","  0","  7","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  3","  2","  0","  0","  2","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  2","  0","  0","  0","  0","  0","  8"," 11","  4","  0"," 29"," 17","  0","  0","  0","  0","  0","  3"," 74","  2","  0","  0","  0","  0","  0","  1","  2","  0","  0","  5","  0","  1","  0","  0"," 13","  0","  0","  0","  0","  2","  0","  0","  1","  0","  1"," 47","  3","  1","  0","  0","  0","  0"
NA,NA,NA,"115"," 14","  1","  0","  0"," 16","  0","  0","  1","  2","  0","  1","  0","  4","  3","  2","  0","  2","  9","  0","  4","  1","  0","  0","  1","  2","  0","  1","  0","  3","  0"," 43","  4","  0","  1","  0","  0","  0","  4","  1","  0","  0","  0","  2","  8","  0","  1","  0","  1"," 18","  0","  0","  0","  1","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0"," 28","  0","  0","  1","  5","  0","126","  2","  1","  0","  9","  1","  1","  0","  0","  0","  0"," 38"," 61","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  1","  0"
NA,NA,NA," 80"," 15","  0","  0","  0"," 12","  0","  0","  0","  8","  0","  1","  0","  6","  4","  2","  0","  0","  8","  0","  9","  0","  0","  0","  0","  2","  0","  1","  0","  1","  0"," 23","  4","  0","  3","  0","  0","  0","  3","  1","  0","  0","  0","  0"," 18","  0","  0","  2","  2"," 24","  1","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  5","  0"," 93","  0","  0","  0","  2","  2","185"," 19","  1","  2"," 11","  4","  1","  0","  0","  2","  0"," 97"," 65","  0","  2","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  1","  0","  3","  4","  0","  0","  0","  0","  1","  0"
