"Depth (cm)","Acacia t.","Acanthaceae undif.","Aerva type","Albizia","Alchornea","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Blepharis","Bombax","Boscia","Brachystegia","Brassicaceae","Bridelia","Caesalpiniaceae undif.","Canthium","Capparis","Caryophyllaceae undif.","Caryophyllaceae/Chenopodiaceae","Cassia","Celastraceae undif.","Celtis","Centaurea","Christiana africana-type","Chrozophora","Chrysobalanus t.","Cichorieae","Cissampelos","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Dichrostachys","Diospyros/Euclea t.","Dipsacaceae","Dodonaea","Elaeis","Ephedra","Erica t.","Eriocaulon","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Galium t.","Gentianaceae undif.","Grewioideae","Hygrophila","Hyphaene t.","Hypoestes t.","Ilex","Indeterminable","Iodes","Justicia t.","Klaineanthus","Lamiaceae undif.","Lannea","Lepidagathis","Lophira","Lotus t.","Macaranga","Maerua","Mareya spicata-type","Maytenus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","NA","Nyctaginaceae","Nymphaea","Olea t.","Parkia","Petaloid monocot","Phoenix t.","Phyllanthus maderaspatensis","Phyllanthus undif.","Pinus undif.","Pistacia","Plantago","Poaceae","Podocarpus","Quercus undif.","Rhizophora","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Salvadora","Sapium","Sapotaceae undif.","Schrebera","Searsia","Spergularia t.","Spermacoce","Syzygium t.","Tamarix","Tetracera alnifolia","Tetrorchidium","Tribulus","Trichoscypha oba-type","Triletes","Typha","Uapaca","Urtica t.","Vernonieae","Zygophyllum t."
" 10","  2","  0","  0","  0","  4","134","  0","  0","  0","  0","  3"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  1","  0","  0","  0"," 75","  0","  0","  1","  0","  0","  7","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 82","  0","  0"," 52","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0"
"20"," 0"," 0"," 0"," 1"," 0","99"," 2"," 0"," 0"," 0"," 3"," 3"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 4"," 0"," 2"," 0"," 0"," 0","46"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","22"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 0","10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17"," 0"," 0","37"," 2"," 1"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 3"," 0"," 0"," 0"," 1"
"40"," 6"," 0"," 0"," 0"," 4","48"," 1"," 1"," 0"," 0"," 4","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 6"," 0"," 3"," 0"," 0"," 0","82"," 0"," 0"," 1"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","36"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 1"," 4"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1","23"," 0"," 0","88"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0","41"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 1"
" 61","  0","  0","  0","  0","  3","359","  1","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  0","177","  0","  0","  0","  0","  0","  4","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  1","  3","  0","  0","  3","  0","  0"," 75","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  1","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"
" 80","  4","  0","  0","  0","  0","132","  0","  0","  1","  0","  1","  9","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  6","  0","  3","  0","  0","  0","121","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  5","  0","  0"," 69","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0"
"100","  1","  0","  0","  0","  1"," 55","  0","  0","  0","  0","  4","  8","  0","  0","  0","  0","  0","  1","  1","  0","  1","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0"," 92","  0","  0","  0","  0","  1"," 37","  0","  0","  1","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  1","  0","  1","  4"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 15","  1","  0","147","  2","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  1","  0"
"120","  0","  0","  0","  0","  0","313","  0","  0","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  2","  0","  0","  0","142","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","110","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0"
"140","  0","  0","  0","  0","  0"," 41","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  4","  0","  1","  0"," 61","  0","  0","  0","  0","  0"," 34","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 13","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  7","  0","  0"," 62","  0","  1","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"
"160","  4","  0","  0","  0","  0"," 59","  0","  0","  0","  0","  5","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  5","  0","  0","  0","116","  0","  0","  0","  0","  0"," 50","  0","  0","  0","  2","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0"," 11","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0"," 16","  0","  0","114","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  2","  0"
"180","  1","  0","  0","  0","  1"," 32","  0","  1","  0","  0","  1","  4","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  5","  0","  0","  0","130","  0","  0","  0","  1","  0"," 15","  0","  0","  0","  2","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 10","  0","  0","151","  3","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  4","  2","  1","  0","  0","  0"
