"age_NA","ageolder_BP","ageyounger_BP","depth","Agrimonia","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Citrus","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Lotus t.","Lysimachia","Musci","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Pterocarya","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Ribes","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitis"
NA,NA,NA," 85","  0","  1","  0","  3"," 10","  6","  0","  0"," 83"," 22","  1","  0","  0","  0","  0","  0","  7","  0","  1","  0"," 33"," 68","  5","  0","  0","  0","  0","  1","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0"," 10","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","105","  0","  1","  3","  0","  8","  0","  0","  0","  1"," 12","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"
NA,NA,NA," 45","  0","  0","  0","  0","  6","  3","  3","  0"," 22","  8","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","146"," 53","  8","  0","  0","  0","  0","  1","  0","  0"," 37","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0"," 14","  1","  0","  0","  0","  7","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","275","  0"," 10","  8","  1","  2","  0","  0","  0","  7","  6","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","118","  0","  1","  0","  0","  0","  1","  0","  1","  4","  0","  0","  0","  1","  0"
NA,NA,NA," 75","  0","  0","  0","  0","  7","  6","  0","  0"," 67"," 22","  0","  0","  1","  0","  0","  0","  9","  0","  0","  0"," 75"," 37"," 19","  0","  0","  0","  0","  0","  0","  2"," 73","  0","  0","  2","  0","  0","  1","  2","  0","  9","  0","  0"," 13","  0","  0","  0","  0","  8","  0","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","149","  0","  8"," 17","  8","  9","  0","  0","  0","  9"," 31"," 15","  0","  0","  0","  0","  0","  0","  1","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"190","  0","  0","  2","  0","  2","  4","  2","  0"," 12","  4","  0","  0","  2","  0","  0","  0","  5","  0","  0","  0","139"," 20","  4","  0","  0","  2","  0","  0","  0","  1"," 62","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0"," 20","  1","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","284","  0","  1"," 15","  8"," 17","  1","  0","  0","  4"," 13"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 16","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 95","  0","  0","  0","  0"," 12"," 19","  0","  0","362"," 26","  0","  3","  1","  0","  0","  0","  6","  0","  0","  0"," 50"," 51"," 35","  1","  0","  0","  0","  1","  0","  0"," 31","  2","  0","  1","  1","  1","  0","  0","  0"," 11","  0","  0"," 24","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","176","  0","  9","  7","  3"," 14","  0","  0","  0","  0"," 31","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0"
NA,NA,NA,"225","  0","  0","  0","  0","  9"," 15","  1","  0"," 35"," 83","  0","  0","  2","  0","  0","  0","  4","  0","  0","  0"," 94","234"," 23","  0","  0","  0","  0","  0","  0","  1"," 45","  0","  0","  1","  0","  0","  1","  0","  0","  9","  0","  0"," 11","  1","  0","  0","  0","  4","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","182","  0","  0","  2","  4"," 23","  0","  0","  0","  2","  3","  6","  0","  0","  0","  0","  0","  0","  1","  0","  0","  8","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"205","  0","  0","  0","  2","  1","  2","  0","  0","  9"," 12","  1","  9","  5","  0","  0","  0","  3","  0","  0","  0"," 51"," 30","  6","  0","  0","  1","  1","  2","  0","  0"," 20","  1","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","145","  0","  2","  8","  3"," 10","  0","  0","  0","  3","  2","  1","  0","  0","  0","  0","  5","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0"
NA,NA,NA," 30","  0","  0","  0","  0"," 10","  1","  3","  0"," 26","  8","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0"," 89"," 84"," 35","  0","  0","  0","  0","  2","  0","  1"," 60","  1","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0"," 13","  3","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","406","  0","  6"," 10","  5","  3","  0","  0","  0","  1"," 39","  2","  0","  0","  0","  0","  1","  0","  6","  0","  0"," 96","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 10","  0","  0","  0","  0"," 18","  3","  4","  0"," 30"," 33","  0","  0","  3","  3","  0","  0","  4","  0","  2","  0","215","110"," 94","  0","  1","  0","  0","  0","  0"," 33"," 18","  0","  0","  2","  0","  0","  0","  0","  0","  6","  0","  0","  2","  0","  1","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","699","  0","  5"," 18"," 26","  8","  0","  0","  0"," 17"," 11","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  8","  0","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  1","  0"
NA,NA,NA,"60"," 0"," 0"," 2"," 1","18"," 1"," 1"," 0","22","15"," 2"," 0"," 0"," 0"," 0"," 0","10"," 0"," 1"," 0","65","54","23"," 0"," 1"," 0"," 0"," 3"," 0"," 2","44"," 0"," 1"," 2"," 1"," 0"," 0"," 0"," 0"," 8"," 0"," 0","16"," 0"," 1"," 0"," 0","10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","97"," 0"," 4","18"," 1","10"," 0"," 0"," 0"," 5","19"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","25"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA,"280","  0","  0","  0","  0"," 10","  6","  2","  0"," 45"," 35","  0","  0","  1","  0","  0","  0"," 12","  0","  1","  0"," 20"," 56"," 48","  0","  0","  0","  0","  1","  0","  3","144","  1","  0","  2","  0","  0","  0","  1","  0","  3","  0","  0","  0"," 12","  0","  0","  1","  2","  0","  0","  1","  0","  0","  0","  0","  2","  1","  0","  0","  0","147","  0","  6"," 17","  7"," 11","  0","  0","  0","  4"," 13","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 35","  0","  0","  1","  0","  0","  0","  0","  1","  2","  0","  1","  0","  0","  0"
