"Depth (cm)","Acacia t.","Alchornea","Alnus","Amaranthaceae undif.","Anthoceros t.","Arecaceae undif.","Artemisia","Asteroideae undif.","Barleria","Blepharis","Borreria t.","Brassicaceae","Caesalpinioideae","Capparis","Cassia","Celtis","Cf Batopedina","Cf Oligocodon","Cichorieae","Cissus t.","Cleistanthus","Commiphora","Cordia","Crudia","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dodonaea","Echium t.","Elaeis","Ephedra","Euphorbia t.","Faboideae Undif.","Fagonia","Fern","Gomphrena t.","Heliotropium","Hymenodictyon","Hyphaene t.","Hypoestes t.","Ilex","Indeterminable","Ipomoea","Lannea","Macaranga","Maerua","Maesa","Malpighiaceae","Phoenix t.","Phyllanthus undif.","Pinus undif.","Plantago","Poaceae","Quercus undif.","Rhizophora","Salix","Salvadora","Sapotaceae undif.","Spergularia t.","Syzygium t.","Tamarix","Tribulus","Typha","Urtica t.","Verbena t.","Vernonieae","Xeromphis"
"201","  0","  1","  0"," 14","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0"," 32","  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 69","  0","  2","  0","  0","  0","  0","  1","  0","  0","  2"," 18","  0","  0","  0"
"401","  0","  0","  0"," 28","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 31","  0","  0","  0","  1","  5","  0","  0","  0","  4","  0","  0","  0","  1","  0","  0","  9","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 75","  0","  6","  0","  0","  0","  2","  1","  0","  0","  1"," 33","  0","  0","  0"
"500","  0","  0","  0"," 13","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 25","  0","  0","  0","  0","  5","  1","  0","  0","  5","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 79","  0","  1","  0","  0","  0","  2","  0","  0","  0","  2"," 18","  0","  0","  0"
"550","  0","  0","  0"," 19","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 50","  0","  1","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0"," 73","  0","  1","  0","  0","  1","  1","  0","  0","  0","  1"," 28","  0","  0","  0"
"710","  0","  2","  0"," 18","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 26","  1","  0","  0","  0","  8","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 11","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 57","  0","  4","  0","  0","  0","  0","  2","  0","  0","  0"," 26","  0","  0","  0"
"800","  0","  0","  0"," 13","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  2","  0","  0","  2"," 17","  0","  1","  2","  0","  2","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 58","  2","  3","  0","  1","  0","  1","  0","  0","  0","  1"," 17","  0","  0","  1"
"875","  0","  0","  0"," 13","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  0","  6","  0","  1","  0","  4","  0","  0","  0","  0","  1","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 79","  0","  2","  0","  1","  0","  0","  2","  0","  0","  2"," 19","  0","  0","  0"
"914.0001","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000"," 41.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 12.0000","  1.0000","  0.0000","  2.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 56.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000"," 22.0000","  0.0000","  0.0000","  0.0000"
"978","  0","  1","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  1","  0","  0","  3","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 74","  0","  9","  0","  0","  0","  0","  1","  0","  0","  1","  6","  0","  0","  0"
"1064","   0","   1","   0","  16","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   1","   0","   0","   1","   0","   0","   0","  48","   0","   1","   0","   0","  12","   2","   0","   0","   6","   0","   0","   1","   0","   0","   0","   9","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 105","   0","  11","   0","   0","   0","   1","   1","   1","   0","   1","  30","   0","   0","   0"
