"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Caryophyllaceae undif.","Casuarina","Cedrus","Centaurea","Centranthus t.","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Cytinus","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Fraxinus","Gentiana t.","Geranium","Hedera","Heliotropium","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lonicera","Lotus t.","Lythrum","Malva","Matthiola","Mercurialis","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtaceae undif.","Myrtus","Nymphaea","Olea t.","Onagraceae","Ononis t.","Paronychieae","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Scrophulariaceae undif.","Smilax","Solanum","Spergularia t.","Tamarix","Thalictrum","Theligonum","Thelypteris palustris-type","Thymelaeaceae undif.","Trapa natans","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Vitis","Ziziphus/Paliurus"
" 70",NA,NA," 15","  0","  0","  0","157","  0","  0","  2","  1","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0"," 16","  0","  0","  1"," 30","  1","  0","  6","  0","  0","  0","  0","  0","  5","  0","  1","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  1"," 33","  0","  5","  0","  0","  0","  1","  0","  0","  5","  0","  2","  9","  5","  0","  0"," 12","  2"," 16","  0","  0","  0","  0","  0","  0","  4"," 30","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1"," 15","  0","  0","  2","  1"
"151",NA,NA," 25","  0","  0","  0","165","  0","  0","  3","  0","  0","  4","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  7","  0","  0","  7"," 52","  0","  0","  1","  0","  0","  0","  0"," 11","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 73","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  1"," 10","  0","  0","  0"," 14","  0"," 11","  1","  0","  1","  0","  0","  0","  1","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 11","  0","  0","  1","  0"
"232",NA,NA," 35","  0","  0","  0","194","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  1","  4","  0","  0","  5"," 28","  1","  0","  3","  0","  0","  0","  0","  0","  7","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  1","  0","  0","  5","  0","  0","  9","  0","  0","  0","  3","  1","  7","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1"," 12","  0","  0","  3","  0"
"312",NA,NA," 45","  0","  0","  0"," 86","  0","  0","  2","  0","  1","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0"," 30","  0","  0","  0","  6","  0"," 15","  0","  0","  1"," 21","  0","  0","  3","  0","  0","  2","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 16","  0","  0","  0","  7","  0"," 13","  3","  0","  0","  0","  0","  0"," 11","125","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  2"," 64","  0","  0","  1","  0"
"393",NA,NA," 55","  0","  0","  0","158","  1","  0","  1","  0","  3","  8","  2","  0","  5","  0","  1","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0"," 51","  0","  0","  0","  0","  0"," 36","  0","  0","  0"," 92","  1","  0","  1","  0","  0","  6","  0","  1"," 28","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  3","  2","  0","  2","  0","  0"," 43","  8","  0","  0","  0","  0"," 30","  3","  0","  0","  0","  0","  0","  0"," 34","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  3"," 70","  0","  0","  6","  0"
"474",NA,NA," 65","  0","  0","  0","201","  0","  0","  1","  1","  0","  2","  0","  0"," 10","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 23","  0","  0","  0","  2","  1"," 13","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  1","  0","  1"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  5","  0","  2","  0","  0","  0","  1","  0","  0","  3","  0","  2"," 26","  7","  0","  0","  0","  1"," 11","  4","  0","  0","  0","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3"," 13","  0","  0","  2","  0"
"555",NA,NA," 75","  0","  0","  0","282","  0","  0","  1","  0","  0","  7","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 12","  0","  0","  0"," 67","  1","  0","  0","  0","  0","  2","  0","  2"," 11","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  5","  0","  0","  1","  0","  1"," 37","  7","  2","  0","  1","  1","  2","  0","  0","  1","  0","  0","  0","  1"," 56","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  1","171","  0","  0","  3","  0"
"616",NA,NA," 85","  0","  0","  0"," 75","  0","  0","  1","  0","  1","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  1"," 12","  0","  0","  5","  0","  0","  0","  0","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  9","  0","  0","  0","  4","  0","  0","  1","  0","  0"," 35","  2","  0","  0","  3","  0","  3","  0","  0","  0","  0","  0","  0"," 10"," 67","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  1"," 16","  0","  0","  5","  0"
"659",NA,NA," 95","  0","  0","  1","186","  0","  0","  2","  1","  1","  0","  2","  0"," 27","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  9","  0","  0","  0","  1","  1"," 21","  0","  0","  1","  5","  0","  0","  1","  0","  0","  1","  0","  8"," 10","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 14","  0","  2","  0","  0","  0","  1","  0","  0","  5","  0","  1","144"," 16","  0","  0"," 13","  2"," 27","  5","  0","  0","  0","  0","  0"," 17","186","  1","  0","  0","  0","  0","  0","  0","  0","  1","  5","  0","  6","  2","  8","  0","  0","  4","  0"
"702",NA,NA,"105","  0","  0","  1"," 87","  0","  0","  1","  0","  0","  2","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  5","  0","  0","  0","  0","  1","  5","  0","  0","  1","  3","  0","  0","  3","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  2","  0","  1","  4","  5","  0","  0","  0","  1","  5","  1","  0","  0","  0","  0","  0","  2","119","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  2","  2","  0","  0","  1","  0"
