"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Actaea","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Araceae","Arceuthobium","Aristolochia","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Casuarina","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Colutea","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Frankenia","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Heliotropium","HippophaÃ«","Hydrocharitaceae","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Larix","Lauraceae","Lemnaceae","Ligustrum","Linum t.","Lotus t.","Lysimachia","Lythrum","Menyanthes","Mercurialis","Morus","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Periploca","Persicaria t.","Petaloid monocot","Phaseolus","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prosopis t.","Prunus t.","Psoralea","Pterocarya","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rheum","Ricinus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianella","Verbena t.","Viburnum","Vitis","Zea"
" 591","1055"," 109","  30","   1","   0","   0","   0","  45","   1","   8","   1","   0","   3","   5","   0","   0","   0","   0","   5","   2","   0","   5","   0","   3","   2","   0","   0","   0","   1","   1","   9","   4","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   6","   0","   3","   0","   0","  19","   0","   1","   0","   0","   0","   0","  20","   0","   8","   0","  15","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   2","  17","   2","   0","   0","   2","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 102","   1","  11","   0"," 343","   7","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","  12","   0","   0","   0","   0","   2","   1","  21","   0","   0","   2","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   2","  12","   0","   0","   0","   0","   0","   0","   0"
" 884","1339"," 413","  45","   0","   1","   0","   0","  23","   1","  11","   4","   0","  13","  18","   1","   0","   0","   0","   9","   7","   1","   5","   0","   5","   0","   0","   0","   0","   1","   2","  12","   4","   1","   0","   0","   0","   4","  14","   0","   0","   0","   1","  24","   0","   4","   1","   1","  11","   0","   3","   1","   0","   0","   1","   2","   1","  22","   1","  16","   1","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","  35","   5","   0","   0","   1","   0","   0","   1","   0","   2","   1","   3","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 149","   1","  18","   0"," 179","  21","  19","   0","   0","   2","   0","   2","   1","   0","   0","   2","  26","  28","   1","   0","   0","   1","   0","   5","  60","   9","   3","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","  62","   0","   0","   2","   0","   0","   0","   0","   1","   1","   6"
"1176","1623"," 716","  60","   0","   0","   2","   1","  20","   7","  11","   0","   0","  13","  55","   3","   0","   0","   0","  47","   3","   0","  16","   0","   4","   0","   0","   0","   1","   2","   0","  24","   3","   2","   0","   0","   0","   3","   3","   0","   1","   0","   7","  94","   0","   4","   0","   1","   5","   0","   7","   0","   0","   0","   2","  13","   0","  46","   3","  29","   7","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   2","   0","  18","   3","   0","   0","   0","   0","   0","   2","   0","   7","   4","   9","   0","   0","   0","   0","   0","   0","   2","   0","   5","   0","   0","   0","   2","   0","   2","   0","   0"," 112","   2","  32","   1"," 644","  12","  60","   0","   0","   0","   0","   6","   0","   0","   1","   2","  45","  48","   1","   0","   1","   0","   0","  10","  23","   8","   0","   2","   1","   6","   2","   0","   1","   0","   0","   0","   0"," 133","   0","   1","   6","   0","   0","   0","   0","   3","   3","   2"
"1372","1812"," 918","  70","   0","   0","   0","   0","   1","   1","   9","   0","   0","   2","   6","   0","   0","   0","   0","   5","   3","   1","   4","   0","   3","   0","   0","   0","   0","   2","   0","   6","   1","   0","   1","   0","   0","   1","  16","   0","   0","   0","   1","  12","   0","  13","   0","   0","  30","   0","   0","   0","   0","   0","   0","  24","   0","  15","   0","   8","   0","   1","   0","   1","   9","   0","   0","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  75","   1","  21","   1"," 820","  14","   7","   0","   0","   2","   0","   1","   0","   0","   0","   1","  17","  10","   0","   0","   0","   0","   2","   6","  12","   1","   1","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","  12","   1","   0","   0","   0","   0","   0","   3"
"1567","2001","1119","  80","   1","   0","   0","   0","  12","   2","   7","   0","   0","   5","   8","   3","   0","   0","   0","  11","   7","   0","   3","   0","   6","   2","   0","   0","   0","   0","   0","   6","   7","   1","   0","   1","   0","   1","   4","   0","   0","   1","   0","   5","   0","   0","   0","   0","  47","   0","   0","   1","   0","   0","   0","   0","   0","  17","   0","  26","   8","   0","   0","   1","  18","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 260","   0","   4","   0"," 152","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   7","   0","   0","   0","   0","   0","   7","   2","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7"
"1762","2190","1321","  90","   2","   0","   0","   0","   8","   0","   8","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   1","   1","   0","   2","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   3","   0","   1","   5","   0","   0","   0","   0","   2","   0","   7","   0","   0","  84","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","  22","   1","   0","   0","   1","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 144","   0","   0","   1","  60","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  14","   4","   0","   0","   0","   0","   1","   1","   3","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0"
"2153","2570","1725"," 110","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","   1","   1","   0","   0","   0","   2","   1","   0","   1","   0","  10","   1","   0","   0","   0","   0","   0","   4","   3","   1","   0","   0","   0","   1","   2","   0","   0","   0","   0","   3","   0","  36","   0","   0"," 308","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   8","   0","   1","   1","   1","  32","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 473","   0","   0","   4","  58","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","  23","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   8","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"2446","2856","2028"," 125","   1","   0","   0","   0","   5","   3","   2","   0","   0","   1","  14","   4","   0","   0","   0","   6","   2","   0","   4","   0","   2","   0","   0","   0","   0","   1","   0","  11","   7","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   5","   0","   6","   0","   0"," 195","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   7","   3","   0","   0","   0","  34","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 769","   1","   1","   2","  92","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","  23","   4","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   1","  72","   5","   1","   2","   0","   0","   0","   0","   0","   1","   0"
"2739","3142","2330"," 140","   1","   0","   0","   0","   3","   2","   3","   0","   0","   1","   6","   2","   0","   0","   0","  10","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   1","   1","   0","   5","   0","   2","   4","   0","   0","   0","   0","   4","   0","   2","   0","   0","  34","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   9","   2","   0","   0","   0","   6","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 707","   0","   5","   0","  45","   2","   8","   0","   0","   0","   0","   0","   0","   0","   0","   1","   7","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  47","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3032","3429","2632"," 155","   0","   0","   0","   0","   2","  10","   5","   0","   0","   3","   4","   0","   0","   0","   0","  20","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   2","   0","   0","   0","   0","   2","   4","   1","   0","   0","   0","   6","   0","   7","   0","   0","  18","   0","   0","   0","   0","   0","   0","   0","   0","   6","  12","  32","   8","   0","   0","   0","  17","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 521","   0","  13","   0","  92","   4","  51","   1","   0","   0","   0","   0","   0","   0","   0","   0","  12","   4","   0","   0","   0","   2","   0","   1","   4","   1","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","  43","  38","   0","   0","   0","   0","   0","   0","   0","   2","   0"
