"sample_name","depth","Acacia t.","Aerva type","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Brassicaceae","Bridelia","Canthium","Caryophyllaceae undif.","Cassia","Ceiba","Celosia type","Celtis","Cichorieae","Combretaceae","Commiphora","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Ephedra","Eriocaulon","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Indeterminable","Lannea","Lophira","Macaranga","Maerua","Maytenus","Mitracarpus","Mitragyna/Hallea","Monoletes","Nymphaea","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Plantago","Poaceae","Prosopis t.","Rhizophora","Rubiaceae undif.","Salix","Salvadora","Sapium","Sapotaceae undif.","Securinega  t.","Spergularia t.","Spermacoce","Syzygium t.","Tetracera alnifolia","Tilia","Triletes","Typha","Uapaca","Urtica t.","Zanthoxylum"
NA," 5"," 0"," 0"," 1"," 0"," 0"," 2"," 1"," 0"," 1"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 4"," 0","40"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 4"," 0"," 0"," 1"," 0"," 0"," 0","49"," 0","38"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"
NA,"35"," 0"," 7"," 0"," 0"," 0","30"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 4"," 2"," 6"," 0","46"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 0"," 0"," 2"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","95"," 0","18"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 2"," 2"," 6"," 1"," 1"," 0"
NA,"45"," 0"," 9"," 0"," 1"," 0","28"," 2"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 3"," 0"," 0"," 9"," 1","69"," 0"," 0"," 0"," 0"," 1"," 2"," 1"," 0"," 0","20"," 1"," 0"," 0"," 0"," 0"," 2"," 1"," 1"," 0"," 0"," 0"," 1"," 0"," 0","94"," 0","27"," 0"," 3"," 0"," 0"," 0"," 0"," 1"," 2"," 0"," 0"," 0"," 0"," 4"," 2"," 0"," 0"
NA,"55"," 0"," 2"," 0"," 0"," 0","17"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 6"," 0","52"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 9"," 2"," 1"," 0"," 0"," 0"," 4"," 1"," 3"," 0"," 0"," 0"," 0"," 0"," 1","74"," 0","45"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 2"," 5"," 0"," 0"," 0"
NA,"85"," 0"," 0"," 1"," 0"," 0"," 3"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0","25"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0","35"," 0","25"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0"
NA,"125","  0","  2","  1","  0","  0","  3","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  1","  0","  0","  6","  0","  0","  0","  0","  0","  0"," 28","  0"," 32","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 10","  0","  0","  0"
NA,"145","  0","  2","  2","  0","  0","  8","  0","  0","  0","  1","  2","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0"," 31","  0","  0","  0","  0","  0","  0","  0","  1","  0","  5","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 46","  0"," 20","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  1","  0","  0"
NA,"165","  1","  0","  1","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  1","  0"," 40","  0"," 28","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0"
NA,"185","  1"," 12","  1","  0","  0"," 15","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  2","  3","  0","  6","  0"," 52","  1","  0","  0","  1","  0","  1","  0","  0","  0"," 15","  1","  0","  4","  2","  0","  2","  3","  2","  0","  0","  0","  0","  0","  0","103","  0"," 44","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  5","  3","  0","  0"
NA,"215","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0"," 26","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0"," 31","  0"," 36","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  5","  0","  0","  0"
