"sample_name","depth","Sauvagesia erecta","Abutilon t.","Acacia t.","Adenium","Aerva type","Aizoaceae t.","Alchornea","Allophylus t.","Amanoa-type","Amaranthaceae undif.","Ambrosia t.","Annonaceae","Anthoceros t.","Anthostema","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Artemisia","Asteroideae undif.","Avicennia","Balanites","Blighia","Bombax","Brassicaceae","Bridelia","Buxus","Caesalpiniaceae undif.","Calpocalyx","Calpocalyx aubrevillei","Canthium","Caperonia","Caryophyllaceae undif.","Caryophyllaceae/Amaranthaceae","Cassia","Caucanthus","Celtis","Centaurea","Chrysobalanus t.","Cichorieae","Clematis-type","Cola","Combretaceae","Commelina","Commiphora","Crudia","Cyperaceae","Daniellia","Detarium","Dialium","Diospyros/Euclea t.","Dodonaea","Dracaena","Elaeis","Ephedra","Erica t.","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Gaertnera paniculata-type","Galium t.","Garcinia","Gardenia","Grewioideae","Guibourtia","Hibiscus","Hura","Hygrophila","Hymenocardia","Hyphaene t.","Hypoestes t.","Impatiens","Indeterminable","Irvingia","Isoberlinia","Justicia t.","Klaineanthus","Lamiaceae undif.","Lannea","Lepidagathis","Lophira","Lotus t.","Macaranga","Maerua","Maytenus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Musanga/Myrianthus","Nauclea","Nymphaea","Olea t.","Pandanus","Parkia","Pausinystalia","Petaloid monocot","Phoenix t.","Phyllanthus maderaspatensis","Phyllanthus niruri","Phyllanthus undif.","Pinus undif.","Poaceae","Podocarpus","Polygala","Polygonum t.","Portulacaceae t.","Prosopis t.","Pycnanthus","Rhizophora","Rubiaceae undif.","Rumex t.","Salix","Sapotaceae undif.","Spergularia t.","Spermacoce","Sterculia","Syzygium t.","Tabernaemontana","Tetracera alnifolia","Tetrorchidium","Thymelaeaceae undif.","Tribulus","Triletes","Typha","Uapaca","Uncaria","Unknown","Urtica t.","Vernonieae","Ziziphus/Paliurus"
NA," 10","  0","  0","  1","  0","  2","  0"," 24","  0","  0","  5","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0"," 27","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  2","  0","  0","  0","  0","  0","  1","  1","  2","  1","  0","  0","  0","  2"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 79","  0","  0","  0","  0","  0","  0","114","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  9","  3","  0"," 20","  0","  3","  0"
NA," 20","  0","  0","  0","  0","  2","  0","  4","  0","  0","  5","  0","  0","  4","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0"," 35","  0","  0","  0","  2","  1","  0","  2","  0","  0","  1","  0","  3","  0","  3","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 49","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  3","  0","  0"," 12","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","164","  0","  0","  0","  0","  0","  0","211","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  6","  3","  1","  0","  2","  0","  0","  0"
NA,"30"," 1"," 0"," 0"," 0"," 3"," 0"," 4"," 1"," 0","11"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 1"," 0","54"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 3"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0","10"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2","98"," 0"," 0"," 0"," 0"," 0"," 0","89"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2","10"," 1"," 0"," 8"," 0"," 0"," 1"
NA," 40","  0","  0","  0","  1","  1","  0"," 27","  0","  0","  8","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  5","  0","  0","  0"," 29","  0","  0","  0","  0","  0","  0","  3","  3","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  0"," 69","  0","  0","  0","  0","  0","  0","173","  0","  0","  0","  1","  0","  1","  0","  1","  0","  1","  0","  0","  0","  2","  4","  2","  0","  6","  0","  0","  0"
NA,"50"," 0"," 0"," 0"," 0"," 7"," 2"," 3"," 1"," 0"," 7"," 1"," 0"," 2"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 1"," 0","12"," 0"," 0"," 0","63"," 0"," 0"," 1"," 0"," 0"," 0"," 2"," 7"," 0"," 0"," 1"," 0"," 2"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 0"," 3"," 0"," 0"," 0"," 0"," 1"," 9"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 0","94"," 0"," 0"," 0"," 0"," 0"," 0","96"," 0"," 0"," 0"," 0"," 1"," 0"," 3"," 3"," 0"," 2"," 0"," 0"," 0"," 2"," 2"," 1"," 0"," 8"," 0"," 0"," 0"
NA," 60","  0","  0","  1","  0","  1","  0"," 16","  0","  0"," 10","  0","  0"," 13","  1","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0","  0","  0","  0","  8","  0","  0","  0","103","  0","  0","  0","  0","  0","  0","  6","  6","  1","  0","  1","  1","  0","  9","  1","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 14","  0","  0","  1","  0","  0","  1","  0","  3","  0","  2","  0","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","250","  0","  0","  0","  0","  0","  0"," 85","  0","  0","  0","  0","  0","  1","  0","  4","  0","  1","  0","  1","  0","  2"," 17","  2","  0"," 16","  0","  1","  0"
NA,"70"," 0"," 0"," 0"," 0"," 5"," 0"," 4"," 0"," 0","19"," 1"," 0"," 3"," 3"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","13"," 0"," 0"," 0","92"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 3"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","91"," 0"," 0"," 1"," 0"," 0"," 0","70"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 7"," 3"," 0","16"," 0"," 1"," 0"
NA," 80","  0","  0","  0","  0","  1","  0"," 21","  1","  0","  2","  1","  1","  3","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 26","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","117","  0","  0","  0","  0","  0","  0","178","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  7","  0","  0"," 16","  0","  0","  0"
NA," 90","  0","  1","  0","  0","  3","  0"," 14","  0","  0"," 14","  0","  0","  3","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 53","  0","  0","  0","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  1"," 18","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","121","  0","  0","  0","  0","  0","  0"," 53","  1","  0","  2","  1","  1","  1","  0","  1","  0","  0","  4","  0","  0","  3","  7","  2","  0"," 14","  0","  0","  0"
NA,"100","  0","  0","  2","  0"," 10","  0"," 21","  1","  0"," 20","  2","  0","  9","  0","  0","  0","  2","  1","  3","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  6","  0","  0","  0","110","  0","  0","  0","  0","  0","  0","  6","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  1","  0","  1"," 30","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","196","  0","  0","  0","  0","  0","  0"," 70","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  8","  3","  0"," 12","  1","  0","  0"
