"Depth (cm)","Acacia t.","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Calligonum","Caryophyllaceae undif.","Castanea","Celastraceae undif.","Celtis","Centaurea","Cichorieae","Cistaceae","Combretaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echiochilon","Echium t.","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Galium t.","Gymnocarpos","Heliotropium","Indeterminable","Justicia t.","Lamiaceae undif.","Linum t.","Malva undif.","Olea t.","Onagraceae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Searsia","Tamarix","Thymelaeaceae undif.","Tilia","Typha","Ulmus t."
" 25","  0","  1","  0","125","  3","139","  4","  1","  2","  1","  0","  0","  0","  0","  0","  1","  1","  0","  0","  2","  7"," 11","  0","  0","  0"," 42","  9","  0","  0","  1","  0","  0","  2","  9","  0","  9","  0","  0","  1","  0","  0","  0","  0","  0","126","  0","  1","  3","  9","  0","  0","  2","  0","  0","  4","  0","  0","  0","  0","  1","  0","  0","  3"
" 45","  0","  0","  1","125","  1","100","  4","  1","  1","  3","  1","  0","  0","  0","  0","  0","  0","  2","  0","  1","  7","  8","  0","  0","  0"," 51","  7","  0","  0","  0","  0","  0","  0","  3","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","202","  0","  1","  0","  3","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  1"
" 65","  0","  0","  0","143","  0"," 67","  5","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  9"," 20","  0","  0","  0"," 76","  5","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  2","  1","  0","  0","146","  0","  0","  2"," 16","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
" 85","  0","  0","  0","175","  1","103","  5","  0","  1","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  2","  2"," 11","  0","  0","  0"," 36","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  2","  0","  0","  0","148","  0","  1","  1"," 14","  0","  0","  4","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"
"105","  0","  0","  0","160","  1"," 84","  4","  6","  4","  1","  0","  0","  0","  0","  0","  2","  1","  0","  0","  4","  0"," 14","  0","  1","  0"," 91","  6","  0","  0","  0","  0","  0","  0","  2","  0","  9","  0","  2","  0","  0","  0","  0","  0","  0","138","  0","  1","  1","  7","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"125","  0","  1","  0","190","  2"," 79"," 10","  1","  3","  1","  1","  0","  0","  0","  0","  2","  0","  1","  0","  0","  2"," 27","  0","  0","  0"," 82","  2","  0","  0","  0","  0","  0","  0","  1","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","107","  0","  0","  1"," 13","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"145","  0","  0","  0","147","  2"," 72"," 10","  0","  6","  0","  5","  0","  0","  0","  1","  2","  0","  2","  0","  0","  4"," 35","  0","  0","  0"," 71","  2","  0","  0","  1","  0","  0","  0","  0","  1"," 19","  0","  0","  0","  0","  0","  0","  0","  0","112","  0","  1","  2","  9","  1","  3","  4","  0","  0","  1","  0","  1","  0","  1","  0","  0","  0","  0"
"165","  0","  0","  0","172","  7"," 77","  7","  0","  5","  0","  4","  0","  0","  0","  0","  3","  3","  0","  0","  2","  4"," 25","  0","  0","  0"," 87","  4","  0","  0","  1","  0","  0","  0","  2","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","115","  0","  2","  0","  7","  1","  0","  8","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0"
"185","  0","  0","  1","185","  6"," 82","  8","  0","  1","  2","  3","  0","  0","  0","  1","  2","  0","  0","  0","  2","  4"," 30","  0","  0","  0"," 54","  1","  0","  0","  2","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  0","  0","127","  0","  1","  2"," 12","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0"
"205","  2","  0","  0","189","  3"," 69","  8","  0","  3","  2","  1","  0","  0","  0","  0","  3","  2","  0","  1","  2","  8"," 40","  0","  0","  1"," 62","  3","  2","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  1","  0","  0","  0","  0","  1","  0","112","  0","  0","  0"," 18","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0"
"225","  0","  0","  0","166","  0"," 71","  8","  1","  3","  0","  4","  0","  1","  0","  0","  0","  1","  0","  0","  1","  9"," 25","  0","  0","  0"," 57","  2","  1","  0","  0","  1","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","160","  0","  4","  0","  7","  0","  1","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"
"245","  1","  0","  0","177","  3"," 69","  2","  1","  2","  1","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  2"," 27","  0","  0","  0"," 70","  2","  0","  0","  1","  0","  0","  0","  0","  0"," 18","  0","  1","  0","  0","  0","  0","  1","  0","143","  0","  0","  0"," 11","  0","  2","  6","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"265","  0","  0","  0","207","  3","103","  6","  0","  5","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  2"," 23","  0","  0","  0"," 48","  4","  0","  0","  1","  0","  0","  0","  1","  1"," 14","  0","  0","  0","  0","  0","  0","  0","  0","150","  0","  1","  0"," 15","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"285","  0","  0","  0","135","  0"," 81","  9","  0","  6","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  2","  2"," 21","  0","  0","  0"," 73","  9","  0","  0","  1","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  0","  0","138","  0","  3","  1"," 12","  0","  1","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0"
"305","  0","  0","  0","166","  4"," 64","  8","  0","  1","  0","  4","  0","  0","  1","  0","  2","  0","  0","  0","  0","  4"," 27","  0","  0","  1"," 94","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  1","  1","  0","  0","  0","  0","  0","160","  0","  1","  1"," 13","  0","  2","  7","  0","  0","  1","  0","  1","  0","  0","  0","  0","  1","  0"
"325","  0","  0","  0","265","  1"," 83","  8","  0","  4","  0","  4","  0","  0","  1","  0","  0","  0","  1","  0","  1","  6"," 21","  0","  0","  0"," 84","  4","  0","  0","  0","  0","  0","  0","  4","  0"," 17","  0","  1","  0","  0","  0","  0","  0","  0"," 89","  0","  0","  0","  4","  0","  0","  4","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"
"345","  0","  0","  1","186","  0"," 53","  6","  1","  3","  0","  1","  0","  0","  0","  0","  3","  3","  0","  0","  0","  1"," 26","  0","  0","  0"," 95","  3","  2","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","121","  0","  0","  0"," 12","  0","  2","  1","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0"
"365","  0","  0","  0","122","  2"," 48","  5","  0","  3","  2","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  4"," 34","  0","  0","  0"," 76","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  1","  0","140","  0","  1","  0"," 10","  0","  1","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"
"385","  0","  1","  0","138","  2"," 62","  6","  1","  4","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  4","  6"," 66","  0","  0","  0"," 34","  2","  0","  0","  1","  0","  0","  0","  0","  1"," 11","  0","  0","  0","  0","  0","  0","  0","  0","173","  0","  1","  0"," 21","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0"
"405","  0","  0","  0","207","  0"," 69","  1","  1","  5","  0","  6","  0","  0","  0","  2","  0","  0","  0","  0","  0","  3"," 45","  0","  0","  0"," 70","  3","  0","  0","  1","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0"," 93","  0","  1","  1","  7","  0","  5","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"425","  0","  0","  0","163","  0"," 73","  3","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  5"," 45","  0","  0","  0"," 42","  2","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","141","  0","  2","  0"," 17","  0","  9","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"445","  0","  0","  0"," 89","  0","101","  2","  1","  1","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  6"," 20","  0","  0","  0"," 69","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","199","  0","  1","  1"," 10","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"465","  0","  0","  1","101","  2","108","  5","  0","  3","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0"," 17","  9","  5","  0","  0","  0"," 47","  7","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  0","150","  0","  1","  0"," 24","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"485","  0","  0","  1"," 92","  1","107","  5","  2","  0","  0","  1","  0","  0","  0","  0","  4","  3","  0","  0","  9"," 10","  2","  0","  0","  0"," 66","  5","  0","  0","  0","  2","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","184","  0","  2","  0"," 18","  0","  6","  1","  0","  0","  3","  0","  0","  0","  0","  0","  2","  0","  0"
"505","  0","  0","  1","121","  2","119"," 10","  0","  6","  0","  1","  0","  0","  0","  0","  7","  3","  0","  0","  2","  8","  5","  0","  0","  0"," 54","  2","  1","  0","  0","  0","  0","  0","  3","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","165","  0","  0","  1"," 21","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"
"525","  0","  0","  0","136","  0"," 88"," 12","  0","  3","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  4","  5","  1","  0","  1"," 47","  2","  1","  0","  0","  0","  0","  0","  2","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","208","  0","  2","  1"," 18","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0"
"545","  0","  1","  0","172","  3"," 85"," 16","  0","  1","  0","  8","  0","  0","  0","  1","  2","  0","  0","  0","  4","  1"," 17","  0","  0","  0"," 38","  5","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","146","  0","  0","  0"," 14","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"
"565","  0","  0","  0","160","  3","105","  4","  0","  7","  0","  2","  0","  1","  0","  0","  1","  0","  0","  0","  3","  0"," 46","  0","  0","  0"," 23","  2","  0","  0","  0","  0","  0","  0","  0","  1","  8","  0","  0","  0","  1","  4","  0","  0","  0","131","  0","  3","  0"," 20","  3","  7","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  1","  0"
"585","  0","  0","  0"," 70","  2"," 75","  1","  2","  6","  0","  3","  0","  0","  0","  0","  1","  0","  2","  0","  1","  7"," 34","  0","  0","  0"," 34","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","191","  0","  1","  0"," 52","  0"," 11","  1","  0","  0","  5","  0","  2","  0","  0","  0","  0","  0","  0"
"605","  0","  0","  0"," 85","  4"," 46","  7","  0","  2","  0","  2","  0","  0","  0","  0","  4","  0","  1","  0","  3","  0"," 34","  0","  0","  0"," 53","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  1","  0","  0","  0","  0","  0","  0","  0","200","  0","  5","  0"," 35","  0","  5","  6","  0","  0","  2","  0","  4","  0","  0","  0","  1","  1","  0"
"625","  0","  0","  0","111","  3"," 72"," 10","  1","  3","  0","  0","  0","  0","  0","  0","  3","  2","  2","  0","  9","  5"," 20","  0","  1","  0"," 57","  2","  0","  2","  0","  0","  0","  0","  1","  0"," 12","  0","  0","  1","  0","  1","  0","  0","  1","168","  2","  5","  0"," 18","  0","  9","  3","  0","  0","  3","  0","  2","  2","  0","  0","  0","  2","  1"
"645","  0","  0","  1"," 87","  3"," 77","  5","  0","  2","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  2","  1"," 11","  0","  0","  0"," 29","  2","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","250","  0","  2","  2"," 20","  0","  9","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"665","  0","  0","  0","147","  2"," 68","  8","  0","  1","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  5"," 18","  0","  0","  0"," 54","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  1","  0","  0","  0","  0","  0","  0","187","  0","  1","  0"," 20","  0","  2","  5","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"
"685","  0","  0","  0","199","  2"," 65","  2","  0","  4","  0","  2","  0","  0","  0","  0","  1","  1","  0","  0","  1","  4"," 23","  0","  0","  0"," 72","  5","  0","  1","  0","  0","  1","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","160","  0","  3","  0"," 20","  0","  2","  0","  0","  0","  3","  0","  0","  2","  0","  0","  0","  1","  0"
"705","  0","  0","  0","200","  1"," 75","  9","  0","  1","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  7"," 32","  0","  0","  0"," 44","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  1","  0","140","  0","  1","  1"," 25","  0","  1","  1","  0","  0","  4","  0","  0","  2","  0","  0","  0","  0","  0"
"725","  1","  0","  0"," 78","  0"," 83","  4","  0","  3","  1","  0","  0","  0","  0","  0","  1","  1","  2","  0","  4","  1","  5","  0","  0","  0"," 66","  3","  0","  0","  0","  2","  0","  0","  2","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","259","  0","  1","  0","  9","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
"745","  0","  0","  0","118","  0"," 86","  3","  0","  2","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0"," 12","  0","  0","  0"," 64","  7","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  1","  0","  0","  0","  0","  0","200","  0","  3","  1"," 16","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0"
