"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aizoaceae t.","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyclamen","Cyperaceae","Datisca cannabina","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Gentianaceae undif.","Geraniaceae undif.","Geranium","Gossypium","Hedera","Heliotropium","Hymenophyllum","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Morus","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Orchidaceae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Verbena t.","Viburnum","Vitis","Ziziphus/Paliurus"
"625","745","528"," 45","  0","  0","  0","  0","  0","  0"," 66","  0","  0","  0","  3","  1","  0","  1","  0"," 10","  0","  1","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  1","  9"," 87","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  3","  0","  4","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  6","  1","  3","  0","  0","  0","  0","  1","  7","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  0","  0","  0","  1","  0"
"827","934","734"," 60","  0","  0","  0","  0","  0","  1"," 15","  0","  0","  3","  6","  0","  1","  1","  0"," 33","  0","  4","  0","  2","  0","  0","  0","  0","  1","  0","  1","  6","  0"," 11","102","  1","  5","  0","  0","  2","  0","  1","  0"," 24","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1"," 86","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  7","  0","  2","  0","  0"," 31","  0"," 15","  0","  0","  0","  0","  9"," 35","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 56","  1","  0","  0","  0","  0","  0","  1"
"1103","1194","1015","  80","   3","   0","   0","   0","   1","   0"," 286","   0","   0","   0","   9","   6","   0","   1","   1","  13","   1","   1","   0","   6","   0","   0","   0","   0","   0","   5","   0","   3","   2","  11","  93","   0","   0","   0","   0","   1","   0","   1","   0","  55","   0","   1","   0","   0","   6","   1","   0","   1","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   7","   0","   0","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","  41","   1","  49","   0","   0","  33","   2","  21","   0","   0","   0","   0","  12","  53","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  72","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 124","   0","   0","   0","   0","   0","   0","   0"
"1390","1483","1299"," 100","   1","   0","   0","   0","   0","   2"," 195","   0","   0","   0","  15","   0","   0","   4","   0","  14","   0","   2","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   6","  66","   0","   0","   0","   0","   1","   0","   0","   0","  33","   0","   3","   0","   0","   0","   0","   0","   2","   0","   0","  18","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  31","   0","  28","   0","   1","  21","   2","  14","   0","   0","   0","   0","   4","  20","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","  36","   0","   1","   0","   0","   0","   2","   0"
"1690","1789","1587"," 120","   1","   0","   0","   0","   0","   1"," 267","   0","   0","   0","  11","   2","   0","   5","   0","  18","   0","   3","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  59","   0","   0","   1","   0","   0","   0","   1","   0","  42","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   9","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","  32","   0","  35","   0","   0","  30","   2","  13","   0","   0","   0","   0","  13","  24","   1","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","  51","   3","   0","   0","   0","   0","   0","   0","   0","   0"," 128","   0","   0","   0","   0","   0","   0","   0"
"2001","2113","1889"," 140","   0","   0","   0","   0","   0","   0"," 154","   0","   0","   0","   0","   9","   0","   4","   0","  12","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   7","   0","   2","  15","   0","   0","   4","   0","   1","   0","   0","   0","  34","   0","   0","   0","   0","   4","   0","   0","   2","   0","   0","   8","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   4","   0","   0","   0","   1","  35","   0","  18","   0","   0","  19","   1","  10","   0","   0","   0","   0","  17","  38","   2","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","  38","   0","   0","   0","   0","   0","   1","   0","   0","   1","  52","   0","   0","   0","   0","   0","   0","   0"
"2325","2449","2199"," 160","   5","   0","   0","   0","   0","   3"," 177","   0","   0","   3","   2","   6","   0","   3","   0","  21","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   1","   2","  51","   0","   0","   2","   0","   1","   0","   0","   0","  53","   0","   2","   0","   0","   8","   0","   1","   0","   0","   0","  19","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   3","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","  41","   0","  33","   0","   0","  20","   2","  13","   0","   0","   0","   0","   8","  54","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  94","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","   0","   0","   0","   0","   0","   1","   0"
"2661","2801","2525"," 180","   0","   0","   0","   0","   0","   1"," 105","   0","   0","   6","   9","   9","   0","  10","   0","  17","   0","   5","   0","   2","   0","   0","   0","   0","   0","   3","   0","   4","   2","  15","  46","   0","   0","   0","   0","   0","   0","   2","   0","  45","   0","   0","   1","   0","   4","   0","   0","   2","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  17","   1","  20","   0","   0","  25","   0","  12","   0","   0","   0","   0","  19","  41","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  43","   0","   0","   2","   0","   1","   0","   0","   0","   1","  92","   0","   0","   0","   0","   1","   0","   0"
"3007","3165","2867"," 200","   1","   0","   0","   0","   0","   2"," 199","   5","   0","   5","  23","  54","   0","  22","   0","  36","   0","   4","   0","   4","   0","   0","   1","   0","   0","   5","   0","   0","   1","   0","   9","   0","   1","   3","   0","   0","   0","   0","   0"," 254","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   4","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   3","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   7","   0","   1","   2","   0","  21","   0","   6","   0","   0"," 159","   5","  11","   0","   0","   0","   0","  11","  39","   7","   0","   0","   3","   0","   1","   0","   0","   3","   0","   0","   1"," 178","   0","   0","   0","   0","   0","   0","   2","   1","   1","  58","   0","   0","   0","   0","   2","   2","   0"
"3184","3351","3041"," 210","  10","   0","   0","   0","   0","   1","  25","   0","   0","   0","   1","   0","   0","   5","   0","   5","   1","   3","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","  65","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   3","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  22","   0","   0","   0","   1","  20","   4","   3","   0","   0","   0","   0","   2","  17","   2","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  39","   0","   0","   1","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0"
"3728","3926","3560"," 240","   5","   0","   0","   0","   0","   4","  21","   0","   0","   3","   4","  14","   0","   3","   2","   9","   1","  13","   0","   5","   0","   0","   0","   0","   0","   6","   0","   3","   0","   3","  12","   0","   0","   0","   0","   3","   0","   3","   0","  69","   0","   0","   0","   0","   5","   0","   0","   0","   0","   9","   7","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   7","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   3","   0","  23","   0","  14","   1","   0","  88","   6","  11","   0","   0","   0","   0","  30"," 110","   1","   0","   0","   1","   6","   1","   0","   4","   0","   0","   0","   1","  74","   0","   0","   3","   2","   0","   0","   2","   0","   3","  24","   0","   0","   0","   0","   0","   1","   0"
