"sample_name","depth","Hagenia","Acacia t.","Acalypha","Aerva type","Alchornea","Allophylus t.","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Anthospermum","Apiaceae undif.","Apodytes dimidiata","Artemisia","Asteroideae undif.","Balanites","Blighia","Boscia","Brassicaceae","Buxus","Capparis","Caryophyllaceae undif.","Cassia","Caucanthus","Celosia type","Celtis","Cichorieae","Cissampelos","Cissus t.","Clematis-type","Clutia","Cocculus","Combretaceae","Commelina","Commiphora","Cordia","Crateva","Cupressaceae","Cussonia","Cyperaceae","Cyphostemma-type","Dichrostachys","Digera-type muricata","Diospyros/Euclea t.","Dodonaea","Ekebergia","Elaeophorbia-type drupifera","Entada","Erhetia","Erica t.","Erythrococca/Micrococca","Eucalyptus","Euphorbia t.","Faboideae Undif.","Fern","Ficus","Hymenocardia","Hymenodictyon","Hyphaene t.","Hypoestes t.","Indeterminable","Indigofera","Jasminum","Jatropha/Croton","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Laportea","Lepisanthes","Loranthaceae undif.","Macaranga","Maerua","Maesa","Maytenus","Mimulopsis-type","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morella","Myrsine africana","Nuxia t.","Nymphaea","Olea t.","Pappea-type capensis","Petaloid monocot","Phoenix t.","Phyllanthus amarus","Phyllanthus undif.","Pilea-type bambuseti","Plantago","Poaceae","Podocarpus","Polygonum t.","Polyscias","Potamogeton","Proteaceae","Prunus t.","Psilotrichum t.","Psydrax","Pterolobium","Rapanea","Rhamnaceae undif.","Ricinus","Rosa t.","Rubia-type cordifolia","Rubiaceae undif.","Rumex t.","Salvadora","Sapotaceae undif.","Schefflera","Searsia","Securinega  t.","Serichostachys-type scandens","Shirakia-type elliptica","Solanum","Syzygium t.","Tephrosia","Tilia","Trema","Tribulus","Trifolium t.","Triletes","Typha","Urtica t.","Vepris-type dainellii","Vepris-type nobilis","Vernonieae","Ximenia","Zanthoxylum","Zea"
NA,"  1","  9","  4"," 15","  2","  0","  0","  7","  3","  0","  1","  1","  0","  0"," 15","  0","  0","  0","  0","  0","  2","  0","  0","  0","  3","  3","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  1"," 27","  0"," 76","  1","  0","  0","  3"," 21","  0","  1","  0","  0","  4","  0","  6","  0","  1","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  1","  1","  2","  1"," 11","  0","  0","  0","  0","  1","  1","  7","275"," 46","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  6","  0","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  1","  1","  0","  4","  6","  9","  0","  0","  0","  0","  1","  2"
NA,"  5","  5","  3","  3","  1","  0","  0","  7","  6","  0","  1","  1","  1","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  8","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 30","  0"," 79","  0","  0","  0","  4"," 14","  0","  1","  0","  0","  5","  0","  5","  0","  0","  0","  3","  0","  0","  0","  1","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  1","  1","  0","  2"," 13","  0","  0","  0","  0","  0","  0","  5","279"," 65","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  1","  4","  0","  0","  3","  1","  0","  2","  3","  0","  0","  0","  0","  1","  0","  1","  4","  3","  0","  0","  0","  0","  0","  2"
NA," 10","  8","  9"," 14","  1","  0","  0","  9","  3","  0","  0","  3","  0","  0","  4","  0","  1","  0","  1","  1","  0","  0","  0","  0","  6","  2","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0"," 28","  0"," 72","  0","  0","  0","  0"," 12","  0","  1","  0","  0","  4","  0","  3","  1","  0","  0","  6","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  1","  1","  1","  1","  0","  1","  0","  0","  0","  0","  0","  7","  1","  1","  0","  0","  1"," 18","  0","  0","  0","  1","  0","  0","  8","249"," 87","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  4","  0","  1","  0","  3","  2","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  1","  0","  3","  3"," 22","  0","  0","  0","  0","  0","  0"
NA," 15"," 10","  6","  8","  3","  1","  0","  8","  1","  0","  2","  0","  0","  0","  7","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  2","  0","  1","  0","  1","  0","  0"," 39","  0"," 55","  0","  1","  0","  5"," 25","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  4","  0","  1","  2","  1","  0","  0","  0","  0","  2","  0","  1","  2","  0","  0","  0","  1","  0","  1","  3","  0","  2","  8","  1","  0","  0","  0","  0"," 18","  0","  1","  3","  0","  0","  0","  7","325"," 87","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  2","  1","  1","  0","  2","  0","  0","  1","  5","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  5"," 14"," 10","  0","  0","  1","  0","  0","  0"
NA," 20","  5","  6"," 11","  0","  0","  0","  7","  0","  0","  0","  1","  1","  0","  6","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  7","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0"," 62","  0"," 55","  0","  0","  0","  5"," 17","  0","  0","  0","  0","  3","  0","  1","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  2","  4","  2","  0","  2","  0","  0","  0","  0","  0","  2","  0","  0","  6","  0","  1","  0","  0","  0"," 19","  0","  1","  0","  0","  0","  0","  5","268"," 84","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  3","  4","  0","  0","  6","  0","  0","  0","  2","  0","  0","  1","  1","  0","  0","  0","  5"," 24","  0","  0","  1","  0","  0","  0"
NA," 25"," 13","  1","  8","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  6","  0","  0","  1","  0","  0","  1","  0","  0","  0","  3","  9","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0"," 31","  0"," 42","  0","  0","  0","  6"," 14","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  1","  3","  1","  0","  0","  0","  0","  0","  2","  2","  0","  0","  0","  0","  1","  0","  3","  0","  1","  4","  0","  1","  0","  0","  0","  8","  0","  0","  2","  0","  0","  0","  1","346"," 80","  0","  0","  1","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  2"," 24","  1","  0","  1","  0","  0","  1"
NA," 30","  9","  5","  0","  1","  0","  0","  4","  0","  0","  0","  1","  0","  1","  3","  0","  0","  1","  0","  0","  2","  0","  0","  0","  1","  3","  1","  0","  2","  0","  1","  0","  2","  0","  1","  0","  0"," 27","  1"," 65","  0","  0","  0","  1","  6","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  1","  0","  0","  0","  0"," 25","  0","  0","  0","  0","  0","  0","  0","332"," 96","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  2","  0","  0","  0","  1","  1","  0","  0","  2","  1","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  2"," 17","  0","  0","  0","  0","  0","  0"
NA," 35"," 11","  4","  1","  0","  0","  0","  7","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  7","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 42","  0"," 66","  0","  0","  0","  1"," 11","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  1","  1","  0","  0"," 22","  0","  0","  0","  0","  0","  1","  1","324"," 88","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  4","  0","  0","  2","  0","  0","  0","  3","  1","  0","  1","  0","  0","  0","  2","  8","  4","  0","  0","  0","  0","  0","  0"
NA," 40","  6","  2","  1","  3","  1","  0","  7","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  2","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 27","  0"," 50","  0","  0","  0","  1","  9","  0","  1","  0","  0","  4","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  2","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 18","  0","  0","  0","  1","  0","  0","  2","356"," 84","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0","  1","  6"," 16","  0","  0","  0","  0","  0","  0"
NA," 45"," 10","  3","  2","  2","  0","  0","  8","  0","  0","  1","  1","  1","  1","  6","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0"," 67","  0"," 74","  0","  0","  0","  1"," 16","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  3","  0","  0","  0","  0","  1","  0","  1","  2","  0","  0","  2","  0","  0","  0","  0","  0"," 40","  0","  0","  2","  0","  0","  0","  0","327"," 98","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  3","  0","  1","  2","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  3"," 16","  0","  0","  0","  0","  0","  0"
